"source","target","value","type"
"DEFENSE (OTHER) R&D","Pennsylvania State University",198614916.92,"contract"
"DEFENSE (OTHER) R&D","The University of Texas at Austin",91246717.56,"contract"
"DEFENSE (OTHER) R&D","George Mason University",37738167,"contract"
"DEFENSE (OTHER) R&D","Georgia Institute of Technology-Main Campus",36300207.23,"contract"
"DEFENSE SYSTEMS R&D","Massachusetts Institute of Technology",1013927137.42,"contract"
"DEFENSE SYSTEMS R&D","Johns Hopkins University",134813177.75,"contract"
"DEFENSE SYSTEMS R&D","Carnegie Mellon University",129103562.15,"contract"
"DEFENSE SYSTEMS R&D","Georgia Institute of Technology-Main Campus",78083914.41,"contract"
"DEFENSE SYSTEMS R&D","Utah State University",60276228.61,"contract"
"ECONOMIC GROWTH & PRODUCTIVITY R&D","Pennsylvania State University",6567320,"contract"
"ECONOMIC GROWTH & PRODUCTIVITY R&D","University of Pennsylvania",651762,"contract"
"ECONOMIC GROWTH & PRODUCTIVITY R&D","Temple University",90000,"contract"
"EDUCATION & TRAINING SERVICES","Stanford University",19802956.78,"contract"
"EDUCATION & TRAINING SERVICES","University of California-Davis",7321280.54,"contract"
"EDUCATION & TRAINING SERVICES","Central Texas College",6591516.6,"contract"
"EDUCATION & TRAINING SERVICES","University of Maryland-College Park",5637337.21,"contract"
"EDUCATION & TRAINING SERVICES","George Washington University",5357019.55,"contract"
"EDUCATION R & D","New Jersey Institute of Technology",13704953.06,"contract"
"EDUCATION R & D","University of Southern California",2756140,"contract"
"EDUCATION R & D","Stanford University",2394651.79,"contract"
"EDUCATION R & D","University of North Texas Health Science Center",2146702.6,"contract"
"EDUCATION R & D","Stevens Institute of Technology",1862858,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","Georgia Institute of Technology-Main Campus",42640382,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","Virginia Polytechnic Institute and State University",64446,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","University of Michigan-Ann Arbor",35000,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","University of Southern California",960,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","University of Washington",350,"contract"
"ELECTRICAL WIRES & POWER DISTRIBUTION EQUIPMENT","Harvard University",14716.4,"contract"
"ENERGY R&D","University of South Carolina-Beaufort",480000,"contract"
"ENERGY R&D","San Diego State University",179575,"contract"
"ENERGY R&D","Louisiana State University",110914,"contract"
"ENERGY R&D","Cornell University",70000,"contract"
"ENGINES, TURBINES, & COMPONENTS","University of Southern California",25403,"contract"
"ENVIRONMENTAL PROTECTION R&D","University of Washington",2921749,"contract"
"ENVIRONMENTAL PROTECTION R&D","Oregon State University",2307472.35,"contract"
"ENVIRONMENTAL PROTECTION R&D","University of Illinois at Urbana-Champaign",1229933,"contract"
"ENVIRONMENTAL PROTECTION R&D","Colorado School of Mines",1147541,"contract"
"ENVIRONMENTAL PROTECTION R&D","University of California-Los Angeles",1095895.25,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","Purdue University-Main Campus",163390,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","Iowa State University",128792.12,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","University of Illinois at Urbana-Champaign",93215,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","University of California-Santa Cruz",24198,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","University of Virginia",13719,"contract"
"EQUIPMENT & MATERIALS TESTING","Wichita State University",274490,"contract"
"EQUIPMENT & MATERIALS TESTING","University of California-Davis",251320,"contract"
"EQUIPMENT & MATERIALS TESTING","North Carolina State University at Raleigh",177262.5,"contract"
"EQUIPMENT & MATERIALS TESTING","University of Nebraska at Omaha",146688.36,"contract"
"EQUIPMENT & MATERIALS TESTING","University of Maryland, Baltimore",51380,"contract"
"FIRE, RESCUE, & SAFETY","Florida State College at Jacksonville",8380,"contract"
"FIRE, RESCUE, & SAFETY","Auburn University",177.53,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Johns Hopkins University",85635946.23,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Georgia Institute of Technology-Main Campus",55281990.61,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Utah State University",12519126,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","University of Colorado Boulder",11714059.59,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","University of Michigan-Ann Arbor",5754125.83,"contract"
"GENERAL HEALTH CARE SERVICES","University of Massachusetts Medical School Worcester",40011291.73,"contract"
"GENERAL HEALTH CARE SERVICES","Icahn School of Medicine at Mount Sinai",27502000.46,"contract"
"GENERAL HEALTH CARE SERVICES","University of North Texas Health Science Center",18476372.24,"contract"
"GENERAL HEALTH CARE SERVICES","Stony Brook University",15268763.49,"contract"
"GENERAL HEALTH CARE SERVICES","Mayo Clinic School of Medicine",11480878.2,"contract"
"HOUSEKEEPING SERVICES","Southern Methodist University",2275768.7,"contract"
"HOUSEKEEPING SERVICES","Texas A & M University-College Station",2085948.38,"contract"
"HOUSEKEEPING SERVICES","University of Washington",721795.27,"contract"
"HOUSEKEEPING SERVICES","The University of Texas at Austin",539925.91,"contract"
"HOUSEKEEPING SERVICES","University of Michigan-Ann Arbor",504840.72,"contract"
"HOUSING R&D","University of Alabama at Birmingham",417752.52,"contract"
"INCOME SECURITY R&D","Orleans Technical College",70299,"contract"
"INSPECTION SERVICES","Wichita State University",60350,"contract"
"INSPECTION SERVICES","University of California-Davis",700,"contract"
"INSTALLATION OF EQUIPMENT","University of Maryland Center for Environmental Science",60000,"contract"
"INSTALLATION OF EQUIPMENT","University of Virginia",35824,"contract"
"INSTALLATION OF EQUIPMENT","University of Southern California",29861.51,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","University of Illinois at Chicago",436899.36,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","University of Florida",302995,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","University of Maryland, Baltimore",239928,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","Purdue University-Main Campus",231512.75,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","Utah State University",201788,"contract"
"IT & TELECOMMUNICATIONS","University of Southern California",3978783,"contract"
"IT & TELECOMMUNICATIONS","University of Alaska Fairbanks",3450809.75,"contract"
"IT & TELECOMMUNICATIONS","Columbia University in the City of New York",2989182,"contract"
"IT & TELECOMMUNICATIONS","West Virginia University",2844617,"contract"
"IT & TELECOMMUNICATIONS","University of Maryland-College Park",2216777.31,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Utah State University",3566468,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Georgia Institute of Technology-Main Campus",3162496.75,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Johns Hopkins University",750000,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","University of Colorado Boulder",313059,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","University of Chicago",223992,"contract"
"LABORATORY TESTING SERVICES","Medical University of South Carolina",3482033.47,"contract"
"LABORATORY TESTING SERVICES","Oregon Health & Science University",3022630.71,"contract"
"LABORATORY TESTING SERVICES","University of Arkansas for Medical Sciences",1472586.73,"contract"
"LABORATORY TESTING SERVICES","Yale University",1190044,"contract"
"LABORATORY TESTING SERVICES","Vanderbilt University",1155606.86,"contract"
"LEASE & RENTAL EQUIPMENT","Embry-Riddle Aeronautical University",782105.5,"contract"
"LEASE & RENTAL EQUIPMENT","University of Delaware",226732,"contract"
"LEASE & RENTAL EQUIPMENT","University of Minnesota-Twin Cities",166471,"contract"
"LEASE & RENTAL EQUIPMENT","Carnegie Mellon University",125000,"contract"
"LEASE & RENTAL EQUIPMENT","The University of Montana",94916,"contract"
"LEASE & RENTAL OF BUILDINGS","Auburn University",354520.75,"contract"
"LEASE & RENTAL OF BUILDINGS","Central Georgia Technical College",275464,"contract"
"LEASE & RENTAL OF BUILDINGS","University of Mary Washington",234864.96,"contract"
"LEASE & RENTAL OF BUILDINGS","University of Missouri-Columbia",159300,"contract"
"LEASE & RENTAL OF BUILDINGS","University of Rhode Island",150447.69,"contract"
"LIVE ANIMALS","The University of Texas MD Anderson Cancer Center",252146,"contract"
"LIVE ANIMALS","University of Nebraska-Lincoln",238141.44,"contract"
"LIVE ANIMALS","University of Washington",206163.22,"contract"
"LIVE ANIMALS","Johns Hopkins University",104000,"contract"
"LIVE ANIMALS","University of California-Davis",102763.42,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","University of Texas Southwestern Medical Center",29640.96,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","SUNY Maritime College",25000,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","Oregon State University",23925.12,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","University of Miami",22000,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","Harvard University",21460,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS","University of Illinois at Urbana-Champaign",167939,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS","University of Oklahoma-Norman Campus",12903.6,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS","Montana State University",6000,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF NONBUILDINGS","Utah State University",22273.97,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF NONBUILDINGS","University of New Mexico-Main Campus",8325.24,"contract"
"MANAGEMENT SUPPORT SERVICES","Ohio State University",11942226.82,"contract"
"MANAGEMENT SUPPORT SERVICES","University of Chicago",9486887.51,"contract"
"MANAGEMENT SUPPORT SERVICES","Icahn School of Medicine at Mount Sinai",5505977,"contract"
"MANAGEMENT SUPPORT SERVICES","West Virginia University",4223020.72,"contract"
"MANAGEMENT SUPPORT SERVICES","University of California-San Francisco",2165398,"contract"
"MATERIALS HANDLING EQUIPMENT","Worcester Polytechnic Institute",25000,"contract"
"MEDICAL R&D","Johns Hopkins University",43639185.81,"contract"
"MEDICAL R&D","Duke University",23888122.45,"contract"
"MEDICAL R&D","Emory University-Oxford College",23524220.79,"contract"
"MEDICAL R&D","University of Chicago",21420424.83,"contract"
"MEDICAL R&D","University of Maryland, Baltimore",20016684.19,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","University of Texas Southwestern Medical Center",13977409.8,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Vanderbilt University",10161943.85,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","University of Louisville",8313879.31,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","The University of Texas MD Anderson Cancer Center",7653828,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Duke University",6127736.19,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","University of Maryland-College Park",737663.16,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","Colorado State University-Fort Collins",458154.64,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","University of California-San Francisco",422268.34,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","University of Maryland, Baltimore",408000,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","Duke University",391190.42,"contract"
"MINING R&D","Virginia Polytechnic Institute and State University",748910,"contract"
"MINING R&D","University of Kentucky",637964,"contract"
"MINING R&D","Colorado School of Mines",545245,"contract"
"MINING R&D","South Dakota School of Mines and Technology",250000,"contract"
"MINING R&D","University of Nevada-Reno",250000,"contract"
"MISCELLANEOUS","Northwest Missouri State University",20000,"contract"
"MISCELLANEOUS","Missouri Western State University",18000,"contract"
"MISCELLANEOUS","Bennington College",10000,"contract"
"MISCELLANEOUS","University of Delaware",8000,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","University of Delaware",559878.2,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","University of Georgia",458360,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","University of California-Davis",189124.15,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","Marshall University",141010,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","University of Arkansas at Pine Bluff",48744.75,"contract"
"NATURAL RESOURCES - OTHER SERVICES","Saint Mary's University of Minnesota",1751417.35,"contract"
"NATURAL RESOURCES - OTHER SERVICES","Oregon State University",1468375.03,"contract"
"NATURAL RESOURCES - OTHER SERVICES","Truckee Meadows Community College",1212548,"contract"
"NATURAL RESOURCES - OTHER SERVICES","Louisiana State University",729040.93,"contract"
"NATURAL RESOURCES - OTHER SERVICES","University of Alaska Anchorage",720862.98,"contract"
"NATURAL RESOURCES R&D","University of Maryland-College Park",491159,"contract"
"NATURAL RESOURCES R&D","University of California-San Diego",296631,"contract"
"NATURAL RESOURCES R&D","University of Wisconsin-Superior",125918.88,"contract"
"NATURAL RESOURCES R&D","Mississippi State University",117346,"contract"
"NATURAL RESOURCES R&D","Utah State University",57953.69,"contract"
"NON-NUCLEAR SHIP REPAIR","Massachusetts Maritime Academy",324694,"contract"
"NON-NUCLEAR SHIP REPAIR","California State University Maritime Academy",259296.74,"contract"
"NON-NUCLEAR SHIP REPAIR","Maine Maritime Academy",100000,"contract"
"NURSING, NURSING HOME, EVALUATION & SCREENING","Johns Hopkins University",72739,"contract"
"NURSING, NURSING HOME, EVALUATION & SCREENING","Massachusetts General Hospital Dietetic Internship",19542,"contract"
"NURSING, NURSING HOME, EVALUATION & SCREENING","University of Michigan-Ann Arbor",10325,"contract"
"OFFICE SUPPLIES & DEVICES","University of Oregon",28000,"contract"
"OFFICE SUPPLIES & DEVICES","Stanford University",12600,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","University of California-Berkeley",992153754.07,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Stanford University",565301271.07,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","University of California-System Administration Central Office",144998505,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Princeton University",121938856.21,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Iowa State University",61478833.69,"contract"
"ORES, MINERALS, & PRIMARY PRODUCTS","Worcester Polytechnic Institute",25000,"contract"
"OTHER MEDICAL SERVICES","University of North Texas Health Science Center",12549383.41,"contract"
"OTHER MEDICAL SERVICES","West Virginia University",5785798.8,"contract"
"OTHER MEDICAL SERVICES","Wake Forest University",3632487.82,"contract"
"OTHER MEDICAL SERVICES","Oklahoma State University",2951160,"contract"
"OTHER MEDICAL SERVICES","University of Massachusetts Medical School Worcester",2742961.59,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","University of Iowa",154776,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","Colorado State University-Fort Collins",79929.47,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","Pennsylvania State University",75000,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","University of Wisconsin-Stevens Point",46834.7,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","Wichita State University",28564,"contract"
"OTHER R&D","Johns Hopkins University",225812261.4,"contract"
"OTHER R&D","Georgia Institute of Technology-Main Campus",152705546.52,"contract"
"OTHER R&D","University of Southern California",23798295.69,"contract"
"OTHER R&D","New Mexico State University-Main Campus",13310513.38,"contract"
"OTHER R&D","Mississippi State University",12717654.04,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Saint Mary's University of Minnesota",325315,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Western Carolina University",100000,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","University of Alaska Fairbanks",25000,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Oklahoma State University",24993.5,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","The University of Texas Health Science Center at San Antonio",19995,"contract"
"PREFAB STRUCTURES & SCAFFOLDING","Lincoln Land Community College",59200,"contract"
"PREFAB STRUCTURES & SCAFFOLDING","University of Hawaii at Manoa",15861,"contract"
"PROFESSIONAL SERVICES","University of Chicago",85055275.52,"contract"
"PROFESSIONAL SERVICES","University of Dayton",55048216.71,"contract"
"PROFESSIONAL SERVICES","Johns Hopkins University",43313399.65,"contract"
"PROFESSIONAL SERVICES","Pardee RAND Graduate School",37874106.69,"contract"
"PROFESSIONAL SERVICES","Georgia Institute of Technology-Main Campus",30831181.01,"contract"
"PURCHASE BUILDINGS","University of Illinois at Chicago",75000,"contract"
"PURCHASE BUILDINGS","Houston Community College",5600,"contract"
"QUALITY CONTROL SERVICES","Indiana University-Bloomington",931801.61,"contract"
"QUALITY CONTROL SERVICES","Texas A & M University-College Station",287344.13,"contract"
"QUALITY CONTROL SERVICES","Stanford University",218767.78,"contract"
"QUALITY CONTROL SERVICES","Oregon State University",195221,"contract"
"QUALITY CONTROL SERVICES","Purdue University-Main Campus",183477,"contract"
"RECREATIONAL & ATHLETIC EQUIPMENT","Schoolcraft College",10000,"contract"
"RECREATIONAL & ATHLETIC EQUIPMENT","Milwaukee School of Engineering",7334,"contract"
"RELOCATION & TRAVEL SERVICES","University of Hawaii at Manoa",185000,"contract"
"SERVICE & TRADE EQUIPMENT","American University",149600,"contract"
"SERVICE & TRADE EQUIPMENT","Texas A & M University-College Station",16599.26,"contract"
"SHIP & MARINE EQUIPMENT","Florida State University",4666144,"contract"
"SHIP & MARINE EQUIPMENT","University of California-San Diego",140000,"contract"
"SHIP & MARINE EQUIPMENT","Maine Maritime Academy",25000,"contract"
"SHIPS, SMALL CRAFT, PONTOON, & DOCKS","California State University-Monterey Bay",73000,"contract"
"SHIPS, SMALL CRAFT, PONTOON, & DOCKS","University of Connecticut",70400,"contract"
"SHIPS, SMALL CRAFT, PONTOON, & DOCKS","Clatsop Community College",24000,"contract"
"SOCIAL SERVICES","Texas Tech University Health Sciences Center",170074.62,"contract"
"SOCIAL SERVICES","Georgia Military College",91072,"contract"
"SOCIAL SERVICES","University of Michigan-Ann Arbor",88198.97,"contract"
"SOCIAL SERVICES","University of Kentucky",70117.5,"contract"
"SOCIAL SERVICES","Western Michigan University",54555.52,"contract"
"SOCIAL SERVICES R&D","Ohio State University",677251,"contract"
"SOCIAL SERVICES R&D","University of Maryland, Baltimore",57636.8,"contract"
"SPACE R&D","California Institute of Technology",2710871850.34,"contract"
"SPACE R&D","Johns Hopkins University",274417960.1,"contract"
"SPACE R&D","Harvard University",60830450.16,"contract"
"SPACE R&D","University of Arizona",33145752,"contract"
"SPACE R&D","University of Oklahoma-Norman Campus",21038456,"contract"
"SPACE VEHICLES","Massachusetts Institute of Technology",12650895.29,"contract"
"SPACE VEHICLES","University of California-Berkeley",7490797,"contract"
"SPACE VEHICLES","University of California-Los Angeles",1390000,"contract"
"SPACE VEHICLES","Harvard University",656061,"contract"
"SPECIAL STUDIES - NOT R&D","Pardee RAND Graduate School",224788674.58,"contract"
"SPECIAL STUDIES - NOT R&D","Johns Hopkins University",7303245.08,"contract"
"SPECIAL STUDIES - NOT R&D","University of Chicago",7266037.65,"contract"
"SPECIAL STUDIES - NOT R&D","University of Washington",7184712.94,"contract"
"SPECIAL STUDIES - NOT R&D","University of Michigan-Ann Arbor",7164958.45,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","Johns Hopkins University",1426817,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","University of Alabama at Birmingham",734736,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","University of Cincinnati",439999,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","University of Minnesota-Twin Cities",43784,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","George Washington University",19202,"contract"
"SUBSISTENCE","Tallahassee Community College",40004,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","University of California-San Francisco",618000,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","Utah State University",292937.17,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","Saint Cloud State University",5805,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","St Cloud Technical and Community College",5805,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","Georgetown University",4551.15,"contract"
"TRAINING AIDS & DEVICES","Rio Hondo College",705440,"contract"
"TRAINING AIDS & DEVICES","Virginia Polytechnic Institute and State University",220000,"contract"
"TRAINING AIDS & DEVICES","University of California-San Diego",80624,"contract"
"TRAINING AIDS & DEVICES","University of Texas Southwestern Medical Center",38257,"contract"
"TRAINING AIDS & DEVICES","University of Cincinnati",35000,"contract"
"TRANSPORTATION","Case Western Reserve University",18813.72,"contract"
"TRANSPORTATION","University of Southern California",8340.72,"contract"
"TRANSPORTATION (MODAL) R&D","Johns Hopkins University",2098250,"contract"
"TRANSPORTATION (MODAL) R&D","Massachusetts Institute of Technology",500000,"contract"
"TRANSPORTATION (MODAL) R&D","Kansas State University",400012,"contract"
"TRANSPORTATION (MODAL) R&D","George Mason University",371976,"contract"
"TRANSPORTATION (MODAL) R&D","Pennsylvania State University",322848,"contract"
"TRANSPORTATION (OTHER) R&D","George Mason University",2300011.98,"contract"
"TRANSPORTATION (OTHER) R&D","Rutgers University-New Brunswick",1518283,"contract"
"TRANSPORTATION (OTHER) R&D","Emory University-Oxford College",948341,"contract"
"TRANSPORTATION (OTHER) R&D","University of Wisconsin-Madison",924297,"contract"
"TRANSPORTATION (OTHER) R&D","Wake Forest University",679535,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","University of Delaware",377712,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","University of Alabama at Birmingham",240200.25,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","Columbus State University",121286.5,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","Yale University",94400,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","SUNY Maritime College",76279.3,"contract"
"UTILITIES","University of Cincinnati",2199893,"contract"
"UTILITIES","University of Alabama at Birmingham",1232802.52,"contract"
"UTILITIES","Syracuse University",813893.39,"contract"
"UTILITIES","University of Wisconsin-Madison",400000,"contract"
"UTILITIES","The University of Alabama",80834.53,"contract"
"VEHICULAR EQUIPMENT COMPONENTS","University of Delaware",849829,"contract"
"WATER PURIFICATION & SEWAGE TREATMENT","University of California-San Diego",103200,"contract"
"WEAPONS","University of Oklahoma-Health Sciences Center",316620,"contract"
"WEAPONS","Florida State College at Jacksonville",4120,"contract"
"Academic Exchange Programs","SIT Graduate Institute",32175188,"grant"
"Academic Exchange Programs","Georgetown University",15756174,"grant"
"Academic Exchange Programs","Northern Virginia Community College",5375000,"grant"
"Academic Exchange Programs","The University of Montana",2339191,"grant"
"Academic Exchange Programs","University of Southern California",2250000,"grant"
"Addiction and Recovery","University of California-Los Angeles",8822034,"grant"
"Addiction and Recovery","University of California-San Francisco",4756403,"grant"
"Addiction and Recovery","University of Iowa",4249390,"grant"
"Addiction and Recovery","Augusta University",4008174,"grant"
"Addiction and Recovery","University of Washington",3457656,"grant"
"Agriculture and Farming","Baylor College of Medicine",12960500,"grant"
"Agriculture and Farming","Tufts University",11708036,"grant"
"Agriculture and Farming","Mississippi State University",10083759,"grant"
"Agriculture and Farming","Cornell University",7994127.5,"grant"
"Agriculture and Farming","Washington State University",6980580.02,"grant"
"Agriculture and Farming R&D","Vermont Law School",1500000.41,"grant"
"Agriculture and Farming R&D","University of Arkansas",1500000,"grant"
"Agriculture and Farming R&D","Tufts University",615000,"grant"
"Agriculture and Farming R&D","George Mason University",479995.76,"grant"
"Agriculture and Farming R&D","Virginia Polytechnic Institute and State University",460000,"grant"
"Brownfield Sites","Kansas State University",900000,"grant"
"Brownfield Sites","Virginia Polytechnic Institute and State University",300000,"grant"
"Business","The University of West Florida",8001438.84,"grant"
"Business","SUNY at Albany",7554759.36,"grant"
"Business","Humboldt State University",5643615.05,"grant"
"Business","Long Beach City College",4312921,"grant"
"Business","The University of Texas at San Antonio",4243902,"grant"
"Childcare and Welfare","Teachers College of San Joaquin",20446452,"grant"
"Childcare and Welfare","Education and Technology Institute",14378431,"grant"
"Childcare and Welfare","Southern Illinois University-Edwardsville",12214773,"grant"
