"source","target","value","type"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Department of Veterans Affairs",117828509.34,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Health Resources and Services Administration",10961528,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Federal Prison System / Bureau of Prisons",1342456.52,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Indian Health Service",897226.34,"contract"
"MEDICAL, DENTAL, & SURGICAL SERVICES","Defense Health Agency",100567.08,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","Department of Veterans Affairs",2525058.4,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","National Institutes of Health",744420.4,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","Centers for Disease Control and Prevention",458398.32,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","Department of the Army",290251,"contract"
"MEDICAL, DENTAL, VETERINARY EQUIPMENT","Department of the Navy",222229,"contract"
"MINING R&D","Centers for Disease Control and Prevention",3432276.96,"contract"
"MISCELLANEOUS","Department of the Army",46000,"contract"
"MISCELLANEOUS","Department of State",10000,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","National Oceanic and Atmospheric Administration",1293014.01,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","Department of the Navy",141010,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","Forest Service",96691.01,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","U.S. Army Corps of Engineers - Civil Program Financing Only",57411.06,"contract"
"NATURAL RESOURCE CONSERVERVAT ION SERVICES","Bureau of Land Management",20708.94,"contract"
"NATURAL RESOURCES - OTHER SERVICES","Bureau of Land Management",5542878.58,"contract"
"NATURAL RESOURCES - OTHER SERVICES","National Oceanic and Atmospheric Administration",4245596.93,"contract"
"NATURAL RESOURCES - OTHER SERVICES","Department of Energy",106909,"contract"
"NATURAL RESOURCES - OTHER SERVICES","U.S. Geological Survey",104050,"contract"
"NATURAL RESOURCES - OTHER SERVICES","U.S. Fish and Wildlife Service",80275,"contract"
"NATURAL RESOURCES R&D","U.S. Geological Survey",491159,"contract"
"NATURAL RESOURCES R&D","Department of the Navy",422549.88,"contract"
"NATURAL RESOURCES R&D","U.S. Fish and Wildlife Service",117346,"contract"
"NATURAL RESOURCES R&D","National Aeronautics and Space Administration",57953.69,"contract"
"NON-NUCLEAR SHIP REPAIR","Maritime Administration",597887.74,"contract"
"NON-NUCLEAR SHIP REPAIR","Department of the Navy",85709.37,"contract"
"NURSING, NURSING HOME, EVALUATION & SCREENING","U.S. Secret Service",72739,"contract"
"NURSING, NURSING HOME, EVALUATION & SCREENING","Department of Veterans Affairs",29867,"contract"
"OFFICE SUPPLIES & DEVICES","Department of State",28000,"contract"
"OFFICE SUPPLIES & DEVICES","Agency for International Development",12600,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Department of Energy",1885622781.17,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Federal Bureau of Investigation",145592.52,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","National Science Foundation",92266.02,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Federal Highway Administration",80000,"contract"
"OPERATE GOVERNMENT OWNED BUILDINGS","Bureau of Reclamation",68678,"contract"
"ORES, MINERALS, & PRIMARY PRODUCTS","Department of the Army",25000,"contract"
"OTHER MEDICAL SERVICES","Federal Prison System / Bureau of Prisons",21082724.9,"contract"
"OTHER MEDICAL SERVICES","Department of Veterans Affairs",5278072.52,"contract"
"OTHER MEDICAL SERVICES","Indian Health Service",3197709.85,"contract"
"OTHER MEDICAL SERVICES","Centers for Disease Control and Prevention",731932,"contract"
"OTHER MEDICAL SERVICES","Department of the Army",713702.96,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","Department of Veterans Affairs",154776,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","National Aeronautics and Space Administration",103564,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","Centers for Disease Control and Prevention",79929.47,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","U.S. Geological Survey",46834.7,"contract"
"OTHER QUALITY, TEST, & INSPECTION SERVICES","Department of the Army",12980,"contract"
"OTHER R&D","Department of the Navy",238482006.66,"contract"
"OTHER R&D","Department of Defense",117071121.35,"contract"
"OTHER R&D","Department of the Army",84600513.3,"contract"
"OTHER R&D","Department of the Air Force",19994039.52,"contract"
"OTHER R&D","Centers for Disease Control and Prevention",11296297.65,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","U.S. Fish and Wildlife Service",325315,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Department of State",100000,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Department of the Air Force",34993.5,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Natural Resources Conservation Service",25000,"contract"
"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","Federal Trade Commission",24484,"contract"
"PREFAB STRUCTURES & SCAFFOLDING","Department of the Army",59200,"contract"
"PREFAB STRUCTURES & SCAFFOLDING","National Oceanic and Atmospheric Administration",15861,"contract"
"PROFESSIONAL SERVICES","Department of the Air Force",101055890.17,"contract"
"PROFESSIONAL SERVICES","Centers for Medicare and Medicaid Services",52834129.82,"contract"
"PROFESSIONAL SERVICES","Centers for Disease Control and Prevention",47869832.3,"contract"
"PROFESSIONAL SERVICES","Department of Defense",29949251.08,"contract"
"PROFESSIONAL SERVICES","Agency for International Development",27151929.32,"contract"
"PURCHASE BUILDINGS","Smithsonian Institution",75000,"contract"
"PURCHASE BUILDINGS","U.S. Marshals Service",5600,"contract"
"QUALITY CONTROL SERVICES","Food and Drug Administration",1476961.32,"contract"
"QUALITY CONTROL SERVICES","Department of Veterans Affairs",294031.78,"contract"
"QUALITY CONTROL SERVICES","Department of the Army",195221,"contract"
"QUALITY CONTROL SERVICES","National Aeronautics and Space Administration",30000,"contract"
"QUALITY CONTROL SERVICES","National Park Service",24000,"contract"
"RECREATIONAL & ATHLETIC EQUIPMENT","U.S. Customs and Border Protection",10000,"contract"
"RECREATIONAL & ATHLETIC EQUIPMENT","U.S. Immigration and Customs Enforcement",7334,"contract"
"RELOCATION & TRAVEL SERVICES","Department of Veterans Affairs",185000,"contract"
"SERVICE & TRADE EQUIPMENT","Department of the Army",149600,"contract"
"SERVICE & TRADE EQUIPMENT","Agricultural Research Service",16599.26,"contract"
"SHIP & MARINE EQUIPMENT","Department of the Navy",4806144,"contract"
"SHIP & MARINE EQUIPMENT","Maritime Administration",25000,"contract"
"SHIPS, SMALL CRAFT, PONTOON, & DOCKS","National Oceanic and Atmospheric Administration",90208,"contract"
"SHIPS, SMALL CRAFT, PONTOON, & DOCKS","U.S. Geological Survey",73000,"contract"
"SOCIAL SERVICES","Department of the Army",191577.5,"contract"
"SOCIAL SERVICES","Federal Prison System / Bureau of Prisons",170074.62,"contract"
"SOCIAL SERVICES","Department of Veterans Affairs",148514.49,"contract"
"SOCIAL SERVICES R&D","National Highway Traffic Safety Administration",677251,"contract"
"SOCIAL SERVICES R&D","Department of Veterans Affairs",57636.8,"contract"
"SPACE R&D","National Aeronautics and Space Administration",2873447481.73,"contract"
"SPACE R&D","Department of the Air Force",289937430.52,"contract"
"SPACE R&D","Defense Advanced Research Projects Agency",5586427.68,"contract"
"SPACE R&D","National Oceanic and Atmospheric Administration",4009960,"contract"
"SPACE R&D","U.S. Geological Survey",2679957,"contract"
"SPACE VEHICLES","National Aeronautics and Space Administration",22187753.29,"contract"
"SPECIAL STUDIES - NOT R&D","Department of Defense",62512908.79,"contract"
"SPECIAL STUDIES - NOT R&D","Federal Emergency Management Agency",56778614.69,"contract"
"SPECIAL STUDIES - NOT R&D","Department of the Air Force",55170135.35,"contract"
"SPECIAL STUDIES - NOT R&D","Department of the Army",39149939.69,"contract"
"SPECIAL STUDIES - NOT R&D","National Institutes of Health",17430245.61,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","National Institutes of Health",1426817,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","Department of Veterans Affairs",1262843.5,"contract"
"SPECIALIZED TECHNICAL & MEDICAL SUPPORT","Department of the Army",3500,"contract"
"SUBSISTENCE","Department of the Army",36501.5,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","Department of Veterans Affairs",629610,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","Department of the Air Force",292937.17,"contract"
"TECHNICAL REPRESENTATIVE SERVICES","Agency for International Development",4551.15,"contract"
"TRAINING AIDS & DEVICES","U.S. Customs and Border Protection",705440,"contract"
"TRAINING AIDS & DEVICES","Department of the Air Force",236847,"contract"
"TRAINING AIDS & DEVICES","Department of the Navy",90534,"contract"
"TRAINING AIDS & DEVICES","National Institutes of Health",35000,"contract"
"TRAINING AIDS & DEVICES","National Aeronautics and Space Administration",30000,"contract"
"TRANSPORTATION","Department of Veterans Affairs",18813.72,"contract"
"TRANSPORTATION","National Oceanic and Atmospheric Administration",8340.72,"contract"
"TRANSPORTATION (MODAL) R&D","Federal Railroad Administration",2692921.8,"contract"
"TRANSPORTATION (MODAL) R&D","Immediate Office of the Secretary of Transportation",2098250,"contract"
"TRANSPORTATION (MODAL) R&D","National Highway Traffic Safety Administration",491150.63,"contract"
"TRANSPORTATION (MODAL) R&D","National Aeronautics and Space Administration",305815.85,"contract"
"TRANSPORTATION (MODAL) R&D","Pipeline and Hazardous Materials Safety Administration",172851,"contract"
"TRANSPORTATION (OTHER) R&D","Federal Highway Administration",4627116.24,"contract"
"TRANSPORTATION (OTHER) R&D","National Highway Traffic Safety Administration",3068394.53,"contract"
"TRANSPORTATION (OTHER) R&D","Office of the Under Secretary for Science and Technology",137621.09,"contract"
"TRANSPORTATION (OTHER) R&D","Department of Veterans Affairs",50000,"contract"
"TRANSPORTATION (OTHER) R&D","Centers for Disease Control and Prevention",29904,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","U.S. Geological Survey",524936,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","Department of Veterans Affairs",378972.79,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","Department of the Army",264726.11,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","Department of the Navy",76279.3,"contract"
"TRAVEL, LODGING, & RECRUITMENT SERVICES","National Oceanic and Atmospheric Administration",55216,"contract"
"UTILITIES","Department of Veterans Affairs",4246588.91,"contract"
"UTILITIES","Forest Service",400000,"contract"
"UTILITIES","National Oceanic and Atmospheric Administration",103508.46,"contract"
"UTILITIES","Department of the Navy",63979.28,"contract"
"UTILITIES","Department of the Air Force",13208,"contract"
"VEHICULAR EQUIPMENT COMPONENTS","National Aeronautics and Space Administration",849829,"contract"
"WATER PURIFICATION & SEWAGE TREATMENT","National Oceanic and Atmospheric Administration",103200,"contract"
"WEAPONS","Department of Veterans Affairs",316620,"contract"
"WEAPONS","U.S. Customs and Border Protection",4120,"contract"
NA,NA,68620856,"grant"
NA,NA,4400100,"grant"
NA,NA,585914,"grant"
NA,NA,120393984,"grant"
NA,NA,17687519,"grant"
NA,NA,2589679.06,"grant"
NA,NA,2513594,"grant"
NA,NA,137208704.86,"grant"
NA,NA,2648505.56,"grant"
NA,NA,120000,"grant"
NA,NA,35441,"grant"
NA,NA,3761927.23,"grant"
NA,NA,3217045.41,"grant"
NA,NA,1200000,"grant"
NA,NA,112371760.75,"grant"
NA,NA,16490032,"grant"
NA,NA,6988856,"grant"
NA,NA,545328,"grant"
NA,NA,363297.62,"grant"
NA,NA,252665258,"grant"
NA,NA,49875025,"grant"
NA,NA,10417401,"grant"
NA,NA,1083744.63,"grant"
NA,NA,91169,"grant"
NA,NA,585827,"grant"
NA,NA,412652.28,"grant"
NA,NA,210912,"grant"
NA,NA,11081127,"grant"
NA,NA,3924585.07,"grant"
NA,NA,274974.1,"grant"
NA,NA,21281816.83,"grant"
NA,NA,8946316.19,"grant"
NA,NA,1207517,"grant"
NA,NA,9408213,"grant"
NA,NA,5305558,"grant"
NA,NA,3978613,"grant"
NA,NA,2638728.77,"grant"
NA,NA,650000,"grant"
NA,NA,23304837.64,"grant"
NA,NA,84807230,"grant"
NA,NA,13579872,"grant"
NA,NA,2487789,"grant"
NA,NA,1416439,"grant"
NA,NA,2297891310.58,"grant"
NA,NA,80443171,"grant"
NA,NA,32379143.5,"grant"
NA,NA,11947588,"grant"
NA,NA,7049822.32,"grant"
NA,NA,3185761,"grant"
NA,NA,67248370.97,"grant"
NA,NA,57864296.05,"grant"
NA,NA,18243864.62,"grant"
NA,NA,198790,"grant"
NA,NA,395047179.86,"grant"
NA,NA,972765,"grant"
NA,NA,94087119.89,"grant"
NA,NA,77037438.69,"grant"
NA,NA,15526354,"grant"
NA,NA,10317707,"grant"
NA,NA,2539927.02,"grant"
NA,NA,55357277.58,"grant"
NA,NA,23713071.08,"grant"
NA,NA,2260026.55,"grant"
NA,NA,1604016.13,"grant"
NA,NA,1054177,"grant"
NA,NA,4998074.1,"grant"
NA,NA,4095269.94,"grant"
NA,NA,1377410,"grant"
NA,NA,100000,"grant"
NA,NA,217541.71,"grant"
NA,NA,13551540,"grant"
NA,NA,524581.69,"grant"
NA,NA,505996.11,"grant"
NA,NA,6062749.53,"grant"
NA,NA,569733.5,"grant"
NA,NA,66129.7,"grant"
NA,NA,19613789.52,"grant"
NA,NA,8148807.73,"grant"
NA,NA,1125996,"grant"
NA,NA,833700,"grant"
NA,NA,471095,"grant"
NA,NA,36328121,"grant"
NA,NA,22327477.63,"grant"
NA,NA,5444979,"grant"
NA,NA,335810,"grant"
NA,NA,643560,"grant"
NA,NA,642120,"grant"
NA,NA,35052497,"grant"
NA,NA,1936822,"grant"
NA,NA,119829938,"grant"
NA,NA,2686973,"grant"
NA,NA,2648845,"grant"
NA,NA,1999990,"grant"
NA,NA,1329052,"grant"
NA,NA,17273300,"grant"
NA,NA,8669925.21,"grant"
NA,NA,2110000,"grant"
NA,NA,1183811,"grant"
NA,NA,800590,"grant"
NA,NA,317781470,"grant"
NA,NA,122192350,"grant"
NA,NA,1532691,"grant"
NA,NA,73991851,"grant"
NA,NA,72546358,"grant"
NA,NA,24176268,"grant"
NA,NA,7049188.63,"grant"
NA,NA,4544325,"grant"
NA,NA,1598532,"grant"
NA,NA,447368.58,"grant"
NA,NA,350000,"grant"
