"source","target","value"
"Defense Threat Reduction Agency","Homeland Security",72546358
"Department of Education","Education",2438163776.77
"Department of Education","Individuals with Disabilities",138441783.54
"Department of Education","Research Support Programs",99528928.06
"Department of Education","Employment Programs",67248370.97
"Department of Education","Childcare and Welfare",49875025
"Department of Energy","Energy Programs",1321996242.02
"Department of Energy","Science, Engineering, and Mathematics",140197879.16
"Department of Energy","Environment",77037438.69
"Department of Energy","Hazardous Materials",22327477.63
"Department of Energy","Homeland Security",15244996.17
"Department of Homeland Security","Homeland Security",16955668
"Department of Homeland Security","Refugee and Entrant Assistance",225000
"Department of State","Academic Exchange Programs",76380830
"Department of State","Foreign Policy",37309938
"Department of State","Humanitarian Assistance",5111128
"Department of State","Homeland Security",4544325
"Department of State","Disaster Response and Assistance",3978613
"Department of the Air Force","Defense R&D",275357717
"Department of the Air Force","Science, Engineering, and Mathematics",115013838
"Department of the Air Force","Medical R&D",9971760
"Department of the Air Force","Cybersecurity",2978465
"Department of the Air Force","Research Support Programs",2800000
"Department of the Army","Medical R&D",691007268
"Department of the Army","Defense R&D",293417291
"Department of the Army","Science, Engineering, and Mathematics",170553356
"Department of the Army","Homeland Security",24176268
"Department of the Army","Public Health",739189
"Department of the Interior","Science, Engineering, and Mathematics",991667
"Department of the Navy","Science, Engineering, and Mathematics",524386638
"Department of the Navy","Homeland Security",1949039
"Department of the Navy","Veterans Programs",10925
"Departmental Offices","Science, Engineering, and Mathematics",35013589.84
"Departmental Offices","Exploration and Development of Energy Sources",1377410
"Economic Development Administration","Regional Development",58841170
"Economic Development Administration","Trade Assistance",8439536.5
"Economic Research Service","Agriculture and Farming R&D",3761927.23
"Employment and Training Administration","Employment Programs",57864296.05
"Employment and Training Administration","Tribal Programs",490769
"Environmental Protection Agency","Medical R&D",24387090
"Environmental Protection Agency","Wetland Preservation",16703133
"Environmental Protection Agency","Environment",15526354
"Environmental Protection Agency","Hazardous Materials",5444979
"Environmental Protection Agency","Brownfield Sites",1200000
"Federal Aviation Administration","Science, Engineering, and Mathematics",15731303.57
"Federal Aviation Administration","Infrastructure",3510059
"Federal Emergency Management Agency","Homeland Security",73991851
"Federal Emergency Management Agency","Fire Suppression Assistance Programs",13551540
"Federal Emergency Management Agency","Disaster Response and Assistance",9408213
"Federal Highway Administration","Infrastructure",5325368.98
"Federal Highway Administration","Science, Engineering, and Mathematics",1898900
"Federal Highway Administration","infrastructure",1495290.02
"Federal Motor Carrier Safety Administration","Transportation",2130515
"Federal Railroad Administration","Transportation",99997.61
"Federal Transit Administration","Transportation",11254515.09
"Federal Transit Administration","Infrastructure",6040863.06
"Federal Transit Administration","Employment Programs",2000000
"Food and Drug Administration","Medical R&D",65793891
"Food and Drug Administration","Food and Nutrition",1125996
"Food and Drug Administration","Social Wellness and Development",824697
"Food and Nutrition Service","Food and Nutrition",8795173.73
"Food and Nutrition Service","Tribal Programs",99965
"Food Safety and Inspection Service","Food and Nutrition",833700
"Food Safety and Inspection Service","Farm Operations",217541.71
"Foreign Agricultural Service","Agriculture and Farming R&D",5005607.89
"Foreign Agricultural Service","Trade Assistance",519379.68
"Foreign Agricultural Service","Agriculture and Farming",186336.5
"Forest Service","Environment",94087119.89
"Forest Service","Environmental R&D",1604016.13
"Forest Service","Hazmat and Fire Safety",643560
"Forest Service","Fire Suppression Assistance Programs",524581.69
"Health Resources and Services Administration","Nursing and Health Professionals",419004267
"Health Resources and Services Administration","HIV Programs",122192350
"Health Resources and Services Administration","Healthcare Services",119829938
"Health Resources and Services Administration","Early Childhood Programs",84807230
"Health Resources and Services Administration","Addiction and Recovery",17687519
"Immediate Office of the Secretary of Transportation","Transportation",59947461.05
"Immediate Office of the Secretary of Transportation","Infrastructure",486921
"Immediate Office of the Secretary of Transportation","Business",363297.62
"Indian Health Service","Nursing and Health Professionals",3506394
"Indian Health Service","Tribal Programs",349813
"Institute of Museum and Library Services","Humanities and the Arts",14146011.31
"Institute of Museum and Library Services","State Reimbursement",8736714
"Institute of Museum and Library Services","Education",6067578.31
"Institute of Museum and Library Services","Historic Sites",800590
"Insular Affairs","Regional Development",2081589.83
"Internal Revenue Service","Information Services and Records Preservation",4582145.86
"Internal Revenue Service","Science, Engineering, and Mathematics",221999
"Maritime Administration","Education",948000
"Mine Safety and Health Administration","Occupational Safety",3394365.72
"Minority Business Development Agency","Business",6988856
"National Aeronautics and Space Administration","Science, Engineering, and Mathematics",654613184.02
"National Aeronautics and Space Administration","Education",89075806.7
"National Aeronautics and Space Administration","Research Support Programs",11569257.37
"National Agricultural Statistics Service","Information Services and Records Preservation",1049710
"National Endowment for the Arts","Humanities and the Arts",5505604.52
"National Endowment for the Humanities","Humanities and the Arts",23503491.03
"National Endowment for the Humanities","Education",7049822.32
"National Endowment for the Humanities","Science, Engineering, and Mathematics",481828
"National Highway Traffic Safety Administration","Transportation",196000
"National Historical Publications and Records Commission","Information Services and Records Preservation",4704042.62
"National Institute of Food and Agriculture","Agriculture and Farming R&D",545008547.76
"National Institute of Food and Agriculture","Education",56047765.44
"National Institute of Food and Agriculture","Agriculture and Farming",36719589.14
"National Institute of Food and Agriculture","Food and Nutrition",19613789.52
"National Institute of Food and Agriculture","Energy Programs",7844880.9
"National Institute of Standards and Technology","Research Support Programs",63138488.77
"National Institute of Standards and Technology","Science, Engineering, and Mathematics",35140962.92
"National Institute of Standards and Technology","Trade Assistance",30785752.13
"National Institute of Standards and Technology","Education",647118.06
"National Institutes of Health","Medical R&D",16657883383
"National Institutes of Health","Medical R&D (Infectious Diseases)",2422916311
"National Institutes of Health","Early Childhood Programs",841683257
"National Institutes of Health","Research Support Programs",716670807
"National Institutes of Health","Social Wellness and Development",703566748
"National Oceanic and Atmospheric Administration","Science, Engineering, and Mathematics",354653604.55
"National Oceanic and Atmospheric Administration","Environmental R&D",27635005.08
"National Oceanic and Atmospheric Administration","Environment",27018961.82
"National Oceanic and Atmospheric Administration","Wetland Preservation",22655010.31
"National Oceanic and Atmospheric Administration","Education",13780000
"National Park Service","Science, Engineering, and Mathematics",36909888.87
"National Park Service","Historic Sites",8669925.21
"National Park Service","Environment",1461766.97
"National Park Service","Tribal Programs",676806.28
"National Science Foundation","Science, Engineering, and Mathematics",4728358771
"National Science Foundation","Education",1119536380
"National Science Foundation","Environment",10317707
"Nuclear Regulatory Commission","Research Support Programs",15727862.99
"Occupational Safety and Health Administration","Occupational Safety",19019382.83
"Office of Assistant Secretary for Health","Public Health",11029998
"Office of Assistant Secretary for Health","Social Wellness and Development",10980104
"Office of Assistant Secretary for Health","Early Childhood Programs",2487789
"Office of Assistant Secretary for Health","Healthcare Services",1329052
"Office of Assistant Secretary for Health","Research Support Programs",950513
"Office of Assistant Secretary for Preparedness and Response","Medical R&D",55199999
"Office of Assistant Secretary for Preparedness and Response","Medical R&D (Infectious Diseases)",8422147
"Office of Economic Adjustment","Regional Development",6804778
"Office of Economic Adjustment","State Reimbursement",5577245
"Office of Justice Programs","Research Support Programs",71408917.42
"Office of Justice Programs","Criminal Justice and Public Safety",21281816.83
"Office of Justice Programs","Social Wellness and Development",10151890.74
"Office of Justice Programs","Information Services and Records Preservation",1316242.5
"Office of Justice Programs","Childcare and Welfare",1083744.63
"Office of Lead Hazard Control and Healthy Homes","Lead Hazard Programs",5210174.65
"Office of Surface Mining, Reclamation and Enforcement","Regional Development",146552.27
"Office of the National Drug Control Policy","Drug Policy R&D",26804837.64
"Offices, Boards and Divisions","Social Wellness and Development",21652965.96
"Offices, Boards and Divisions","Criminal Justice and Public Safety",8946316.19
"Pipeline and Hazardous Materials Safety Administration","Infrastructure",5051736.16
"Pipeline and Hazardous Materials Safety Administration","Hazmat and Fire Safety",642120
"President's Committee on Employment of the Handicapped","Individuals with Disabilities",2006453
"Rural Business Cooperative Service","Regional Development",5615644
"Rural Business Cooperative Service","Environment",1138003
"Rural Business Cooperative Service","Healthcare Services",978341
"Rural Business Cooperative Service","Energy Programs",972765
"Rural Housing Service","Regional Development",4148478
"Rural Housing Service","Housing and Development",606325
"Rural Utilities Service","Education",11947588
"Rural Utilities Service","Regional Development",1240521
"Rural Utilities Service","Water Resources",649688
"Rural Utilities Service","Hazardous Materials",335810
"Securities and Exchange Commission","Science, Engineering, and Mathematics",42538
"Small Business Administration","Business",112371760.75
"Small Business Administration","Veterans Programs",5380560.92
"Small Business Administration","Trade Assistance",460310
"Social Security Administration","Medical and Federal Benefits",6726750.9
"Social Security Administration","Individuals with Disabilities",543440
"Substance Abuse and Mental Health Services Administration","Addiction and Recovery",120393984
"Substance Abuse and Mental Health Services Administration","Healthcare Services",3899990
"Substance Abuse and Mental Health Services Administration","Social Wellness and Development",1874839
"Substance Abuse and Mental Health Services Administration","Individuals with Disabilities",458554
"U.S. Census Bureau","Science, Engineering, and Mathematics",499874
"U.S. Fish and Wildlife Service","Wildlife",6588186.88
"U.S. Fish and Wildlife Service","Science, Engineering, and Mathematics",5842151.14
"U.S. Fish and Wildlife Service","Disaster Response and Assistance",2638728.77
"U.S. Fish and Wildlife Service","Water Resources",2109684.48
"U.S. Fish and Wildlife Service","Wildlife Conservation",1522824.65
"U.S. Geological Survey","Environmental R&D",55357277.58
"U.S. Geological Survey","Wildlife",14357437.22
"U.S. Geological Survey","Wildlife Conservation",11590694.64
"U.S. Geological Survey","Communications and GIS",3918992.53
"U.S. Geological Survey","Hazmat and Fire Safety",2949027
"Under Secretary for Benefits/Veterans Benefits Administration","Veterans Programs",39977
"Under Secretary for Health/Veterans Health Administration","Homelessness",1598532
"Under Secretary for Health/Veterans Health Administration","Veterans Programs",574928.11
"Uniformed Services University of the Health Sciences","Medical R&D",4351861
"Veterans Employment and Training Services","Homelessness",6704.68
"Washington Headquarters Services","Historic Sites",17273300
"Washington Headquarters Services","Regional Development",10736610
"Washington Headquarters Services","Science, Engineering, and Mathematics",1459877
"Washington Headquarters Services","Homeland Security",488264
"Washington Headquarters Services","Business",58456
