psc,name
Q3,LABORATORY TESTING SERVICES
Q4,"NURSING, NURSING HOME, EVALUATION & SCREENING"
Q5,"MEDICAL, DENTAL, & SURGICAL SERVICES"
Q6,CERTIFIED MEDICAL SUPPORT
Q7,SPECIALIZED TECHNICAL & MEDICAL SUPPORT
Q8,CLERICAL MEDICAL SUPPORT
Q9,OTHER MEDICAL SERVICES
R,SUPPORT SERVICES
R1,BUILDINGS & FACILITIES (OBSOLETE)
R2,ARCHITECT-ENGINEER (OBSOLETE CODES)
R3,ADP SERVICES (OBSOLETE CODES)
R4,PROFESSIONAL SERVICES
R5,STUDIES (OBSOLETE CODES)
R6,ADMINISTRATIVE SUPPORT SERVICES
R7,MANAGEMENT SUPPORT SERVICES
S,UTILITIES & HOUSEKEEPING
S1,UTILITIES
S2,HOUSEKEEPING SERVICES
T,"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING"
T0,"PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING"
U,EDUCATION & TRAINING
U0,EDUCATION & TRAINING SERVICES
V,"TRANSPORT, TRAVEL, & RELOCATION"
V0,MOTOR POOL & PACKING
V1,TRANSPORTATION
V2,"TRAVEL, LODGING, & RECRUITMENT SERVICES"
V3,"OTHER TRANSPORTATION, RELOCATION, & TRAVEL SERVICES"
V9,RELOCATION & TRAVEL SERVICES
W,LEASE & RENTAL EQUIPMENT
W0,LEASE & RENTAL EQUIPMENT
X,LEASE & RENT FACILITIES
X1,LEASE & RENTAL OF BUILDINGS
X2,LEASE & RENTAL NONBUILDING FACILITIES
X3,LEASE & RENTAL OF RESTORATION ACTIVITIES
Y,CONSTRUCTION OF STRUCTURES & FACILITIES
Y1,CONSTRUCTION OF BUILDINGS
Y2,CONSTRUCT NONBUILDING FACILITIES
Y3,CONSTRUCTION & RESTORATION ACTIVITIES
Z,"MAINTENANCE, REPAIRS, & ALTERATIONS OF PROPERTY"
Z1,"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS"
Z2,"MAINTENANCE, REPAIRS, & ALTERATIONS OF NONBUILDINGS"
Z3,"MAINTENANCE, REPAIRS, & ALTERATIONS OF RESTORATION PROPERTIES"
ZZ,PRODUCT CODE UNAVAILABLE
