federal_account_id,federal_account_code,Subagency,Title,treasury_account_identifier,tas_rendering_label,Agency
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",45793,010-2011/2011-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",53402,010-2012/2012-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",56068,010-2013/2013-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",59668,010-2014/2014-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",62760,010-2015/2015-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",66020,010-2016/2016-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",69803,010-2017/2017-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",72932,010-2018/2018-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",1246,010-X-0930-000,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",42807,015-010-2010/2010-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",47054,015-010-2011/2011-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",53486,015-010-2012/2012-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",56749,015-010-2013/2013-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",59206,015-010-2014/2014-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",63220,015-010-2015/2015-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",66841,015-010-2016/2016-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",70508,015-010-2017/2017-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",72318,015-010-2018/2018-0930-003,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",7026,015-010-X-0930-003,US Agencies - Non-CFO Act
3293,010-0932,The Judiciary,"Furniture and Furnishings, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3294,010-0938,United States Sentencing Commission,"Salaries and Expenses, United States Sentencing Commission, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3295,010-0941,Judicial Retirement Funds,"Payment to Judiciary Trust Funds, Judicial Retirement Funds, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3296,010-3927,The Judiciary,"Consolidated Working Fund, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3297,010-4518,The Judiciary,"Judiciary Office Building Development and Operations Fund, Judiciary",NA,NA,US Agencies - Non-CFO Act
3298,010-5100,The Judiciary,"Filing Fees, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3299,010-5101,The Judiciary,"Registry Administration Account, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3300,010-5114,The Judiciary,"Judicial Information Technology Fund, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3301,010-6047,United States Courts,"Registry Funds, United States Courts, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3302,010-6050,United States Courts,"Employees' Payroll Allotment Account, United States Savings Bonds, United States Courts",NA,NA,US Agencies - Non-CFO Act
3303,010-6275,Supreme Court of the United States,"Withheld State and Local Taxes, Supreme Court",NA,NA,US Agencies - Non-CFO Act
3304,010-6276,Supreme Court of the United States,"Other Federal Payroll Withholding, Allotments, Supreme Court",NA,NA,US Agencies - Non-CFO Act
3305,010-6501,Supreme Court of the United States,"Small Escrow Amount, Supreme Court",NA,NA,US Agencies - Non-CFO Act
3306,010-6854,The Judiciary,"Deposits for Expenses of the Fifth International Appellate Judge Conference, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3307,010-6855,The Judiciary,"Fees and Other Collections, Clerks of United States Courts and Register of Wills for the District of Columbia, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3308,010-6999,The Judiciary,"Accounts Payable, Check Issue Underdrafts, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3309,010-8110,The Judiciary,"Judicial Survivors Annuity Fund, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3310,010-8122,The Judiciary,"Judicial Officers Retirement Fund, The Judiciary",NA,NA,US Agencies - Non-CFO Act
