"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"Department of Agriculture","Office of the Secretary",286,"Office of Communications, Agriculture",0,92943.3
"Department of Agriculture","Office of the Secretary",266,"Homeland Security Staff, Agriculture",26520.48,5962.28
"Department of Agriculture","Office of the Secretary",281,"Office of Tribal Relations, Agriculture",0,2078.74
"Department of Agriculture","Office of the Secretary",282,"Office of Advocacy and Outreach, Executive Operations, Agriculture",64.89,144218.03
"Department of Agriculture","Office of the Secretary",476,"Gifts and Bequests, Agriculture",558514.56,4448928.42
"Department of Agriculture","Executive Operations",273,"Office of the Chief Economist, Executive Operations, Agriculture",20051468.99,3322041.11
"Department of Agriculture","Executive Operations",299,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",14010305.38,733509.35
"Department of Agriculture","Executive Operations",296,"Office of Budget and Program Analysis, Executive Operations, Agriculture",8606470.53,4333896.2
"Department of Agriculture","Executive Operations",267,"Expenses, Common Computing Environment, Agriculture",0,35128.15
"Department of Agriculture","Executive Operations",408,"Working Capital Fund, Agriculture",961603825.26,237136775.86
"Department of Agriculture","Office of Chief Information Officer",263,"Expenses, Office of the Chief Information Officer, Agriculture",68242841.58,1694431.13
"Department of Agriculture","Office of Chief Financial Officer",264,"Expenses, Office of the Chief Financial Officer, Agriculture",8135925.35,862065.64
"Department of Agriculture","Office of Civil Rights",393,"Office of Civil Rights, Agriculture",29978998.07,2623314.2
"Department of Agriculture","Hazardous Materials Management",294,"Hazardous Materials Management, Agriculture",4584205.12,156542.84
"Department of Agriculture","Buildings and Facilities",269,"Agriculture Buildings and Facilities, Agriculture",71257447.37,45370375.99
"Department of Agriculture","Office of Inspector General",301,"Office of the Inspector General, Agriculture",101306954.98,15811947.81
"Department of Agriculture","Office of Inspector General",440,"Inspector General Assets Forfeiture, Treasury",941332.65,4797217.48
"Department of Agriculture","Office of Inspector General",439,"Inspector General Assets Forfeiture, Justice",1050861.25,5351591.43
"Department of Agriculture","Office of Inspector General",300,"Office of Inspector General - Recovery Act, Agriculture",36.65,0
"Department of Agriculture","Office of the General Counsel",360,"Office of the General Counsel, Agriculture",49195150.07,1013020.13
"Department of Agriculture","Office of the General Counsel",284,"Office of Ethics, Agriculture",3991746.55,1615514.13
"Department of Agriculture","Economic Research Service",336,"Economic Research Service, Agriculture",90773818.66,3254107.18
"Department of Agriculture","Economic Research Service",481,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture",0,1080.46
"Department of Agriculture","National Agricultural Statistics Service",337,"National Agricultural Statistics Service, Agriculture",206833273.36,206225.06
"Department of Agriculture","National Agricultural Statistics Service",479,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",61725.91,54945.4
"Department of Agriculture","Agricultural Research Service",326,"Salaries and Expenses, Agricultural Research Service, Agricullture",1339953311.71,47548787.85
"Department of Agriculture","Agricultural Research Service",432,"Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",21208.25,641253.01
"Department of Agriculture","Agricultural Research Service",327,"Buildings and Facilities, Agricultural Research Service, Agriculture",147268942.34,200995693.94
"Department of Agriculture","Agricultural Research Service",478,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",25388969.48,30150661.31
"Department of Agriculture","National Institute of Food and Agriculture",333,"Integrated Activities, National Institute of Food and Agriculture, Agriculture",131770383.48,24619383.51
"Department of Agriculture","National Institute of Food and Agriculture",304,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",403100.48,8655688.14
"Department of Agriculture","National Institute of Food and Agriculture",331,"Research and Education Activities, National Institute of Food and Agriculture, Agriculture",828765561.03,500528155.28
"Department of Agriculture","National Institute of Food and Agriculture",416,"Native American Institutions Endowment Fund, Agriculture",6394419.14,1305839.21
"Department of Agriculture","National Institute of Food and Agriculture",332,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",7363.47,1662898.36
"Department of Agriculture","National Institute of Food and Agriculture",295,"Extension Activities, National Institute of Food and Agriculture, Agriculture",522354865.44,48021866.09
"Department of Agriculture","Animal and Plant Health Inspection Service",334,"Salaries and Expenses, Animal and Plant Health Inspection Service",1222255679.59,520016604
"Department of Agriculture","Animal and Plant Health Inspection Service",411,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",242743140.37,122315863.55
"Department of Agriculture","Animal and Plant Health Inspection Service",335,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",1797866.36,49148975.82
"Department of Agriculture","Animal and Plant Health Inspection Service",480,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",10069884.02,8116795.01
"Department of Agriculture","Animal and Plant Health Inspection Service",485,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",870206.84,0
"Department of Agriculture","Food Safety and Inspection Service",391,"Food Safety and Inspection Service, Agriculture",1264727409.18,88994429.9
"Department of Agriculture","Food Safety and Inspection Service",474,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",26244081.5,1547663.37
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",361,"Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture",44364501.84,4612627.36
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",394,"Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",52701318.79,37093094.11
"Department of Agriculture","Agricultural Marketing Service",362,"Marketing Services, Agricultural Marketing Service, Agriculture",220498779.46,60833690.12
"Department of Agriculture","Agricultural Marketing Service",363,"Payments to States and Possessions, Agricultural Marketing Service, Agriculture",66079943.54,9723337.45
"Department of Agriculture","Agricultural Marketing Service",410,"Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",11319049.86,14589699.47
"Department of Agriculture","Agricultural Marketing Service",420,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",795626755.84,54880032.1
"Department of Agriculture","Agricultural Marketing Service",468,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",164503638.64,59424987
"Department of Agriculture","Agricultural Marketing Service",289,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",2250000,0
"Department of Agriculture","Agricultural Marketing Service",473,"Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",2094750,153000
"Department of Agriculture","Risk Management Agency",365,"Administrative and Operating Expenses, Office of Risk Management, Agriculture",83060959.03,4336626.65
"Department of Agriculture","Risk Management Agency",395,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",8762978440.49,576000000
"Department of Agriculture","Farm Service Agency",375,"Reforestation Pilot Program, Farm Service Agency, Agriculture",600000,0
"Department of Agriculture","Farm Service Agency",297,"Salaries and Expenses, Farm Service Agency, Agriculture",1551526977.91,118957209.06
"Department of Agriculture","Farm Service Agency",287,"State Mediation Grants, Farm Service Agency, Agriculture",3903999.92,704650.53
"Department of Agriculture","Farm Service Agency",321,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",0,27789687.92
"Department of Agriculture","Farm Service Agency",364,"USDA Disaster Assistance, Farm Service Agency, Agriculture",2336907.2,4306468.14
"Department of Agriculture","Farm Service Agency",378,"Emergency Conservation Program, Farm Service Agency, Agriculture",104311752.54,239822534.04
"Department of Agriculture","Farm Service Agency",288,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",5382341.33,60713096.28
"Department of Agriculture","Farm Service Agency",374,"Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",6500000,0
"Department of Agriculture","Farm Service Agency",319,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",621608816.93,26921304.11
"Department of Agriculture","Farm Service Agency",376,"Dairy Indemnity Program, Farm Service Agency, Agriculture",224334.08,0
"Department of Agriculture","Farm Service Agency",396,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",1072317.33,6263044.74
"Department of Agriculture","Farm Service Agency",380,"Conservation Reserve Program, Farm Service Agency, Agriculture",0,0
"Department of Agriculture","Farm Service Agency",404,"Commodity Credit Corporation Fund, Agriculture",18265965765.08,438824278.21
"Department of Agriculture","Farm Service Agency",390,"Reimbursement for Net Realized Losses, Commodity Credit Corporation",0,0
"Department of Agriculture","Farm Service Agency",325,"Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",22352752.92,6593511.22
"Department of Agriculture","Farm Service Agency",405,"Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",607835.96,0
"Department of Agriculture","Farm Service Agency",371,"Farm Storage Facility Loans Program Accounts, Farm Service Agency, Agriculture",11661923,0
"Department of Agriculture","Farm Service Agency",373,"Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture",96078,0
"Department of Agriculture","Farm Service Agency",372,"Apple Loans Program Account, Farmer Service Agency, Agriculture",59993,0
"Department of Agriculture","Farm Service Agency",442,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",577765.62,15184040.46
"Department of Agriculture","Farm Service Agency",446,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",14896000,2.22
"Department of Agriculture","Farm Service Agency",447,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",26572706.72,15846741.86
"Department of Agriculture","Farm Service Agency",475,"Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",0,20126858.63
"Department of Agriculture","Natural Resources Conservation Service",302,"Conservation Operations, Natural Resources Conservation Service, Agriculture",877848124.61,214688619.12
"Department of Agriculture","Natural Resources Conservation Service",305,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",3683605189.19,3972998471.51
"Department of Agriculture","Natural Resources Conservation Service",382,"Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture",0,48493.67
"Department of Agriculture","Natural Resources Conservation Service",308,"Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",238894871.41,378483481.05
"Department of Agriculture","Natural Resources Conservation Service",303,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",34416890.24,27340723.09
"Department of Agriculture","Natural Resources Conservation Service",306,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",0,72428.93
"Department of Agriculture","Natural Resources Conservation Service",309,"Wetlands Reserve Program, Natural Resources Conservation Service, Agriculture",0,0
"Department of Agriculture","Natural Resources Conservation Service",310,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",0,93
"Department of Agriculture","Natural Resources Conservation Service",354,"Great Plains Conservation Program, Natural Resources Conservation Service",0,0
"Department of Agriculture","Natural Resources Conservation Service",383,"Forestry Incentives Program, Natural Resources Conservation Service",0,0
"Department of Agriculture","Natural Resources Conservation Service",381,"Water Bank Program, Natural Resources Conservation Service, Agriculture",4459598.08,519943.86
"Department of Agriculture","Natural Resources Conservation Service",379,"Colorado River Basin Salinity Control Program, Natural Resources Conservation Service, Agriculture",0,0
"Department of Agriculture","Natural Resources Conservation Service",406,"Damage Assessment and Restoration Revolving Fund, Agriculture",21.84,3256928.92
"Department of Agriculture","Natural Resources Conservation Service",477,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",0,533419.36
"Department of Agriculture","Rural Development",292,"Salaries and Expenses, Rural Development, Agriculture",697187399.34,30732365.45
"Department of Agriculture","Rural Housing Service",343,"Expenses, Rural Housing Assistance Grants, Rural Housing Service",34062873.42,3370424.86
"Department of Agriculture","Rural Housing Service",285,"Rental Assistance Program, Rural Housing Service, Agriculture",1365033000,49370104.69
"Department of Agriculture","Rural Housing Service",347,"Rural Rental Assistance Payments, Rural Housing Service, Agriculture",38662463.07,13010081.76
"Department of Agriculture","Rural Housing Service",348,"Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",36614384.51,6262677.64
"Department of Agriculture","Rural Housing Service",342,"Community Facility Loans Program Account, Rural Housing and Community Development Service",292940588.75,9620659.3
"Department of Agriculture","Rural Housing Service",353,"Rural Housing Insurance Fund Program Account, Rural Housing Service, Agriculture",999533550.03,96082213.11
"Department of Agriculture","Rural Housing Service",397,"Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",28550314.41,77139835.47
"Department of Agriculture","Rural Business_Cooperative Service",352,"Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",13847642.77,14439685.83
"Department of Agriculture","Rural Business_Cooperative Service",338,"Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",17562976.38,24846575.2
"Department of Agriculture","Rural Business_Cooperative Service",368,"Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",15165105.9,240301036.84
"Department of Agriculture","Rural Business_Cooperative Service",345,"Rural Microenterprise Investment Program Account, Rural Business-Cooperative Service, Agriculture",3608278,319993.71
"Department of Agriculture","Rural Business_Cooperative Service",339,"Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service",133781092.5,20956291.16
"Department of Agriculture","Rural Business_Cooperative Service",351,"Intermediary Relending Program Fund Account, Rural Business-Cooperative Service, Agriculture",10273847.94,12593262.51
"Department of Agriculture","Rural Business_Cooperative Service",403,"Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",0,445487.84
"Department of Agriculture","Rural Business_Cooperative Service",370,"Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",6488511.73,1734858.75
"Department of Agriculture","Rural Business_Cooperative Service",340,"Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",0,2786887
"Department of Agriculture","Rural Business_Cooperative Service",341,"Renewable Energy Program, Rural Business-Cooperative Service, Agriculture",57227982.08,12803445.44
"Department of Agriculture","Rural Business_Cooperative Service",369,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",59368366,91631634
"Department of Agriculture","Rural Business_Cooperative Service",399,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",0,1065703.96
"Department of Agriculture","Rural Utilities Service",349,"High Energy Cost Grants, Rural Utilities Service, Agriculture",17039101,13275854.47
"Department of Agriculture","Rural Utilities Service",346,"Rural Water and Waste Disposal Loans Program Account, Rural Utilities Service",672269750.31,41690973.06
"Department of Agriculture","Rural Utilities Service",322,"Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",971640307.9,22143865.56
"Department of Agriculture","Rural Utilities Service",402,"Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",1490912741.49,6955131776.61
"Department of Agriculture","Rural Utilities Service",323,"Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",1217881,2850515.05
"Department of Agriculture","Rural Utilities Service",324,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",155037221.2,41951686.81
"Department of Agriculture","Rural Utilities Service",400,"Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",0,12835546.44
"Department of Agriculture","Foreign Agricultural Service",366,"Salaries and Expenses, Foreign Agricultural Service, Agriculture",337281197.16,110794754.33
"Department of Agriculture","Foreign Agricultural Service",328,"Scientific Activities Overseas, Foreign Currency Program, Foreign Agricultural Service, Agriculture",0,0
"Department of Agriculture","Foreign Agricultural Service",359,"Ameri Flora '92 Exposition, Foreign Agriculture Service, Agriculture",0,0
"Department of Agriculture","Foreign Agricultural Service",482,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",0,1003536.72
"Department of Agriculture","Foreign Agricultural Service",367,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",259971407.62,9082693.87
"Department of Agriculture","Foreign Agricultural Service",355,"Expenses, Public Law 480 Title I, Ocean Freight Differential Grants,  Foreign Agricultural  Service, Agriculture",0,0
"Department of Agriculture","Foreign Agricultural Service",358,"Public Law 480 Title II Grants, Foreign Agricultural Service, Agriculture",3309587901.85,335633201.39
"Department of Agriculture","Foreign Agricultural Service",357,"Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture",14288403,1731328.02
"Department of Agriculture","Foreign Agricultural Service",356,"Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",1271187.09,22105443.76
"Department of Agriculture","Foreign Agricultural Service",484,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",18011216.89,0
"Department of Agriculture","Food and Nutrition Service",386,"Nutrition Programs Administration, Food and Nutrition Service, Agriculture",152815957.69,24443690.14
"Department of Agriculture","Food and Nutrition Service",384,"Food Stamp Program, Food and Nutrition Service, Agriculture",70915834560.26,36297079356.66
"Department of Agriculture","Food and Nutrition Service",389,"Supplemental Nutrition Assistance Program - Recovery Act, Food and Nutrition Service, Agriculture",0,758677753
"Department of Agriculture","Food and Nutrition Service",388,"Child Nutrition Programs, Food Nutrition Service, Agriculture",22913055062.1,1689121730.39
"Department of Agriculture","Food and Nutrition Service",387,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",6702726232.08,541524041.42
"Department of Agriculture","Food and Nutrition Service",385,"Commodity Assistance Program, Food and Nutrition Service, Agriculture",314297985.88,85514371.12
"Department of Agriculture","Forest Service",311,"Capital Improvement and Maintenance, Forest Service, Agriculture",393470117.12,37054818.61
"Department of Agriculture","Forest Service",312,"Forest and Rangeland Research, Forest Service, Agriculture",346471123.76,20543948.35
"Department of Agriculture","Forest Service",470,"Donations for Forest and Rangeland Research, Forest Service, Agriculture",200,124924.85
"Department of Agriculture","Forest Service",314,"National Forest System, Forest Service, Agriculture",1674014791.47,83484115.05
"Department of Agriculture","Forest Service",431,"Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",0,0.6
"Department of Agriculture","Forest Service",313,"State and Private Forestry, Forest Service, Agriculture",267406133.29,73251706.03
"Department of Agriculture","Forest Service",438,"State and Private Forestry, Forest Service,  Agriculture",62208873.41,7076958.27
"Department of Agriculture","Forest Service",317,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",2597679.92,125905.91
"Department of Agriculture","Forest Service",315,"Wildland Fire Management, Forest Service, Agriculture",4054087828.38,248418513.53
"Department of Agriculture","Forest Service",318,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",0,0
"Department of Agriculture","Forest Service",418,"Range Betterment Fund, Forest Service, Agriculture",3434797.2,2002231.07
"Department of Agriculture","Forest Service",443,"Stewardship Contracting Product Sales, Forest Service, Agriculture",12901560.07,24607865.75
"Department of Agriculture","Forest Service",424,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",4257291.76,27429074.59
"Department of Agriculture","Forest Service",419,"Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture",850000,1093788.25
"Department of Agriculture","Forest Service",409,"Land Acquisition, Forest Service, Agriculture",48519385.48,18782398.68
"Department of Agriculture","Forest Service",441,"Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",0,335550.52
"Department of Agriculture","Forest Service",436,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",6982745.5,19614405.12
"Department of Agriculture","Forest Service",437,"Valles Caldera Fund, Forest Service, Agriculture",0,0
"Department of Agriculture","Forest Service",316,"Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",0,4395861.98
"Department of Agriculture","Forest Service",425,"Operation and Maintenance of Quarters, Forest Service, Agriculture",7768450.64,19852508.35
"Department of Agriculture","Forest Service",426,"Resource Management Timber Receipts, Forest Service, Agriculture",0,10161.06
"Department of Agriculture","Forest Service",429,"Recreation Fee Demonstration Program, Forest Service,  Agriculture",93027346.82,63031298.74
"Department of Agriculture","Forest Service",412,"Payments to States, National Forests Fund,  Forest Service, Agriculture",75902742.12,77428879.42
"Department of Agriculture","Forest Service",421,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",5725650,6150000
"Department of Agriculture","Forest Service",448,"Payments to Counties, National Grasslands, Forest Service,  Agriculture",13640510.76,0
"Department of Agriculture","Forest Service",413,"Timber Roads, Purchaser Elections, Forest Service, Agriculture",207848.63,127407.18
"Department of Agriculture","Forest Service",414,"Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",183.15,51652.68
"Department of Agriculture","Forest Service",415,"Timber Salvage Sales, Forest Service,  Agriculture",53614042.91,26874834.63
"Department of Agriculture","Forest Service",417,"Expenses, Brush Disposal, Forest Service,  Agriculture",21455041.64,7646909.76
"Department of Agriculture","Forest Service",422,"Licensee Programs, Forest Service, Agriculture",138096.31,1499432.23
"Department of Agriculture","Forest Service",423,"Restoration of Forest Lands and Improvements, Forest Service, Agriculture",57025431.17,105483180.23
"Department of Agriculture","Forest Service",427,"Quinault Special Management Area, Forest Service, Agriculture",1015.27,17468.32
"Department of Agriculture","Forest Service",430,"MNP Rental Fee Account, Forest Service, Agriculture",846623.62,3783147.81
"Department of Agriculture","Forest Service",428,"Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",17645932.08,13570948.39
"Department of Agriculture","Forest Service",435,"Land Between the Lakes Management Fund, Forest Service,  Agriculture",4440903.11,5304445.44
"Department of Agriculture","Forest Service",407,"Working Capital Fund, Forest Service,  Agriculture",254800377.07,204863538.8
"Department of Agriculture","Forest Service",469,"Cooperative Work, Forest Service,  Agriculture",272908208.76,171554220.39
"Department of Agriculture","Forest Service",472,"Reforestation Trust Fund, Forest Service, Agriculture",30486821.54,6874472.34
"Department of Agriculture","Forest Service",471,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture",123250,5892145.46
"Department of Commerce","Departmental Management",487,"Salaries and Expenses, Departmental Management, Commerce",158433236.43,7045237.18
"Department of Commerce","Departmental Management",491,"Office of Inspector General, Departmental Management, Commerce",39183764.49,11173772.55
"Department of Commerce","Departmental Management",486,"Office of Inspector General - Recovery Act, Departmental Management, Commerce",288722.23,1309780.36
"Department of Commerce","Departmental Management",488,"Renovation and Modernization, Departmental Management, Commerce",3747140.91,1003726.43
"Department of Commerce","Departmental Management",527,"Working Capital Fund, Departmental Management, Commerce",218225571.46,12645536.25
"Department of Commerce","Departmental Management",558,"Gifts and Bequests, Departmental Management, Commerce",4029962.82,1415186.33
"Department of Commerce","Economic Development Administration",490,"Salaries and Expenses, Economic Development Administration, Commerce",42637459.23,11771200.57
"Department of Commerce","Economic Development Administration",517,"Economic Development Assistance Programs, Economic Development Administration, Commerce",293980791.29,43949638.25
"Department of Commerce","Economic Development Administration",524,"Economic Development Revolving Fund, Liquidating Account, Commerce",134124.52,0
"Department of Commerce","Bureau of the Census",494,"Current Surveys and Programs, Bureau of the Census, Commerce",275936702.79,5216007.64
"Department of Commerce","Bureau of the Census",495,"Periodic Censuses and Programs, Bureau of the Census, Commerce",1246082139.91,19679625.48
"Department of Commerce","Bureau of the Census",528,"Census Working Capital Fund, Bureau of the Census, Commerce",858990032.21,307755054.26
"Department of Commerce","Bureau of Economic Analysis",516,"Salaries and Expenses, Economic and Statistical Analysis, Commerce",116877110.23,4970203.15
"Department of Commerce","Bureau of Economic Analysis",522,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",1878891.37,631439.63
"Department of Commerce","International Trade Administration",508,"Operations and Administration, International Trade Administration, Commerce",511594156.11,69979334.99
"Department of Commerce","International Trade Administration",540,"Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",0,1
"Department of Commerce","Bureau of Industry and Security",493,"Operations and Administration, Bureau of Industry and Security, Commerce",116408713.89,4325253
"Department of Commerce","Minority Business Development Agency",492,"Minority Business Development, Minority Business Development Agency, Commerce",34278122.32,5866606.82
"Department of Commerce","National Oceanic and Atmospheric Administration",509,"Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",3874920572.58,344421832.61
"Department of Commerce","National Oceanic and Atmospheric Administration",532,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,521842
"Department of Commerce","National Oceanic and Atmospheric Administration",534,"Marine Mammal Unusual Mortality Event Fund, National Oceanic and Atmospheric Administration, Commerce",0,24567.08
"Department of Commerce","National Oceanic and Atmospheric Administration",511,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology, National Oceanic and Atmospheric Administration, Commerce",6156662.03,2466884.22
"Department of Commerce","National Oceanic and Atmospheric Administration",513,"Procurement, Acquisition and Construction, National Oceanic and Atmospheric Administration, Commerce",2182327313.6,398645290.23
"Department of Commerce","National Oceanic and Atmospheric Administration",535,"Limited Access System Administration Fund, National Oceanic and Atmospheric Administration, Commerce",11248503.84,16197168.51
"Department of Commerce","National Oceanic and Atmospheric Administration",510,"Expenses, Pacific Coastal Salmon Recovery, National Oceanic and Atmospheric, Commerce",64941604.3,162619.14
"Department of Commerce","National Oceanic and Atmospheric Administration",542,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",45576.04,255924.5
"Department of Commerce","National Oceanic and Atmospheric Administration",514,"Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",0,55290.97
"Department of Commerce","National Oceanic and Atmospheric Administration",515,"NOAA Accrual Contribution to the Uniformed Services Retiree Health, Commerce",1365012,2784925
"Department of Commerce","National Oceanic and Atmospheric Administration",541,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",4196266.31,15681703.49
