"source","target","value"
"Transportation","Interest and Dividends",6370047.24
"Medicare","Rent, Communications, and Utilities",5786413.26
"Regional Development, Commerce, and Housing","Refunds",3890065.3
"Veterans Benefits and Services","Other",3695754.34999999
"Agriculture","Interest and Dividends",2959135.16
"Medicare","Refunds",2482566.58
"Natural Resources and Environment","Interest and Dividends",2434452.41
"Education, Training, Employment, and Social Services","Interest and Dividends",1844066.51
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",1003999.62
"Medicare","Travel and Transportation",830903.41
"Health","Interest and Dividends",743977.46
"Net Interest","Advisory, R&D, Medical, and Other Contracts",481513
"Medicare","Acquisition of Assets",384879.31
"Medicare","Printing and Supplies",341757.79
"Administration of Justice","Interest and Dividends",206032.51
"Veterans Benefits and Services","Interest and Dividends",101681.85
"International Affairs","Interest and Dividends",57274.75
"Agriculture","Refunds",51560.82
"Social Security","Interest and Dividends",675.77
"Medicare","Interest and Dividends",87
