cfda,Program_Title,Agency_Office,Types_of_Assistance,Date_Modified,Date_Published,Authorization,Objectives,Obligations,TAS_Account_ID,Website,Address,City,State,Zip,Phone
93.779,"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations",Department of Health and Human Services Centers for Medicare and Medicaid Services,B - PROJECT GRANTS,5/20/17 5:00,1/1/90 0:00,"Social Security Act, Title XI, Sections 1110 and 1115; 42 U.S.C. 1310 and 1315(a); Title XVIII, Section 1875; 42 U.S.C. 1395 and 42 U.S.C. 1881 (f); Section 402, Public Law 90-248, as amended; Section 222, Public Law 92-603.","The Centers for Medicare & Medicaid Services (CMS) conducts research, demonstrations, and evaluations in support of CMS' key role as a beneficiary-centered purchaser of high-quality health care at a reasonable cost. These grants are awarded are in the form of research grants and cooperative agreements; Hispanic health services grants; historically black colleges and university grants. For fiscal years 2010 and 2011, CMS research, demonstrations and evaluations will focus on expanding agency efforts to improve the efficiency of payment, delivery, access and quality of our health care programs that serve millions of beneficiaries.","(Cooperative Agreements) FY 16 $650,000; FY 17 est $650,000; and FY 18 est $500,000",75-0511-0-1-550,http://www.cms.hhs.gov/contracts/,"Office of Research, 7500 Security Boulevard",Baltimore,MD,21244,1-800-633-4277
93.728,ARRA - Strategic Health IT Advanced Research Projects (SHARP),Department of Health and Human Services Office of the Secretary,B - Cooperative Agreements,8/25/16 5:01,12/16/09 7:32,"American Recovery and Reinvestment Act of 2009 (Public Law 111-5) (Recovery Act), Title XIII, Part A, Section 3011.","To competitively-awarded cooperative agreements to establish Strategic Health IT Advanced Research Projects (SHARP). The awardees will conduct research focusing on where breakthrough advances are needed to address well-documented problems that have impeded adoption of health IT and to accelerate progress towards achieving nationwide meaningful use of health IT in support of a high-performing, learning health care system.","(Cooperative Agreements (Discretionary Grants)) FY 15 $0; FY 16 est $0; and FY 17 est $0 - Awards will be in the form of a cooperative agreement with a 4-year project period. Under this type of award, ONC will work collaboratively with each site to accomplish the goals of the award. Each cooperative agreement will anticipate a total budget of between $10 million and $18 million over the full 4-year project period.",75-0130-0-1-551,http://healthit.gov/policy-researchers-implementers/strategic-health-it-advanced-research-projects-sharp,"200 Independence, SW",Washington,DC,22209,(202) 690-7151
93.647,Social Services Research and Demonstration,Department of Health and Human Services Administration for Children and Families,B - Project Grants,8/26/16 5:00,1/1/90 0:00,"Social Security Act, Title XI, Section 1110, 42 U.S.C 1310.",To promote research and demonstrations related to the prevention and reduction of dependency or the administration and effectiveness of programs related to that purpose.,"(Project Grants) FY 15 $1,220,792; FY 16 est $866,318; and FY 17 est $900,000. (Project Grants) FY 15 Not Available; FY 16 Estimate Not Available; and FY 17 Estimate Not Available",75-1536-0-1-506,http://www.acf.hhs.gov/programs/opre,"Administration for Children and Families, 330 C St. SW",Washington,DC,20201,(202) 401-4535
93.632,"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",Department of Health and Human Services Administration for Community Living,B - Project Grants (Discretionary),7/9/16 5:00,1/1/90 0:00,"Developmental Disabilities Assistance and Bill of Rights Act of 2000, Title 1, Section 151, Public Law 106-402, 42 U.S.C 15061-15066.","To pay the Federal share of the cost of administration and operation of interdisciplinary centers that: (1) Provide interdisciplinary training for personnel concerned with developmental disabilities; (2) provide community service activities that include training and technical assistance and may include direct services, e.g., family support, individual support, educational, vocational, clinical, health and prevention; (3) conduct research (basic and applied), evaluation and analysis of public policy in areas affecting individuals with developmental disabilities; and (4) disseminate information as a national and international resource.","(Project Grants (Discretionary)) FY 15 $37,674,000; FY 16 est $38,619,000; and FY 17 est $38,619,000",75-1536-0-1-506,http://www.acl.gov/Programs/AIDD/Programs/UCEDD/index.aspx,"Administration for Community Living, Department of Health and Human Services, 330 C Street SW",Washington,DC,20201,(202) 795-7417
93.615,"Maternal, Infant, and Early Childhood Home Visiting Research Programs",Department of Health and Human Services Health Resources and Services Administration,"B - Cooperative Agreements, B - Project Grants",9/21/16 15:27,1/4/12 13:49,"Social Security Act, Title V, §511(c)(4), (d)(1)(B)(iii), and (h)(3), (42 U.S.C. 711(c)(4), (d)(1)(B)(iii), and (h)(3)), as added by the Patient Protection and Affordable Care Act, §2951 (P.L. 111-148).","The Maternal, Infant, and Early Childhood Home Visiting (Home Visiting) Research Programs are designed to: increase knowledge about the implementation and effectiveness of voluntary home visiting programs, using random assignment designs to the maximum extent feasible. Research relating to maternal, infant, and early childhood home visiting services will be conducted to advancing knowledge about the implementation and effectiveness of home visiting programs designed to improve life outcomes among mothers, infants, young children, and families who reside in at risk communities. Research and evaluation activities include consultation with independent researchers, State officials, and developers and providers of home visiting programs on topics such as research design and administrative data matching. The Home Visiting Research Programs include the Home Visiting Research Program and the Home Visiting Research Network. The Home Visiting Technical Assistance Programs provide technical assistance to Home Visiting grantees in administering programs or activities conducted in whole or in part with grant funds. This includes corrective action technical assistance for Home Visiting grantees that fail to demonstrate improvement in at least four of the six benchmark areas after three years of implementation.","(Cooperative Agreements) FY 15 $299,000; FY 16 Estimate Not Available; and FY 17 est $1,300,000 - Home Visiting Research Network (Cooperative Agreement. (Project Grants) FY 15 $0; FY 16 est $0; and FY 17 est $0 - Home Visiting Research (Project Grants).",75-0321-0-1-551,http://mchb.hrsa.gov/programs/homevisiting/,"Kyle Peplinski, MA 5600 Fishers Lane, Room 12-85",Rockville,MD,20857,(301) 443-7758
93.399,Cancer Control,Department of Health and Human Services National Institutes of Health,B - Project Grants,8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Sections 301, 410 and 412, Public Law 78-410, as amended, Public Law 99-500, Public Law 100-607, 42 U.S.C. 241, 42 U.S.C. 285 - 285a-1; Small Business Research and Development Enhancement Act of 1992, Public Law 102-564.","To reduce cancer risk, incidence, morbidity, and mortality and enhance quality of life in cancer survivors through an orderly sequence from research on interventions and their impact in defined populations to the broad, systematic application of the research results through dissemination and diffusion strategies. Primary emphasis is on the inclusion of cancer prevention and control intervention(s) in any proposed study. Cancer Prevention and Cancer Control research studies are classified into one of five phases: (1) Hypothesis development; (2) methods development and testing; (3) controlled intervention trials to establish cause-and-effect relationships; (4) research in defined populations; and (5) demonstration and implementation studies. Primary interests are in research on cancer control interventions in Phases 2 through 5, and on cancer prevention research in all phases. Cancer Prevention and Control programs include those in the following areas: (1) chemoprevention; (2) cancer communications; (3) nutrition, diet, and physical activity; (4) screening and early detection, including biomarker discovery, development and validation; (5) biobehavioral mechanisms; (6) tobacco control; (7) health disparities research; (8) supportive care and survivorship; (9) health services and outcomes research; and (10) surveillance research. Cancer Control uses Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Programs to engage domestic small business concerns in federal research and development that has potential for commercialization. The goals of the SBIR & STTR Programs are to stimulate technological innovation, increase private-sector commercialization of federal research and development, increase small business participation in federally funded research and development, and foster participation by socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation. The STTR Program requires the small business concern to formally collaborate with a research institution in Phase I and Phase II of the program.",(Project Grants) FY 15 $0; FY 16 est $0; and FY 17 est $0 - Cancer Control Grants.,75-0849-0-1-550 - Cancer Control.,http://cancercontrol.cancer.gov/,"Catherine M. Battistone 9609 Medical Center Drive, Seventh Floor, West Tower, 7W532, MSC 9750",Rockville,MD,20850,(240) 276-6443
93.397,Cancer Centers Support Grants,Department of Health and Human Services National Institutes of Health,"B - Cooperative Agreements, B - Project Grants",8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Section 305(a), 410, 411, and 414, Public Law 78-410, 42 U.S.C. 241, as amended; Public Law 100-607, 42 U.S.C. 285, 285a and 285a-3; Public Law 99-500.","To provide an organizational focus and stimulus for the highest quality cancer research that effectively promotes interdisciplinary cancer research aimed toward the ultimate goal of reducing cancer incidence, mortality and morbidity. The Cancer Center Support Grant (CCSG) provides the resources and infrastructure to facilitate the coordination of interdisciplinary programs across a broad spectrum of research from basic laboratory research to clinical investigation to population science. The CCSG supports salaries for scientific leadership of the Center, shared resources for funded center investigators, certain administrative costs, planning and evaluation, and developmental funds for new recruitments and feasibility studies.","(Project Grants) FY 15 $508,795,000; FY 16 est $554,162,000; and FY 17 est $552,297,000 - Cancer Centers Support Grants.",75-0849-0-1-550 - Cancer Center Support Grants,http://cancercenters.cancer.gov/,"Catherine M. Battistone 9609 Medical Center Drive, Seventh Floor, West Tower, 7W532, MSC 9750",Rockville,MD,20850,(240) 276-6443
93.396,Cancer Biology Research,Department of Health and Human Services National Institutes of Health,"B - Cooperative Agreements, B - Project Grants",8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Section 301, 410, and 411, Public Law 78-410, 42 U.S.C. 241, as amended; Public Law 100-607, 42 U.S.C. 285 and 285a; Small Business Research and Development Enhancement, Act of 1992, as amended, Public Law 102-564.","To provide fundamental information on the cause and nature of cancer in people, with the expectation that this will result in better methods of prevention, detection and diagnosis, and treatment of neoplastic diseases. Cancer Biology Research includes the following research programs: cancer cell biology; cancer immunology, hematology and etiology; DNA and chromosomal aberrations; tumor biology and metastasis; and structural biology and molecular applications.","(Salaries) FY 15 $603,208,000; FY 16 est $606,080,000; and FY 17 est $647,358,000 - Cancer Biology Research Grants",75-0849-0-1-550 - Cancer Biology Research.,https://dcb.nci.nih.gov/,"Catherine M. Battistone 9609 Medical Center Drive, Seventh Floor, West Tower, 7W532, MSC 9750",Rockville,MD,20850,(240) 276-6443
93.395,Cancer Treatment Research,Department of Health and Human Services National Institutes of Health,"B - Cooperative Agreements, B - Project Grants",8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Sections 301, 410, and 411, Public Law 78-410, 42 U.S.C. 241, as amended, Public Law 100-607, 42 U.S.C 285(a); Small Business Research and Development Enhancement Act of 1992, Public Law 102-564.","To develop the means to cure as many cancer patients as possible and to control the disease in those patients who are not cured. Cancer Treatment Research includes the development and evaluation of improved methods of cancer treatment through the support and performance of both fundamental and applied laboratory and clinical research. Research is supported in the discovery, development, and clinical testing of all modes of therapy including: surgery, radiotherapy, chemotherapy, and biological therapy including molecularly targeted therapies, both individually and in combination. In addition, research is carried out in areas of nutritional support, stem cell and bone marrow transplantation, image guided therapies and studies to reduce toxicity of cytotoxic therapies, and other methods of supportive care that may supplement and enhance primary treatment. Small Business Innovation Research (SBIR) program: To expand and improve the SBIR program; to increase private sector commercialization of innovations derived from Federal research and development; to increase small business participation in Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation. Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation through cooperative research and development carried out between small business concerns and research institutions; to foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.","(Cooperative Agreements) FY 15 $480,999,000; FY 16 est $552,961,000; and FY 17 est $614,436,000 - Cancer Treatment Research Grants",75-0849-0-1-550 - Treatment Research.,http://www.cancer.gov/cancertopics/treatment,"Catherine M. Battistone 9609 Medical Center Drive, Seventh Floor, West Tower, 7W532, MSC 9750",Rockville,MD,20850,(240) 276-6443
93.394,Cancer Detection and Diagnosis Research,Department of Health and Human Services National Institutes of Health,"B - Cooperative Agreements, B - Project Grants",8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Sections 301, 410, and 411, Public Law 78-410, as amended, 42 U.S.C. 241; Public Law 100-607, 42 U.S.C. 285 and 285a; Small Business Research and Development Enhancement Act of 1992, Public Law 102-564.","To improve screening and early detection strategies and to develop accurate diagnostic techniques and methods for predicting the course of disease in cancer patients. Screening and Early Detection research includes development of strategies to decrease cancer mortality by finding tumors early when they are more amenable to treatment. Diagnosis research focuses on methods to determine the presence of a specific type of cancer; to predict its course and response to therapy, both a particular therapy or a class of agents; and to monitor the effect of the therapy and the appearance of disease recurrence. These methods include diagnostic imaging and direct analyses of specimens from tumor or other tissues. Support is also provided for establishing and maintaining resources of human tissue to facilitate research. Small Business Innovation Research (SBIR) program: To expand and improve the SBIR program; to increase private sector commercialization of innovations derived from Federal research and development; to increase small business participation in Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation. Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation through cooperative research and development carried out between small business concerns and research institutions; to foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.","(Project Grants (Cooperative Agreements)) FY 15 $308,269,000; FY 16 est $585,075,000; and FY 17 est $721,896,000 - Cancer Detection and Diagnosis Research Grants",75-0849-0-1-550 - Detection and Diagnosis Research.,http://prevention.cancer.gov/,"Catherine M. Battistone 9609 Medical Center Drive, Seventh Floor, West Tower, 7W532, MSC 9750",Rockville,MD,20850,(240) 276-6443
93.393,Cancer Cause and Prevention Research,Department of Health and Human Services National Institutes of Health,"B - Cooperative Agreements, B - Project Grants",8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Sections 301, 410 and 411, Public Law 78-410, as amended, 42 U.S.C. 241, 42 U.S.C. 285 - 285a-1; Small Business Research and Development Enhancement Act of 1992, Public Law 102-564.","To identify cancer risks and risk reduction strategies, to identify factors that cause cancer in man, and to discover and develop mechanisms for cancer prevention in man. Research programs include: (1) epidemiology; (2) chemical, physical and molecular carcinogenesis; (3) early detection biomarkers; (4) nutrition and bioactive food components; (5) immunology and vaccines; (6) field studies and statistics; (7) chemoprevention; (8) agent development; and (9) organ site studies. Small Business Innovation Research (SBIR) program: To expand and improve the SBIR program; to increase private sector commercialization of innovations derived from Federal research and development; to increase small business participation in Federal research and development; and to foster and encourage participation on socially and economically disadvantaged small business concern and women-owned small business concern in technological innovation. Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation through cooperative research and development carried out between small business concerns and research institutions; to foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development and economically disadvantage small business concerns and women-owned small business concerns in technological innovation.","(Project Grants (Cooperative Agreements)) FY 15 $607,560,000; FY 16 est $322,028,000; and FY 17 est $383,146,000 - Cancer Causation Research Grants",75-0849-0-1-550 - Cancer Causation Research.,http://www.cancer.gov,"Catherine M. Battistone 9609 Medical Center Drive, Seventh Floor, West Tower, 7W532, MSC 9750",Rockville,MD,20850,(240) 276-6443
93.361,Nursing Research,Department of Health and Human Services National Institutes of Health,B - PROJECT GRANTS,8/6/16 5:00,1/1/90 0:00,"Public Health Service Act, Section 301, 464, 487, 42 U.S.C 285q; Public Health Service Act, Public Law 99-158; Public Health Service Act, Public Law 102-564.","The mission of the National Institute of Nursing Research (NINR) is to promote and improve the health of individuals, families, and communities. To achieve this mission, NINR supports and conducts clinical and basic research and research training on health and illness, research that spans and integrates the behavioral and biological sciences, and that develops the scientific basis for clinical practice. From premature infants in neonatal intensive care units, to adolescents living with diabetes, to elderly cancer survivors coping with pain, nursing research develops the science to help people strengthen the quality of their lives. Nursing science transcends the boundaries of disease and research disciplines to better understand the experiences of individuals and families living with illness and to develop personalized approaches that maximize health and well-being for individuals at all stages of life, across diverse populations and settings. NINR’s scientific programs are organized around four major focus areas: symptom science, wellness, self-management of chronic conditions, and the science of end-of-life and palliative care. The Institute also explores ways in which new innovations and technologies can contribute to advancing nursing science across these four areas. In addition, NINR has a longstanding and continuing commitment to developing the next generation of nurse scientists: those individuals and team members who will carry the field of nursing science into the future. NINR’s research program in symptom science seeks a better understanding of the biological and behavioral aspects of symptoms, with the goal of developing and testing new interventions to reduce the disabling effects of symptoms and improving patient health outcomes and quality of life. Research efforts in wellness investigate the key biological, behavioral, and social factors that promote long-term health and healthy behaviors and prevent the development of illness across health conditions, settings, and the lifespan. Research in wellness is also focused on developing and testing culturally appropriate interventions to promote health and prevent illness in minority and underserved groups. NINR research in self-management seeks to engage individuals and families as active participants in maintaining and improving quality of life while living with a chronic condition or multiple chronic conditions. Self-management research encompasses health strategies that allow an individual and their health care provider to adapt treatments to individual circumstances. As the lead NIH Institute for end-of-life research, NINR supports science to assist individuals, families, and health care professionals in managing the symptoms of advanced, serious illness, and planning for end-of-life decisions. NINR also recognizes that high-quality, evidence-based palliative care is a critical component of maintaining quality of life at any stage of illness, not limited to the end of life. In focusing on innovation and technology, NINR promotes technological advancements that address a range of health care challenges and facilitate the delivery of real-time personalized information to individuals and families, health care providers, and communities. In order to prepare an innovative, diverse, and talented next generation of nurse scientists, NINR supports a variety of training opportunities for scientists and trainees at all career levels, particularly those at an early career stage who are so critical to sustaining the future of innovative research and high quality health care. NINR supports individual and institutional pre- and postdoctoral research fellowships, as well as career development awards, and sponsors numerous ‘research intensives’ for nurse scientists at all career levels. NINR’s Division of Intramural Research conducts basic and clinical research on the interactions among molecular mechanisms underlying symptoms and environmental influences on individual health outcomes. The program focuses on the biological and behavioral underpinnings of symptoms of chronic conditions, including digestive disorders, cancer-related fatigue, neuromuscular disorders, traumatic brain injury, and post-traumatic stress disorders, as well as clinical interventions to alleviate symptoms.","(Project Grants) FY 15 $103,126,002; FY 16 est $107,957,000; and FY 17 est $106,893,000 - Research Grants. (Training) FY 15 $8,677,589; FY 16 est $9,622,000; and FY 17 est $9,738,000 - National Research Service Awards (NRSA).",75-0889-0-1-552,http://www.ninr.nih.gov/,Marguerite Littleton Kearney 31 Center Drive,Bethesda,MD,20892,(301) 402-7932
93.316,"Public Health Preparedness and Response Science, Research, and Practice",Department of Health and Human Services Centers for Disease Control and Prevention,"B - Cooperative Agreements, B - Project Grants (Contracts)",9/23/16 5:00,3/6/14 5:00,"Public Health Service Act, Title 42, Part 247b, Section 317(k)(2).","The overall goal of this program is to conduct research and related public health preparedness and response (PHPR) program activities to build the scientific evidence base for public health preparedness, response, and recovery (PHPRR). Scientific research that addresses PHPR program priorities supports agency efforts to improve and enhance the nation’s health security. This program is intended to support this research, dissemination of research findings and products, translation of new science-based evidence to practice in the public health preparedness and response system, and the evaluation of effective application of science for improved practice as well as other programs, projects, or activities to advance preparedness science.",(Cooperative Agreements) FY 15 $0; FY 16 est $0; and FY 17 est $0,75-0943-0-1-550,http://www.cdc.gov/phpr/science/research.htm,"Van A. King 1600 Clifton Road, MS D-29",Atlanta,GA,30029,(404) 639-5276
93.313,NIH Office of Research on Women's Health,Department of Health and Human Services National Institutes of Health,B - Project Grants,8/3/16 5:00,9/20/12 5:00,"NIH Revitalization Act of 1993, Public Law 107-103-43, 22 Stat. , U.S.C 289 (A)(1).",ORWH will identify projects on women's health that should be conducted or supported by national research institutes; identify multi-disciplinary research related to research on women 's health that should be conducted or supported; and promote coordination and collaboration among entities conducting research.,"(Project Grants) FY 15 $32,023,823; FY 16 est $34,000,000; and FY 17 est $34,000,000",75-1208-4-6-000.,NA,"Bobby G. Gibson 6707 Democracy Blvd., Suite 400",Bethesda,MD,20892,(301) 496-9472
93.307,Minority Health and Health Disparities Research,Department of Health and Human Services National Institutes of Health,B - PROJECT GRANTS,8/10/16 5:00,11/23/09 13:12,"Public Health Service Act, Title Ill and IV, Part A and Part E, Sections 485E, 485F, 485G; Public Law 99-158 and Public Law 106-525; 42 U.S.C. 287c-31, 42 U.S.C. 287c-32, 42 U.S.C. 287c-33, 42 U.S.C. 241 and 285; Small Business Research and Development Enhancement Act of 1992, Public Law 102-564; Title Ill, Part A & E, Section 485E 485F 485G, Public Law 99-158, 106 Stat. 525, 42 U.S.C 287c-31., Title IV, Part C, Section 464z-3 and 464z, Public Law 99-158, 106 Stat. 525, 42 U.S.C 287c-31.","To support basic, clinical, social, and behavioral research; promote research infrastructure and training; foster emerging programs; disseminate information; and reach out to minority and other health disparity communities. The National Institute on Minority Health and Health Disparities (NIMHD) has established programs to pursue these goals: (1) The Centers of Excellence Program promotes research to improve minority health and/or reduce and eliminate health disparities; builds research capacity for minority health and health disparities research in academic institutions; encourages participation of health disparity groups and communities in biomedical and behavioral research and prevention and intervention activities; and brings together investigators from relevant disciplines in a manner that will enhance and extend the effectiveness of their research; (2) NIMHD Research Endowment Program builds research capacity and infrastructure at eligible NIMHD Centers of Excellence or eligible Section 736 health professions schools (42 U.S.C. 293) to facilitate minority health and other health disparities research to close the disparity gap in the burden of illness and death experienced by racial and ethnic minority Americans and other health disparity populations; promotes a diverse and strong scientific, technological and engineering workforce; and emphasizes the recruitment and retention of underrepresented minorities and other socio-economically disadvantaged populations in the fields of biomedical and behavioral research and other areas of the scientific workforce; (3) The Centers of Excellence on Environmental Health Disparities Research to stimulate basic and applied research on environmental health disparities; (4) Minority Health and Health Disparities International Research Training Program (MHIRT) awards enable U.S. institutions to tailor short-term basic science, biomedical and behavioral mentored student international research training opportunities to address global issues related to understanding, reducing, and eliminating health disparities; (5) Community-Based Participatory Research (CBPR) Initiative supports the development, implementation and evaluation of intervention research using CBPR principles and methods in targeting diseases of major public health importance in health disparity communities; (6) Small Business Innovation Research (SBIR) Program increases private sector commercialization of innovations derived from Federal research and development; encourages small business participation in Federal research and development; and fosters and encourages participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation; (7) Small Business Technology Transfer (STTR) Program stimulates and fosters scientific and technological innovation through cooperative research development carried out between small business concerns and research institutions; fosters technology transfer between small business concerns and research institutions; increases private sector commercialization of innovations derived from Federal research and development; and fosters and encourages participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation; (8) Health Disparities Research Project Grants (RPG) support innovative projects to enhance our understanding of biological mechanisms, social, behavioral, and health services that can directly and demonstrably contribute to the improvement in minority health and the elimination of health disparities; (9) Research Centers in Minority Institutions (RCMI) build capacity for basic biomedical and/or behavioral research by focusing on institutional resource development, such as supporting core research facilities and staff, purchasing advanced instrumentation, and laboratory renovations/alterations; (10) RCMI Infrastructure for Clinical and Translational Research (RCTR) supports the development of infrastructure required to conduct clinical and translational research by enhancement of, but is not limited to outpatient clinical resources, biostatistical support, core laboratories, and other capacity for patient-oriented research; (11) RCMI Translational Research Network (RTRN) supports a consortium of clinical and translational investigators from RCMI Centers, other academic health centers, providers, and community-based organizations to encourage sharing of resources and expertise in minority health and health disparities; (12) Clinical Research Education and Career Development (CRECD) Awards provide didactic training and mentored clinical research experiences to develop independent researchers who can lead clinical research studies, especially those addressing health disparities; (13) Resource-Related Minority Health and Health Disparities Research supports minority health and health disparities resource-related research in the priority areas of Bioethics Research, Global Health Research, Data Infrastructure and Dissemination, and Healthcare for Rural Populations Research; (14) Science Education Initiative supports educational, mentoring, and/or career development programs for individuals from underrepresented or health disparity populations to facilitate the development of a nationwide cohort of scientists and a multi-disciplinary national pool of health disparities investigators with necessary skills to conduct health disparities research in a diverse range of settings; (15) NIH Research Conference Grant and NIH Research Conference Cooperative Agreement Programs support high-quality conferences that are relevant to the minority health and health disparities; (16) Transdisciplinary Collaborative Centers for Health Disparities Research comprise regional coalitions of academic institutions, community organizations, service providers and systems, government agencies and other stakeholders conducting coordinated research, implementation and dissemination activities that transcend customary approaches and “silo” organizational structures to address critical questions at multiple levels in innovative ways focused on priority research areas in minority health and health disparities; (17) Disparities Research and Education Advancing our Mission (DREAM) Career Transition Award supports mentored research experience in the NIH Intramural Research Program for early stage investigators in health disparities from extramural institutions and then facilitate the transition of their research programs to the independent stage of career development; 18) Ruth L. Kirschstein NRSA Individual Predoctoral Fellowship to Promote Diversity in Health-Related Research; (19) 2014 NIH Director’s New Innovator Award initiative to support early stage investigators of exceptional creativity who propose bold and highly innovative new research approaches that have the potential to produce a major impact on broad, important problems in biomedical and behavioral research; and (20) NIH BD2K Enhancing Diversity in Biomedical Data Science to support educational activities that enhance the diversity of the biomedical, behavioral and clinical research workforce.","(Project Grants) FY 15 $230,990,197; FY 16 estimate not available; and FY 17 estimate not available",75-0897-0-1-552.,http://www.nimhd.nih.gov,Joan E. Wasserman 6707 Democracy Blvd. Suite 800,Bethesda,MD,20817,(301) 594-1788
93.286,Discovery and Applied Research for Technological Innovations to Improve Human Health,Department of Health and Human Services National Institutes of Health,B - Project Grants,7/23/16 5:00,1/1/02 0:00,"Public Health Service Act, Title IV, Section 401(b)(1) &464z.","To support hypothesis-, design-, technology-, or device-driven research related to the discovery, design, development, validation, and application of technologies for biomedical imaging and bioengineering. The program includes biomaterials (biomimetics, bioprocessing, organogenesis, rehabilitation, tissue engineering, implant science, material science, interface science, physics and stress engineering, technology assessment of materials/devices), biosensors/biotransducers (technology development, technology assessment, development of algorithms, telemetry), nanotechnology (nanoscience, biomimetics, drug delivery systems, drug bioavailability, microarray/combinatorial technology, genetic engineering, computer science, technology assessment), bioinformatics (computer science, information science, mathematics, biomechanics, computational modeling and simulation, remote diagnosis and therapy), imaging device development, biomedical imaging technology development, image exploitation, contrast agents, informatics and computer sciences related to imaging, molecular and cellular imaging, bioelectrics/biomagnetics, organ and whole body imaging, screening for diseases and disorders, and imaging technology assessment and surgery (technique development and technology development).","(Project Grants (Discretionary)) FY 15 $263,618,000; FY 16 est $281,435,000; and FY 17 est $272,570,000",75-0898-0-1-552.,http://http:/www.nibib.nih.gov,"David T. George, Ph.D. 6707 Democracy Boulevard",Bethesda,MD,20892,(301) 496-9474
93.279,Drug Abuse and Addiction Research Programs,Department of Health and Human Services National Institutes of Health,"B - PROJECT GRANTS, M - TRAINING",8/7/16 5:00,1/1/90 0:00,"Public Health Service Act, Sections 301, 302 405, 464L, 464N, 464O and 464P, 42 U.S.C. 241, 42 U.S.C. 284, 42 U.S.C. 285o, 42 U.S.C. 288, 42 U.S.C. 295; Small Business Act 15 U.S.C 638.","To support basic and clinical neuroscience, biomedical, behavioral and social science, epidemiologic, health services and health disparity research. To develop new knowledge and approaches related to the prevention, diagnosis, treatment, etiology, and consequences of drug abuse and addiction, including HIV/AIDS. To support research training and research scientist development. To support dissemination of research findings. Small Business Innovation Research (SBIR) legislation is intended to expand and improve the SBIR programs to emphasize and increase private sector commercialization of technology developed through Federal SBIR research and development; increase small business participation in Federal research and development; and foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in the SBIR program. The legislation intends that the Small Business Technology Transfer (STTR) program stimulate and foster scientific and technological innovation through cooperative research and development carried out between small business concerns and research institutions; foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.","(Project Grants) FY 15 $789,015,000; FY 16 est $821,806,000; and FY 17 est $813,529,000",75-0893-0-1-552.,http://www.drugabuse.gov/,"Camilla L. Holland 6001 Executive Blvd., Rm. 4241",Bethesda,MD,20892,(301) 435-1384
93.273,Alcohol Research Programs,Department of Health and Human Services National Institutes of Health,B - PROJECT GRANTS,5/25/17 5:00,1/1/90 0:00,"Public Health Service Act, as amended, Sections 301 and 464H, and 42 U.S.C. 290Gb; Small Business Research and Development Enhancement Act of 1992, Public Law 102-564, Public Law 78-410, 42 U.S.C 241.","To develop a sound fundamental knowledge base which can be applied to the development of improved methods of treatment and more effective strategies for preventing alcoholism and alcohol-related problems. The National Institute on Alcohol Abuse and Alcoholism (NIAAA) supports research in a broad range of disciplines and subject areas related to biomedical and genetic factors, psychological and environmental factors, alcohol-related problems and medical disorders, health services research, and prevention and treatment research. Small Business Innovation Research (SBIR) program: to increase private sector commercialization of innovations derived from Federal research and development; to increase small business participation in Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation. Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation and technology transfer through cooperative research and development carried out between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.","(Project Grants) FY 16 $344,251,000; FY 17 est $354,779,000; and FY 18 est $252,481,000 ",75-0894-0-1-552,http://www.nih.gov,"National Institutes of Health, 5635 Fishers Lane Room 2085",Rockville,MD,20852,(301) 451-2067
