cfda_number,program_title,agency_abreviation,agency,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website
14.259,Community Compass Technical Assistance and Capacity Building,HUD,Department of Housing and Urban Development,B - Cooperative Agreements,"Community Compass is HUD’s integrated technical assistance and capacity building initiative. Community Compass is designed to help HUD’s customers navigate complex housing and community development challenges by equipping them with the knowledge, skills, tools, capacity, and systems to implement HUD programs and policies successfully and be more effective stewards of HUD funding. The goal of Community Compass is to empower communities by providing effective technical assistance and capacity building so that successful program implementation is sustained over the long term.
Recognizing that HUD’s customers often interact with a variety of HUD programs as they deliver housing or community development services, Community Compass brings together technical assistance investments from across HUD program offices, including the offices of Community Planning and Development, Fair Housing and Equal Opportunity, Housing, and Public and Indian Housing. This cross-funding approach allows technical assistance to address the needs of grantees and subgrantees across multiple HUD programs, often within the same engagement, as well as address cross-agency issues.",Selected providers will be deployed as HUD deems most necessary across the country to assist organizations receiving HUD funds to improve performance and management of HUD funds.,CoC,4,Support Services,http://portal.hud.gov/hudportal/HUD?src=/program_offices/comm_planning/about/cpdta,https://cfda.gov/index?s=program&mode=form&tab=step1&id=0648964af3440a1b7c5b29e9104893d7
14.261,Homeless Management Information Systems Technical Assistance,HUD,Department of Housing and Urban Development,B - Cooperative Agreements,"Community Compass is HUD’s integrated technical assistance and capacity building initiative. Community Compass is designed to help HUD’s customers navigate complex housing and community development challenges by equipping them with the knowledge, skills, tools, capacity, and systems to implement HUD programs and policies successfully and be more effective stewards of HUD funding. The goal of Community Compass is to empower communities by providing effective technical assistance and capacity building so that successful program implementation is sustained over the long term.
Recognizing that HUD’s customers often interact with a variety of HUD programs as they deliver housing or community development services, Community Compass brings together technical assistance investments from across HUD program offices, including the offices of Community Planning and Development, Fair Housing and Equal Opportunity, Housing, and Public and Indian Housing. This cross-funding approach allows technical assistance to address the needs of grantees and subgrantees across multiple HUD programs, often within the same engagement, as well as address cross-agency issues.",Selected providers will be deployed as HUD deems most necessary across the country to assist organizations receiving HUD funds to improve performance and management of HUD funds.,CoC,4,Support Services,http://www.onecpd.info,https://cfda.gov/index?s=program&mode=form&tab=step1&id=969fe2ed7e3dc7773eeadf929579a0ac
14.265,Rural Capacity Building for Community Development and Affordable Housing Grants,HUD,Department of Housing and Urban Development,B - Project Grants,"Through funding of national non-profits with expertise in rural housing and community development, the Rural Capacity Building program enhances the capacity and ability of local governments, Indian tribes, housing development organizations, rural community development corporations (CDCs), and community housing development organizations (CHDOs) to carry out community development and affordable housing activities that benefit low- and moderate-income families and persons in rural areas.","Eligible beneficiaries are rural community-based housing development organizations, rural CDCs, CHDOs, local government and Indian tribes.",CoC,4,Housing,https://www.hudexchange.info/programs/section-4-capacity-building/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e0e1671c8705db8cfee92f73e0b781c4
14.267,Continuum of Care Program,HUD,Department of Housing and Urban Development,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1
14.268,Rural Housing Stability Assistance Program,HUD,Department of Housing and Urban Development,"B - Project Grants, C - Direct Payments for Specified Use","The Rural Housing Stability Assistance Program (RHSP) is designed to provide assistance for rural counties to re-house or improve the housing situations of individuals and families who are homeless, at risk of homelessness, or in the worst housing situations, stabilize the housing of individuals and families who are at risk of becoming homeless, and improve the ability of the lowest-income residents to afford stable housing.","Individuals and families who are homeless, at risk of homelessness or are in a worst housing situation. Worst housing situation is defined as housing that has serious health and safety defects and at least one major system that has failed or is failing.",CoC,2,Housing,http://www.hudexchange.info/rural,https://cfda.gov/index?s=program&mode=form&tab=step1&id=9aadaca0362633ba6f34c8876e97d30e
14.273,Pay for Success Permanent Supportive Housing Demonstration,HUD,Department of Housing and Urban Development,B - Project Grants,"The purpose of the Department of Justice's (DOJ's) and Department of Housing and Urban Development's (HUD's) PFS Demonstration is to strengthen communities’ ability to prevent and end homelessness and reduce avoidable incarceration by increasing the provision of Permanent Supportive Housing (PSH), a proven evidenced-based practice. The PFS Demonstration is an opportunity to equip communities with a new financing mechanism for funding PSH projects that will prevent returns to homelessness and reduce recidivism among the reentry population. The PFS Demonstration is also a valuable opportunity to test ways of achieving greater cost efficiency and effectiveness in providing homelessness assistance while expanding communities’ access to available funding for PSH.",See program's Notice of Funding Availability.,CoC,2,Housing,http://HUDExchange.info,https://cfda.gov/index?s=program&mode=form&tab=step1&id=45768cbbe5588c3615d7ad2807693a12
14.276,Youth Homelessness Demonstration Program,HUD,Department of Housing and Urban Development,C - Direct Payments for Specified Use,"The program is designed to promote a community-wide commitment to the goal of ending youth homelessness; provide funding for 10 communities (of which 4 will be rural communities). The program provides funding for efforts by nonprofit providers, States, and local governments to quickly re-house homeless unaccompanied youth. The program promotes access and effective utilization of mainstream programs and optimizes self-sufficiency among youth experiencing homelessness. Youth Homelessness Demonstration Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: permanent housing, transitional housing, supportive services only, Homeless Management Information Systems (HMIS), and homelessness prevention.",Homeless unaccompanied youth (age 24 and younger) and homeless youth (age 24 and younger) with children.,CoC,1,Housing,http://www.hudexchange.info/programs/yhdp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=ba9f04e914237b217cb97f9051a91d93
14.525,Transformation Initiative Research Grants: Demonstration and Related Small Grants,HUD,Department of Housing and Urban Development,B - Project Grants,The Office of Policy Development and Research is conducting several major demonstrations through contract studies in the following areas: Family Self-Sufficiency; Pre-Purchase Counseling; Sustainable Building Practices; and Homeless Families Intervention. The purpose of this program is to enhance these demonstrations by providing a vehicle for conducting a number of small research projects aimed at collecting additional/supplemental information and analyses.,"The purpose of this program is to enhance these demonstrations by providing a vehicle for conducting a number of small research projects aimed at collecting additional/supplemental information and analyses. 

Eligibility of tribes and tribal organizations applies only to the small grant program associated with the Sustainable Construction in Indian Country demonstration.
",CoC,6,Housing,NA,https://cfda.gov/index?s=program&mode=form&tab=step1&id=c015946c16c55dbeacbe558785f108e5
16.736,"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault",DOJ,Department of Justice,B - PROJECT GRANTS,"To provide transitional housing assistance and related support services to minors, adults, and their dependents who are homeless, or in need of transitional housing or other housing assistance, as a result of a situation of domestic violence, dating violence, sexual assault, or stalking; and for whom emergency shelter services or other crisis intervention services are unavailable or insufficient.","Beneficiaries include minors, adults, and their dependants who are homeless or in need of transitional housing or other housing assistance, as a result of a situation of domestic violence; and for whom emergency shelter services or other crisis intervention services are unavailable or insufficient.",CoC,1,Housing,http://www.justice.gov/ovw,https://cfda.gov/index?s=program&mode=form&tab=step1&id=253064427602732ba0055eda5f518a25
17.259,WIOA Youth Activities,DOL,Department of Labor,A - Formula Grants,"To help low income youth, between the ages of 14 and 24, acquire the educational and occupational skills, training, and support needed to achieve academic and employment success and successfully transition into careers and productive adulthood.","To be eligible to participate in the WIOA youth program, an individual must be an Out-of-School Youth or an In-School Youth.",State,4,Education,http://www.doleta.gov/youth_services,https://cfda.gov/index?s=program&mode=form&tab=step1&id=d24f17379a27a5dea55b8986b05f0d07
17.274,YouthBuild,DOL,Department of Labor,B - PROJECT GRANTS,"Grant funds will be used to provide disadvantaged youth with: the education and employment skills necessary to achieve economic self sufficiency in occupations in high demand and post-secondary education and training opportunities; opportunities for meaningful work and service to their communities; and opportunities to develop employment and leadership skills and a commitment to community development among youth in low-income communities. As part of their programming, YouthBuild grantees will tap the energies and talents of disadvantaged youth to increase the supply of permanent affordable housing for homeless individuals and low-income families and to assist youth to develop the leadership, learning, and high-demand occupational skills needed to succeed in today's global economy.","Under WIOA, an eligible youth is an individual who is (i) not less than age 16 and not more than age 24 on the date of enrollment; (ii) a member of a low-income family, a youth in foster care (including youth aging out of foster care), a youth offender, a youth who is an individual with a disability, a child of incarcerated parents, or a migrant youth; and (iii) a school dropout or an individual who was a school dropout and has subsequently reenrolled. Up to (but not more than) 25 percent of the participants in the program may be youth who do not meet the education and disadvantaged criteria above but who are: (1) basic skills deficient, despite attainment of a secondary school diploma or its recognized equivalent (including recognized certificates of attendance or similar documents for individuals with disabilities); or (2) have been referred by a local secondary school for participation in a YouthBuild program leading to the attainment of a secondary school diploma.",CoC,6,Education,http://www.doleta.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=bae466b84793512ffd689f4fd8a90724
17.801,Disabled Veterans' Outreach Program (DVOP),DOL,Department of Labor,A - Formula Grants,"To provide individualized career services to meet the employment needs of disabled and other eligible veterans identified by the Secretary of Labor with maximum emphasis in meeting the employment needs of those who are economically or educationally disadvantaged, particularly for veterans with significant barriers to employment.","Veterans and eligible persons with emphasis on service-connected special disabled veterans, other disabled veterans, economically or educationally disadvantaged veterans, homeless veterans and veterans with other significant barriers to employment.",CoC,6,Employment,http://www.dol.gov/vets,https://cfda.gov/index?s=program&mode=form&tab=step1&id=59485ffb2855ce65aa026b95de945423
