"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
577133.89,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","260","Supplies and materials"
125563042.72,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","251","Advisory and assistance services"
2404824298.77,"2018-04-01","450","Community and Regional Development","451","Community development","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
2527179.35,"2018-04-01","570","Medicare","571","Medicare","40","Grants and fixed charges","440","Refunds"
1109104370.97,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","00","Unknown","000",""
258369643.26,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","10","Personnel compensation and benefits","121","Civilian personnel benefits"
62675746.85,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","231","Rental payments to GSA"
368387619.83,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","253","Other goods and services from Federal sources"
-76707207.05,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","00","Unknown","000",""
31354063.14,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","232","Rental payments to others"
48924529.24,"2018-04-01","800","General Government","802","Executive direction and management","10","Personnel compensation and benefits","121","Civilian personnel benefits"
649526109.87,"2018-04-01","150","International Affairs","155","International financial programs","00","Unknown","0",""
186873835.06,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","10","Personnel compensation and benefits","121","Civilian personnel benefits"
151599866.87,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","231","Rental payments to GSA"
212885250.88,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","257","Operation and maintenance of equipment"
191250,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","220","Transportation of things"
311642.94,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","253","Other goods and services from Federal sources"
2368.25,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","40","Grants and fixed charges","430","Interest and dividends"
138772.25,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","257","Operation and maintenance of equipment"
2735203374.62,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
0,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","255","Research and development contracts"
888342200.54,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","260","Supplies and materials"
513221158.15,"2018-04-01","400","Transportation","403","Water transportation","10","Personnel compensation and benefits","111","Full-time permanent"
1012117.05,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","30","Acquisition of assets","310","Equipment"
6864002233.06,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","251","Advisory and assistance services"
12757216.9,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","255","Research and development contracts"
1852110066.92,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","10","Personnel compensation and benefits","111","Full-time permanent"
686179026.88,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","10","Personnel compensation and benefits","121","Civilian personnel benefits"
305507121.33,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","254","Operation and maintenance of facilities"
-1305.88,"2018-04-01","300","Natural Resources and Environment","301","Water resources","10","Personnel compensation and benefits","130","Benefits for former personnel"
2481424.15,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","240","Printing and reproduction"
587587.18,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","240","Printing and reproduction"
15309464.55,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","254","Operation and maintenance of facilities"
27643690.72,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","252","Other services from non-Federal sources"
182708668.47,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","253","Other goods and services from Federal sources"
0,"2018-04-01","400","Transportation","407","Other transportation","90","Other","920","Undistributed"
16478839.88,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","255","Research and development contracts"
3051768.48,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","257","Operation and maintenance of equipment"
13456.9,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","260","Supplies and materials"
3222287.53,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","30","Acquisition of assets","310","Equipment"
57162362.11,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","210","Travel and transportation of persons"
151627499.02,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","231","Rental payments to GSA"
0,"2018-04-01","270","Energy","274","Emergency energy preparedness","20","Contractual services and supplies","231","Rental payments to GSA"
26602880.26,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","252","Other services from non-Federal sources"
100407.57,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","10","Personnel compensation and benefits","121","Civilian personnel benefits"
22735934.02,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","10","Personnel compensation and benefits","118","Special personal services payments"
10055223.14,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","20","Contractual services and supplies","232","Rental payments to others"
60594.54,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","256","Medical care"
1102924044.79,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","252","Other services from non-Federal sources"
157.13,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","10","Personnel compensation and benefits","130","Benefits for former personnel"
8668.5,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","232","Rental payments to others"
65144053,"2018-04-01","450","Community and Regional Development","452","Area and regional development","90","Other","940","Financial transfers"
19567977.45,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","30","Acquisition of assets","320","Land and structures"
1901606.62,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","255","Research and development contracts"
8645112.46,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
26644.4,"2018-04-01","600","Income Security","604","Housing assistance","40","Grants and fixed charges","430","Interest and dividends"
1395595123.1,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","252","Other services from non-Federal sources"
387081637.61,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","252","Other services from non-Federal sources"
1061518.28,"2018-04-01","800","General Government","802","Executive direction and management","20","Contractual services and supplies","254","Operation and maintenance of facilities"
20564734.21,"2018-04-01","800","General Government","803","Central fiscal operations","30","Acquisition of assets","320","Land and structures"
0,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","00","Unknown","000",""
1684214713.05,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","252","Other services from non-Federal sources"
2940383.24,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
0,"2018-04-01","150","International Affairs","152","International security assistance","30","Acquisition of assets","330","Investments and loans"
40234976.48,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","20","Contractual services and supplies","257","Operation and maintenance of equipment"
8425574.52,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","40","Grants and fixed charges","420","Insurance claims and indemnities"
5127951.13,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","253","Other goods and services from Federal sources"
194037.9,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","256","Medical care"
7079368.26,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
205474.59,"2018-04-01","800","General Government","804","General property and records management","10","Personnel compensation and benefits","130","Benefits for former personnel"
946350.68,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","10","Personnel compensation and benefits","130","Benefits for former personnel"
9560470.76,"2018-04-01","400","Transportation","407","Other transportation","40","Grants and fixed charges","440","Refunds"
1042379064.25,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","00","Unknown","000",""
11178444201.57,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
347796212.4,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","254","Operation and maintenance of facilities"
47456189.03,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","257","Operation and maintenance of equipment"
9408527.65,"2018-04-01","350","Agriculture","352","Agricultural research and services","30","Acquisition of assets","320","Land and structures"
3149598944.99,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","252","Other services from non-Federal sources"
112085562.25,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","252","Other services from non-Federal sources"
2683714.29,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","240","Printing and reproduction"
910173.36,"2018-04-01","550","Health","554","Consumer and occupational health and safety","10","Personnel compensation and benefits","118","Special personal services payments"
10760628.1,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","220","Transportation of things"
53053.58,"2018-04-01","600","Income Security","604","Housing assistance","10","Personnel compensation and benefits","130","Benefits for former personnel"
360043477.52,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
30634258958.4,"2018-04-01","800","General Government","805","Central personnel management","10","Personnel compensation and benefits","121","Civilian personnel benefits"
78593.52,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","232","Rental payments to others"
1382346578.54,"2018-04-01","800","General Government","808","Other general government","40","Grants and fixed charges","420","Insurance claims and indemnities"
2216440.07,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","232","Rental payments to others"
505366.09,"2018-04-01","600","Income Security","609","Other income security","30","Acquisition of assets","310","Equipment"
2263038562.53,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","254","Operation and maintenance of facilities"
1153394.52,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","210","Travel and transportation of persons"
32885866,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","220","Transportation of things"
6982572.5,"2018-04-01","300","Natural Resources and Environment","301","Water resources","10","Personnel compensation and benefits","113","Other than full-time permanent"
421606.83,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","10","Personnel compensation and benefits","118","Special personal services payments"
76903.61,"2018-04-01","150","International Affairs","152","International security assistance","20","Contractual services and supplies","252","Other services from non-Federal sources"
3793255349.77,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","10","Personnel compensation and benefits","111","Full-time permanent"
287555283.03,"2018-04-01","150","International Affairs","152","International security assistance","00","Unknown","000",""
1991.14,"2018-04-01","650","Social Security","651","Social security","40","Grants and fixed charges","430","Interest and dividends"
4503233239.32,"2018-04-01","600","Income Security","609","Other income security","90","Other","940","Financial transfers"
2179914.73,"2018-04-01","600","Income Security","604","Housing assistance","10","Personnel compensation and benefits","115","Other personnel compensation"
8380.26,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","40","Grants and fixed charges","430","Interest and dividends"
6812709.64,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","232","Rental payments to others"
1043673313.72,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
559309151.95,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
461406.73,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","231","Rental payments to GSA"
8725362563.2,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","20","Contractual services and supplies","252","Other services from non-Federal sources"
6567179.76,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","254","Operation and maintenance of facilities"
2996721.21,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","10","Personnel compensation and benefits","118","Special personal services payments"
27326022.86,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","210","Travel and transportation of persons"
75029521.97,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","257","Operation and maintenance of equipment"
2115696805.72,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","90","Other","940","Financial transfers"
317694684.76,"2018-04-01","050","National Defense","054","Defense-related activities","10","Personnel compensation and benefits","115","Other personnel compensation"
5161.94,"2018-04-01","270","Energy","274","Emergency energy preparedness","30","Acquisition of assets","310","Equipment"
16769760.77,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","10","Personnel compensation and benefits","111","Full-time permanent"
558265763.6,"2018-04-01","350","Agriculture","351","Farm income stabilization","10","Personnel compensation and benefits","111","Full-time permanent"
0,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","255","Research and development contracts"
102355.7,"2018-04-01","400","Transportation","407","Other transportation","10","Personnel compensation and benefits","118","Special personal services payments"
4840571.76,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","254","Operation and maintenance of facilities"
587047788.2,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","10","Personnel compensation and benefits","121","Civilian personnel benefits"
146887571.42,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","257","Operation and maintenance of equipment"
58124954.04,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","232","Rental payments to others"
31831278.5,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","240","Printing and reproduction"
91204687.93,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","232","Rental payments to others"
1001520.9,"2018-04-01","800","General Government","806","General purpose fiscal assistance","10","Personnel compensation and benefits","118","Special personal services payments"
130791888.3,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","10","Personnel compensation and benefits","115","Other personnel compensation"
621197537.57,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","252","Other services from non-Federal sources"
574314.24,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","256","Medical care"
3140621.88,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","256","Medical care"
-79337343.57,"2018-04-01","800","General Government","805","Central personnel management","10","Personnel compensation and benefits","130","Benefits for former personnel"
159391335.98,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","10","Personnel compensation and benefits","111","Full-time permanent"
209949672.7,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","10","Personnel compensation and benefits","115","Other personnel compensation"
87809561.49,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","252","Other services from non-Federal sources"
23386976.57,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","257","Operation and maintenance of equipment"
5791312.44,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","00","Unknown","000",""
6118.13,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","256","Medical care"
4047780.55,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","255","Research and development contracts"
1161500.13,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","30","Acquisition of assets","320","Land and structures"
310765.5,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","10","Personnel compensation and benefits","130","Benefits for former personnel"
2813.66,"2018-04-01","600","Income Security","604","Housing assistance","30","Acquisition of assets","320","Land and structures"
2460270.46,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","255","Research and development contracts"
465076105.49,"2018-04-01","400","Transportation","403","Water transportation","20","Contractual services and supplies","253","Other goods and services from Federal sources"
0,"2018-04-01","270","Energy","272","Energy conservation","00","Unknown","000",""
1400822.3,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","210","Travel and transportation of persons"
41078028.58,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","255","Research and development contracts"
532.02,"2018-04-01","400","Transportation","407","Other transportation","90","Other","910","Unvouchered"
