"source","target","value"
"Natural Resources and Environment","Refunds",666759679.09
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",495617632.7
"Agriculture","Rent, Communications, and Utilities",466875320.49
"Social Security","Acquisition of Assets",438849192.64
"Regional Development, Commerce, and Housing","Interest and Dividends",422685392.68
"Income Security","Refunds",422258475.27
"Energy, Science, Space, and Technology","Interest and Dividends",403141719.33
"Health","Travel and Transportation",397626880.34
"Veterans Benefits and Services","Other",375163936.98
"Income Security","Interest and Dividends",351721641.84
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",324334568.3
"General Government","Other",318466640.16
"Energy, Science, Space, and Technology","Printing and Supplies",235346780.58
"General Government","Travel and Transportation",226429314.7
"Administration of Justice","Other",225014895.51
"Income Security","Rent, Communications, and Utilities",214025889.08
"Agriculture","Printing and Supplies",189406601.05
"Income Security","Acquisition of Assets",185856989.53
"Agriculture","Other",150643019.16
"Natural Resources and Environment","Insurance Claims and Indemnities",147067826.74
"Agriculture","Travel and Transportation",135741070.2
"Education, Training, Employment, and Social Services","Acquisition of Assets",114146281.41
"Medicare","Personnel Compensation and Benefits",96109970.08
"International Affairs","Refunds",93849223.1
"Social Security","Printing and Supplies",75184307.34
"Education, Training, Employment, and Social Services","Travel and Transportation",59181334.73
"Social Security","Grants, Subsidies, and Contributions",50828948.27
"Transportation","Refunds",44116539.91
"Energy, Science, Space, and Technology","Refunds",43202920.61
"Income Security","Travel and Transportation",37004160.95
"Social Security","Travel and Transportation",31567100.37
"Health","Refunds",25753867
"Transportation","Interest and Dividends",25432390.86
"National Defense","Interest and Dividends",23537452.91
"Education, Training, Employment, and Social Services","Printing and Supplies",18781117.89
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",17751500.44
"Transportation","Insurance Claims and Indemnities",12792304.26
"International Affairs","Insurance Claims and Indemnities",11340559.6
"Medicare","Rent, Communications, and Utilities",10099074.1
"Regional Development, Commerce, and Housing","Refunds",8594740.8
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",5342728.19
"Medicare","Refunds",3118556.55
"Natural Resources and Environment","Interest and Dividends",3056226.88
"Education, Training, Employment, and Social Services","Interest and Dividends",1595730.75
"Agriculture","Refunds",1349383.22
"Agriculture","Interest and Dividends",650568.07
"Medicare","Travel and Transportation",404711.51
"Net Interest","Advisory, R&D, Medical, and Other Contracts",387252
"Medicare","Acquisition of Assets",295333.61
"Health","Interest and Dividends",256434.57
"Administration of Justice","Interest and Dividends",101542.28
"Medicare","Printing and Supplies",99434.53
"International Affairs","Interest and Dividends",85856.17
"Social Security","Interest and Dividends",3041.99
"Veterans Benefits and Services","Interest and Dividends",150.68
"Regional Development, Commerce, and Housing","Other",-92121882.7
"Education, Training, Employment, and Social Services","Other",-121088346.06
"Energy, Science, Space, and Technology","Other",-136168440.34
