"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"Department of Agriculture","Office of the Secretary",281,"Office of Tribal Relations, Agriculture",0,2078.74
"Department of Agriculture","Office of the Secretary",282,"Office of Advocacy and Outreach, Executive Operations, Agriculture",0,144235.36
"Department of Agriculture","Office of the Secretary",476,"Gifts and Bequests, Agriculture",161897.78,5076919.86
"Department of Agriculture","Executive Operations",273,"Office of the Chief Economist, Executive Operations, Agriculture",5629406.15,7892790.54
"Department of Agriculture","Executive Operations",299,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",6671379.91,1705226.04
"Department of Agriculture","Executive Operations",296,"Office of Budget and Program Analysis, Executive Operations, Agriculture",4517131.47,4347457.59
"Department of Agriculture","Executive Operations",267,"Expenses, Common Computing Environment, Agriculture",0,35128.15
"Department of Agriculture","Executive Operations",408,"Working Capital Fund, Agriculture",501665645.43,546600512.03
"Department of Agriculture","Office of Chief Information Officer",263,"Expenses, Office of the Chief Information Officer, Agriculture",18419436.26,18148915.27
"Department of Agriculture","Office of Chief Financial Officer",264,"Expenses, Office of the Chief Financial Officer, Agriculture",3096227.4,1598889.09
"Department of Agriculture","Office of Civil Rights",393,"Office of Civil Rights, Agriculture",13683811.66,5974510.2
"Department of Agriculture","Hazardous Materials Management",294,"Hazardous Materials Management, Agriculture",1811635.44,1134193.35
"Department of Agriculture","Buildings and Facilities",269,"Agriculture Buildings and Facilities, Agriculture",31144932.8,61397108.06
"Department of Agriculture","Office of Inspector General",301,"Office of the Inspector General, Agriculture",48341534.67,18791657.43
"Department of Agriculture","Office of Inspector General",440,"Inspector General Assets Forfeiture, Treasury",372653.59,4702394.21
"Department of Agriculture","Office of Inspector General",439,"Inspector General Assets Forfeiture, Justice",766050.89,6332843.18
"Department of Agriculture","Office of Inspector General",300,"Office of Inspector General - Recovery Act, Agriculture",0,0
"Department of Agriculture","Office of the General Counsel",360,"Office of the General Counsel, Agriculture",22294549.35,38653495.56
"Department of Agriculture","Office of the General Counsel",284,"Office of Ethics, Agriculture",1755092.34,1942941.78
"Department of Agriculture","Economic Research Service",336,"Economic Research Service, Agriculture",37059909.57,8536370.41
"Department of Agriculture","Economic Research Service",481,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture",0,1080.46
"Department of Agriculture","National Agricultural Statistics Service",337,"National Agricultural Statistics Service, Agriculture",95910552.01,14168539.07
"Department of Agriculture","National Agricultural Statistics Service",479,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",0,75945.05
"Department of Agriculture","Agricultural Research Service",326,"Salaries and Expenses, Agricultural Research Service, Agricullture",483989588.05,398058815.63
"Department of Agriculture","Agricultural Research Service",432,"Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",9699.24,649110.54
"Department of Agriculture","Agricultural Research Service",327,"Buildings and Facilities, Agricultural Research Service, Agriculture",3635232.06,219360461.88
"Department of Agriculture","Agricultural Research Service",478,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",9004571.22,54273508.45
"Department of Agriculture","National Institute of Food and Agriculture",333,"Integrated Activities, National Institute of Food and Agriculture, Agriculture",18618297,123532291.77
"Department of Agriculture","National Institute of Food and Agriculture",304,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",0,8741477.7
"Department of Agriculture","National Institute of Food and Agriculture",331,"Research and Education Activities, National Institute of Food and Agriculture, Agriculture",273108210.46,647745820.17
"Department of Agriculture","National Institute of Food and Agriculture",416,"Native American Institutions Endowment Fund, Agriculture",0,5864569.21
"Department of Agriculture","National Institute of Food and Agriculture",332,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",0,1707805.36
"Department of Agriculture","National Institute of Food and Agriculture",295,"Extension Activities, National Institute of Food and Agriculture, Agriculture",85473090.79,260531300.27
"Department of Agriculture","Animal and Plant Health Inspection Service",334,"Salaries and Expenses, Animal and Plant Health Inspection Service",503515315.27,842711661.03
"Department of Agriculture","Animal and Plant Health Inspection Service",411,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",101989271.17,497123985.62
"Department of Agriculture","Animal and Plant Health Inspection Service",335,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",1727503.1,49195979.72
"Department of Agriculture","Animal and Plant Health Inspection Service",480,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",4233491.02,10767011.42
"Department of Agriculture","Animal and Plant Health Inspection Service",485,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",0,0
"Department of Agriculture","Food Safety and Inspection Service",391,"Food Safety and Inspection Service, Agriculture",599624602.67,602336181.04
"Department of Agriculture","Food Safety and Inspection Service",474,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",7721125.04,1194334.1
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",361,"Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture",17933240.9,11351482.96
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",394,"Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",25873906.37,65957273.99
"Department of Agriculture","Agricultural Marketing Service",362,"Marketing Services, Agricultural Marketing Service, Agriculture",92011625.79,145698813.88
"Department of Agriculture","Agricultural Marketing Service",363,"Payments to States and Possessions, Agricultural Marketing Service, Agriculture",1288153.04,94451135.34
"Department of Agriculture","Agricultural Marketing Service",410,"Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",5236464.74,20154769.13
"Department of Agriculture","Agricultural Marketing Service",420,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",319844504.96,10109251250.65
"Department of Agriculture","Agricultural Marketing Service",468,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",89603193.32,133316056
"Department of Agriculture","Agricultural Marketing Service",289,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",2250000,0
"Department of Agriculture","Agricultural Marketing Service",473,"Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",153000,2101500
"Department of Agriculture","Risk Management Agency",365,"Administrative and Operating Expenses, Office of Risk Management, Agriculture",37096570.7,18934680.15
"Department of Agriculture","Risk Management Agency",395,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",6552318273.51,6688641398.78
"Department of Agriculture","Farm Service Agency",375,"Reforestation Pilot Program, Farm Service Agency, Agriculture",0,112630
"Department of Agriculture","Farm Service Agency",297,"Salaries and Expenses, Farm Service Agency, Agriculture",685460782.68,297561180.11
"Department of Agriculture","Farm Service Agency",287,"State Mediation Grants, Farm Service Agency, Agriculture",1825642.71,727407.82
"Department of Agriculture","Farm Service Agency",321,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",0,27789687.92
"Department of Agriculture","Farm Service Agency",364,"USDA Disaster Assistance, Farm Service Agency, Agriculture",39.48,4507668.99
"Department of Agriculture","Farm Service Agency",378,"Emergency Conservation Program, Farm Service Agency, Agriculture",81170519.67,583254824.88
"Department of Agriculture","Farm Service Agency",288,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",2241293.09,58867962.19
"Department of Agriculture","Farm Service Agency",374,"Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",1220157,0
"Department of Agriculture","Farm Service Agency",319,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",183494159.93,94265896.35
"Department of Agriculture","Farm Service Agency",376,"Dairy Indemnity Program, Farm Service Agency, Agriculture",129812.42,339833.82
"Department of Agriculture","Farm Service Agency",396,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",770705.11,34993709.17
"Department of Agriculture","Farm Service Agency",380,"Conservation Reserve Program, Farm Service Agency, Agriculture",0,549.45
"Department of Agriculture","Farm Service Agency",404,"Commodity Credit Corporation Fund, Agriculture",8736134322.68,28383403004.15
"Department of Agriculture","Farm Service Agency",390,"Reimbursement for Net Realized Losses, Commodity Credit Corporation",0,0
"Department of Agriculture","Farm Service Agency",325,"Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",7512410.47,8540787.49
"Department of Agriculture","Farm Service Agency",405,"Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",183315.46,2406430.65
"Department of Agriculture","Farm Service Agency",373,"Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture",0,104860
"Department of Agriculture","Farm Service Agency",442,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",4907.69,15459515.87
"Department of Agriculture","Farm Service Agency",446,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",0,14944002.22
"Department of Agriculture","Farm Service Agency",447,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",0,43866741.86
"Department of Agriculture","Farm Service Agency",475,"Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",843126.88,168283731.75
"Department of Agriculture","Natural Resources Conservation Service",302,"Conservation Operations, Natural Resources Conservation Service, Agriculture",332398609.42,319190861.48
"Department of Agriculture","Natural Resources Conservation Service",305,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",1430573128.86,6529370753.85
"Department of Agriculture","Natural Resources Conservation Service",382,"Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture",0,48493.67
"Department of Agriculture","Natural Resources Conservation Service",308,"Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",56146638.32,992521168.12
"Department of Agriculture","Natural Resources Conservation Service",303,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",3624272.18,122123685.88
"Department of Agriculture","Natural Resources Conservation Service",306,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",0,86127.56
"Department of Agriculture","Natural Resources Conservation Service",310,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",0,93
"Department of Agriculture","Natural Resources Conservation Service",381,"Water Bank Program, Natural Resources Conservation Service, Agriculture",33422.38,552067.94
"Department of Agriculture","Natural Resources Conservation Service",406,"Damage Assessment and Restoration Revolving Fund, Agriculture",281639.98,3110020.28
"Department of Agriculture","Natural Resources Conservation Service",477,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",0,535792.58
"Department of Agriculture","Rural Development",292,"Salaries and Expenses, Rural Development, Agriculture",307462676.85,107695417.25
"Department of Agriculture","Rural Housing Service",343,"Expenses, Rural Housing Assistance Grants, Rural Housing Service",12486569.34,9465083.53
"Department of Agriculture","Rural Housing Service",285,"Rental Assistance Program, Rural Housing Service, Agriculture",497724102,384907311.23
"Department of Agriculture","Rural Housing Service",347,"Rural Rental Assistance Payments, Rural Housing Service, Agriculture",21050151.85,24974714.76
"Department of Agriculture","Rural Housing Service",348,"Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",1588550,21674127.64
"Department of Agriculture","Rural Housing Service",342,"Community Facility Loans Program Account, Rural Housing and Community Development Service",6871949.17,28278107.56
"Department of Agriculture","Rural Housing Service",353,"Rural Housing Insurance Fund Program Account, Rural Housing Service, Agriculture",248285522.12,143231363.23
"Department of Agriculture","Rural Housing Service",397,"Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",14343252.58,236192054.71
"Department of Agriculture","Rural Business_Cooperative Service",352,"Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",8874821.96,20574226.35
"Department of Agriculture","Rural Business_Cooperative Service",338,"Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",0,41955712.31
"Department of Agriculture","Rural Business_Cooperative Service",368,"Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",2582227.64,330146698.76
"Department of Agriculture","Rural Business_Cooperative Service",345,"Rural Microenterprise Investment Program Account, Rural Business-Cooperative Service, Agriculture",49900,3751293.01
"Department of Agriculture","Rural Business_Cooperative Service",339,"Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service",23697049.2,39097976.19
"Department of Agriculture","Rural Business_Cooperative Service",351,"Intermediary Relending Program Fund Account, Rural Business-Cooperative Service, Agriculture",2566141.09,15490246.34
"Department of Agriculture","Rural Business_Cooperative Service",403,"Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",0,1452560.96
"Department of Agriculture","Rural Business_Cooperative Service",370,"Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",0,4600522.21
"Department of Agriculture","Rural Business_Cooperative Service",340,"Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",0,2092473
"Department of Agriculture","Rural Business_Cooperative Service",341,"Renewable Energy Program, Rural Business-Cooperative Service, Agriculture",6040912.33,61258482.17
"Department of Agriculture","Rural Business_Cooperative Service",369,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",40238160,152667038
"Department of Agriculture","Rural Business_Cooperative Service",399,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",0,1065703.96
"Department of Agriculture","Rural Utilities Service",349,"High Energy Cost Grants, Rural Utilities Service, Agriculture",0,13674545.03
"Department of Agriculture","Rural Utilities Service",346,"Rural Water and Waste Disposal Loans Program Account, Rural Utilities Service",162722803.38,356925888.8
"Department of Agriculture","Rural Utilities Service",322,"Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",15848865.01,39402984.78
"Department of Agriculture","Rural Utilities Service",402,"Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",493445796.43,2165408820.88
"Department of Agriculture","Rural Utilities Service",323,"Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",0,3553656.27
"Department of Agriculture","Rural Utilities Service",324,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",20931292,97661717.06
"Department of Agriculture","Rural Utilities Service",400,"Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",0,40180000
"Department of Agriculture","Foreign Agricultural Service",366,"Salaries and Expenses, Foreign Agricultural Service, Agriculture",119253522.41,266735258.77
"Department of Agriculture","Foreign Agricultural Service",482,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",0,1267975.79
"Department of Agriculture","Foreign Agricultural Service",367,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",11720552.95,134104482.81
"Department of Agriculture","Foreign Agricultural Service",358,"Public Law 480 Title II Grants, Foreign Agricultural Service, Agriculture",821603906.83,558634221.26
"Department of Agriculture","Foreign Agricultural Service",357,"Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture",40769196,1749003.02
"Department of Agriculture","Foreign Agricultural Service",356,"Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",622200.35,226377799.65
"Department of Agriculture","Foreign Agricultural Service",484,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",47227.53,34954.76
"Department of Agriculture","Food and Nutrition Service",386,"Nutrition Programs Administration, Food and Nutrition Service, Agriculture",66597807,44293548.13
"Department of Agriculture","Food and Nutrition Service",384,"Food Stamp Program, Food and Nutrition Service, Agriculture",37247490634.32,42484229681.29
"Department of Agriculture","Food and Nutrition Service",389,"Supplemental Nutrition Assistance Program - Recovery Act, Food and Nutrition Service, Agriculture",4327.55,758673425.45
"Department of Agriculture","Food and Nutrition Service",388,"Child Nutrition Programs, Food Nutrition Service, Agriculture",13150745637.57,6483095802.57
"Department of Agriculture","Food and Nutrition Service",387,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",3855166338.83,1649914446.95
"Department of Agriculture","Food and Nutrition Service",385,"Commodity Assistance Program, Food and Nutrition Service, Agriculture",169154228.19,159711198.28
"Department of Agriculture","Forest Service",311,"Capital Improvement and Maintenance, Forest Service, Agriculture",155765322.35,221993925.38
"Department of Agriculture","Forest Service",312,"Forest and Rangeland Research, Forest Service, Agriculture",137261065.53,55433838.85
"Department of Agriculture","Forest Service",470,"Donations for Forest and Rangeland Research, Forest Service, Agriculture",0,124924.85
"Department of Agriculture","Forest Service",314,"National Forest System, Forest Service, Agriculture",761178012.31,247353820.57
"Department of Agriculture","Forest Service",431,"Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",0,0.6
"Department of Agriculture","Forest Service",313,"State and Private Forestry, Forest Service, Agriculture",68288287.38,181851165.09
"Department of Agriculture","Forest Service",438,"State and Private Forestry, Forest Service,  Agriculture",8656125.84,25847748.36
"Department of Agriculture","Forest Service",317,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",758176.44,759589.09
"Department of Agriculture","Forest Service",315,"Wildland Fire Management, Forest Service, Agriculture",1245728089.28,1001578858.77
"Department of Agriculture","Forest Service",318,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",0,0
"Department of Agriculture","Forest Service",418,"Range Betterment Fund, Forest Service, Agriculture",348179.05,1696255.45
"Department of Agriculture","Forest Service",443,"Stewardship Contracting Product Sales, Forest Service, Agriculture",3522184.27,34709001.35
"Department of Agriculture","Forest Service",424,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",1262870.95,39618901.01
"Department of Agriculture","Forest Service",419,"Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture",0,1110788.25
"Department of Agriculture","Forest Service",409,"Land Acquisition, Forest Service, Agriculture",3845397.68,44251359.31
"Department of Agriculture","Forest Service",441,"Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",0,335550.52
"Department of Agriculture","Forest Service",436,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",3529541.01,25062950.62
"Department of Agriculture","Forest Service",316,"Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",0,4395861.98
"Department of Agriculture","Forest Service",425,"Operation and Maintenance of Quarters, Forest Service, Agriculture",3237893.83,23697764.48
"Department of Agriculture","Forest Service",426,"Resource Management Timber Receipts, Forest Service, Agriculture",0,10161.06
"Department of Agriculture","Forest Service",429,"Recreation Fee Demonstration Program, Forest Service,  Agriculture",25717655.66,137475901.2
"Department of Agriculture","Forest Service",412,"Payments to States, National Forests Fund,  Forest Service, Agriculture",60671598.41,25638207.46
"Department of Agriculture","Forest Service",421,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",5744100,0
"Department of Agriculture","Forest Service",448,"Payments to Counties, National Grasslands, Forest Service,  Agriculture",0,29000000
"Department of Agriculture","Forest Service",413,"Timber Roads, Purchaser Elections, Forest Service, Agriculture",0,31581577.66
"Department of Agriculture","Forest Service",414,"Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",0,51652.68
"Department of Agriculture","Forest Service",415,"Timber Salvage Sales, Forest Service,  Agriculture",9823703.08,85125456.68
"Department of Agriculture","Forest Service",417,"Expenses, Brush Disposal, Forest Service,  Agriculture",4499989.29,36371442.37
"Department of Agriculture","Forest Service",422,"Licensee Programs, Forest Service, Agriculture",25338.21,1774094.02
"Department of Agriculture","Forest Service",423,"Restoration of Forest Lands and Improvements, Forest Service, Agriculture",6152665.93,292969346.66
"Department of Agriculture","Forest Service",427,"Quinault Special Management Area, Forest Service, Agriculture",0,18968.32
"Department of Agriculture","Forest Service",430,"MNP Rental Fee Account, Forest Service, Agriculture",323800.78,4803622.02
"Department of Agriculture","Forest Service",428,"Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",2289039.4,18063618.89
"Department of Agriculture","Forest Service",435,"Land Between the Lakes Management Fund, Forest Service,  Agriculture",4288418.74,5245355.19
"Department of Agriculture","Forest Service",407,"Working Capital Fund, Forest Service,  Agriculture",137338178.22,302771410.89
"Department of Agriculture","Forest Service",469,"Cooperative Work, Forest Service,  Agriculture",29049866.35,353899775.09
"Department of Agriculture","Forest Service",472,"Reforestation Trust Fund, Forest Service, Agriculture",9054395.61,28017847.66
"Department of Agriculture","Forest Service",471,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture",52063.86,5886202.15
"Department of Commerce","Departmental Management",487,"Salaries and Expenses, Departmental Management, Commerce",77325419.17,81981130.53
"Department of Commerce","Departmental Management",491,"Office of Inspector General, Departmental Management, Commerce",20374959.46,17071970.19
"Department of Commerce","Departmental Management",486,"Office of Inspector General - Recovery Act, Departmental Management, Commerce",17724.53,1323301.88
"Department of Commerce","Departmental Management",488,"Renovation and Modernization, Departmental Management, Commerce",507962.26,6299301.17
"Department of Commerce","Departmental Management",527,"Working Capital Fund, Departmental Management, Commerce",94124919.01,145281088.24
"Department of Commerce","Departmental Management",558,"Gifts and Bequests, Departmental Management, Commerce",429043.17,1904790.91
"Department of Commerce","Economic Development Administration",490,"Salaries and Expenses, Economic Development Administration, Commerce",21073387.23,19062058.51
"Department of Commerce","Economic Development Administration",517,"Economic Development Assistance Programs, Economic Development Administration, Commerce",67792667.05,740665695.2
"Department of Commerce","Economic Development Administration",524,"Economic Development Revolving Fund, Liquidating Account, Commerce",85117.12,214882.88
"Department of Commerce","Bureau of the Census",494,"Current Surveys and Programs, Bureau of the Census, Commerce",140075115.66,44149744.7
"Department of Commerce","Bureau of the Census",495,"Periodic Censuses and Programs, Bureau of the Census, Commerce",684344703.89,299372181.08
"Department of Commerce","Bureau of the Census",528,"Census Working Capital Fund, Bureau of the Census, Commerce",377006435.38,782597618.88
"Department of Commerce","Bureau of Economic Analysis",516,"Salaries and Expenses, Economic and Statistical Analysis, Commerce",52654597.21,22237947.52
"Department of Commerce","Bureau of Economic Analysis",522,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",4208.89,634202.54
"Department of Commerce","International Trade Administration",508,"Operations and Administration, International Trade Administration, Commerce",203855563.86,170065090.04
"Department of Commerce","International Trade Administration",540,"Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",0,1
"Department of Commerce","Bureau of Industry and Security",493,"Operations and Administration, Bureau of Industry and Security, Commerce",52142368.25,20732884.75
"Department of Commerce","Minority Business Development Agency",492,"Minority Business Development, Minority Business Development Agency, Commerce",10484534.64,15642935.25
"Department of Commerce","National Oceanic and Atmospheric Administration",509,"Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",1281895622.68,1681187249.08
"Department of Commerce","National Oceanic and Atmospheric Administration",532,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,521842
"Department of Commerce","National Oceanic and Atmospheric Administration",534,"Marine Mammal Unusual Mortality Event Fund, National Oceanic and Atmospheric Administration, Commerce",0,25672.08
"Department of Commerce","National Oceanic and Atmospheric Administration",511,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology, National Oceanic and Atmospheric Administration, Commerce",550844.83,8246404.39
"Department of Commerce","National Oceanic and Atmospheric Administration",513,"Procurement, Acquisition and Construction, National Oceanic and Atmospheric Administration, Commerce",916880790.15,829942986.7
"Department of Commerce","National Oceanic and Atmospheric Administration",535,"Limited Access System Administration Fund, National Oceanic and Atmospheric Administration, Commerce",2958994.82,25336959.69
"Department of Commerce","National Oceanic and Atmospheric Administration",510,"Expenses, Pacific Coastal Salmon Recovery, National Oceanic and Atmospheric, Commerce",109165.27,36392337.98
"Department of Commerce","National Oceanic and Atmospheric Administration",542,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",0,418004.5
"Department of Commerce","National Oceanic and Atmospheric Administration",514,"Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",0,55290.97
"Department of Commerce","National Oceanic and Atmospheric Administration",515,"NOAA Accrual Contribution to the Uniformed Services Retiree Health, Commerce",1584360,2784925
"Department of Commerce","National Oceanic and Atmospheric Administration",541,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",1793433.75,17675766.05
"Department of Commerce","National Oceanic and Atmospheric Administration",533,"Promote and Develop Fishery Products and Research Pertaining to American Fisheries, National Oceanic and Atmospheric Administration, Commerce",492195.88,4308981.63
"Department of Commerce","National Oceanic and Atmospheric Administration",539,"Western Pacific Sustainable Fisheries Fund, National Oceanic and Atmospheric Administration, Commerce",0,490600
"Department of Commerce","National Oceanic and Atmospheric Administration",531,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration, Commerce",47665.82,1270816.44
"Department of Commerce","National Oceanic and Atmospheric Administration",518,"Fisheries Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0,200077731.61
"Department of Commerce","National Oceanic and Atmospheric Administration",543,"North Pacific Fishery Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,3852602.46
"Department of Commerce","National Oceanic and Atmospheric Administration",537,"Environmental Improvement and Restoration Fund, National Oceanic and Atmospheric Administration, Commerce",0,15050284.43
"Department of Commerce","National Oceanic and Atmospheric Administration",520,"Coastal Zone Management Fund, National Oceanic Atmospheric Administration, Commerce",0,0
"Department of Commerce","National Oceanic and Atmospheric Administration",521,"Damage Assessment and Restoration Revolving Fund, National Oceanic and Atmospheric Administration, Commerce",10693010.33,219824776.6
"Department of Commerce","National Oceanic and Atmospheric Administration",512,"Fisheries Finance Program Account, National Oceanic and Atmospheric Administration, Commerce",0,2778568.22
"Department of Commerce","National Oceanic and Atmospheric Administration",525,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account, National Oceanic and Atmospheric Administration, Commerce",0,260000
"Department of Commerce","U.S. Patent and Trademark Office",506,"Salaries and Expenses, Patent and Trademark Office, Commerce",1702935230.51,2206139934.78
