"sub","name","size"
"Morris K. Udall and Stewart L. Udall Foundation","CONCUR",146892
"Morris K. Udall and Stewart L. Udall Foundation","106 GROUP LTD THE",130000
"Morris K. Udall and Stewart L. Udall Foundation","MIDNIGHT SUN TECHNOLOGIES LLC",99592.5
"Morris K. Udall and Stewart L. Udall Foundation","SRA INTERNATIONAL INC",94069
"Morris K. Udall and Stewart L. Udall Foundation","ROCHA & COMPANY PC",50000
"Morris K. Udall and Stewart L. Udall Foundation","PARTICIPATION COMPANY LLC THE",18250
"Morris K. Udall and Stewart L. Udall Foundation","RESOLVE INC",17085.9
"Morris K. Udall and Stewart L. Udall Foundation","LEWIS PATRICIA",4800
"Morris K. Udall and Stewart L. Udall Foundation","CALIFORNIA STATE UNIVERSITY SACRAMENTO",-1807.37
"National Aeronautics and Space Administration","STOTTLER HENKE ASSOCIATES INC",999884
"National Aeronautics and Space Administration","SCIENTIFIC SYSTEMS COMPANY INC",999430
"National Aeronautics and Space Administration","AMERICAN WORDATA INC",993788.49
"National Aeronautics and Space Administration","QUALTECH SYSTEMS INC",989908
"National Aeronautics and Space Administration","DTH CORPORATION",985243.67
"National Aeronautics and Space Administration","HOWARD VIDEO PRODUCTIONS LLC",983336.16
"National Aeronautics and Space Administration","SYSTEMS TECHNOLOGY INC",981458.94
"National Aeronautics and Space Administration","FIBA TECHNOLOGIES INC",980400
"National Aeronautics and Space Administration","MISCELLANEOUS FOREIGN AWARDEES",977896.24
"National Aeronautics and Space Administration","LINQUEST CORPORATION",972404
"National Agricultural Statistics Service","FOUR LLC",724740.46
"National Agricultural Statistics Service","DELL FEDERAL SYSTEMS LP",625175.83
"National Agricultural Statistics Service","UNITED PARCEL SERVICE INCORPORATED OH 2075",625000
"National Agricultural Statistics Service","FCN INC",504587.41
"National Agricultural Statistics Service","MIDTOWN PERSONNEL INC",416530.74
"National Agricultural Statistics Service","EXECUTIVE INFORMATION SYSTEMS",364054.58
"National Agricultural Statistics Service","LEXMARK INTERNATIONAL INC",331922.5
"National Agricultural Statistics Service","INFOGROUP INC",300391
"National Agricultural Statistics Service","KELYN TECHNOLOGIES",263907
"National Agricultural Statistics Service","GOVERNMENT ACQUISITIONS INC",253776.42
"National Appeals Division","MICROPACT INC",546871.59
"National Appeals Division","WEST PUBLISHING CORPORATION",46246.92
"National Appeals Division","CONTRACT SOLUTIONS INC",40000
"National Appeals Division","CORPORATE PORTFOLIO MANAGEMENT SOLUTIONS CPMS LLC",40000
"National Appeals Division","MID-ATLANTIC PARKING SERVICES INC",27000
"National Appeals Division","TRUSTED TRANSLATIONS INC",17700.33
"National Appeals Division","CRYSTAL CITY LLC",11000
"National Archives and Records Administration","HONEYWELL INTERNATIONAL INC",967638.62
"National Archives and Records Administration","NEW HORIZON INDUSTRIES INC",901612.19
"National Archives and Records Administration","CARAHSOFT TECHNOLOGY CORPORATION",863680.74
"National Archives and Records Administration","WASHINGTON GAS LIGHT COMPANY",859015.16
"National Archives and Records Administration","ADC LTD NM",849106.12
"National Archives and Records Administration","HOPE NETWORK SERVICES CORP",836391.03
"National Archives and Records Administration","SERVICE SOURCE INC",793058.41
"National Archives and Records Administration","ACME TECHNOLOGIES INC",786882.86
"National Archives and Records Administration","CACI INC FEDERAL",777307.69
"National Archives and Records Administration","GEORGIA POWER COMPANY",760948.57
"National Capital Planning Commission","CAPITOL BUSINESS SOLUTIONS INC",347049.85
"National Capital Planning Commission","TECHNICAL SPECIALTIES INC",107000
"National Capital Planning Commission","CALIBRE SYSTEMS INC",85700
"National Capital Planning Commission","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",81225.68
"National Capital Planning Commission","KNOWLEDGE CONSULTING GROUP INC",49569.64
"National Capital Planning Commission","CDW GOVERNMENT LLC",48340
"National Capital Planning Commission","XEROX CORPORATION",29416.08
"National Capital Planning Commission","KEY & ASSOCIATES PC",23720.72
"National Capital Planning Commission","ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC",18930
"National Capital Planning Commission","FREEBALANCE INC",12251.25
"National Endowment for the Arts","QUALITY SOFTWARE SERVICES INC",647684.59
"National Endowment for the Arts","SYSTEMS SUPPORT ALTERNATIVES INC",395640.77
"National Endowment for the Arts","SOCIAL POLICY RESEARCH ASSOCIATES INC",299983
"National Endowment for the Arts","GUREVICH MICHAEL",244800
"National Endowment for the Arts","QWEST GOVERNMENT SERVICES INC",237260.52
"National Endowment for the Arts","2M RESEARCH SERVICES LLC",198129.82
"National Endowment for the Arts","WESTERN STATES ARTS FEDERATION",140688.67
"National Endowment for the Arts","REGENTS OF THE UNIVERSITY OF MICHIGAN",125548
"National Endowment for the Arts","KILLER INFOGRAPHICS INC",96587.5
"National Endowment for the Arts","SHI INTERNATIONAL CORP",87016.68
"National Endowment for the Humanities","ORACLE AMERICA INC",876874
"National Endowment for the Humanities","FORUM ONE COMMUNICATIONS CORPORATION",686198
"National Endowment for the Humanities","SHI INTERNATIONAL CORP",239949
"National Endowment for the Humanities","THE CHOICE FOR TEMPORARIES",188271
"National Endowment for the Humanities","MIDTOWN PERSONNEL INC",157630
"National Endowment for the Humanities","CC OWNER LLC",147262
"National Endowment for the Humanities","CARAHSOFT TECHNOLOGY CORPORATION",138656
"National Endowment for the Humanities","AT&T CORP",132275
"National Endowment for the Humanities","PUBLISHING OFFICE US GOVERNMENT",90876
"National Endowment for the Humanities","LEXIS NEXIS ACADEMIC AND LIBRA",75204
"National Gallery of Art","DLT SOLUTIONS LLC",873423.15
"National Gallery of Art","GRAVITEC SYSTEMS INC",776855
"National Gallery of Art","TUCKMAN-BARBEE CONSTRUCTION CO INC",758293.69
"National Gallery of Art","INTELLIPOINT CONSULTING INC",713605.12
"National Gallery of Art","JE RICHARDS INCORPORATED",687966
"National Gallery of Art","DAVIS MEMORIAL GOODWILL INDUSTRIES",682054.46
"National Gallery of Art","SIGNATURE RENOVATIONS LLC",651031.7
"National Gallery of Art","FEDERAL RADIO SERVICE CORP",649210
"National Gallery of Art","ASSOCIATED BUILDERS INC",625783.71
"National Gallery of Art","DELL MARKETING LP",575598.86
"National Geospatial-Intelligence Agency","AT&T GOVERNMENT SOLUTIONS INC",355241.19
"National Geospatial-Intelligence Agency","RAYTHEON COMPANY",315152
"National Geospatial-Intelligence Agency","AT&T CORP",288982.01
"National Geospatial-Intelligence Agency","ISW LLC",260000
"National Geospatial-Intelligence Agency","ONE VOICE COMMUNICATIONS INC",243262.9
"National Geospatial-Intelligence Agency","BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC",237500
"National Geospatial-Intelligence Agency","GTT GLOBAL TELECOM GOVERNMENT SERVICES LLC",119258.33
"National Geospatial-Intelligence Agency","EXPEDITION TECHNOLOGY INC",118779
"National Geospatial-Intelligence Agency","BAE SYSTEMS INFORMATION SOLUTIONS INC",75913
"National Geospatial-Intelligence Agency","MCI COMMUNICATIONS SERVICES INCORPORATED",72959.53
"National Highway Traffic Safety Administration","ADVANCED SYSTEMS TECHNOLOGY AND MANAGEMENT INC",900000
"National Highway Traffic Safety Administration","HARRIS CORPORATION",877051.86
"National Highway Traffic Safety Administration","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",869743
"National Highway Traffic Safety Administration","DELL MARKETING LP",853836.27
"National Highway Traffic Safety Administration","EMORY UNIVERSITY",806100
"National Highway Traffic Safety Administration","RICARDO INC",749842.37
"National Highway Traffic Safety Administration","DYNAMIC-PRO INC",741207
"National Highway Traffic Safety Administration","INTERNATIONAL BUSINESS MACHINES CORPORATION",734889.6
"National Highway Traffic Safety Administration","KGB MEDIA LLC",728382
"National Highway Traffic Safety Administration","BOOZ ALLEN HAMILTON INC",716666.57
"National Indian Gaming Commission","DBISP LLC",53725
"National Indian Gaming Commission","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",21333.8
"National Indian Gaming Commission","CANON USA INC",14093.16
"National Indian Gaming Commission","RED RIVER COMPUTER CO INC",9274.02
"National Indian Gaming Commission","CHICKASAW NATION COMMUNITY DEVELOPMENT ENDEAVOR LLC",6000
"National Indian Gaming Commission","STUART L PLOTNICK LLC",600
"National Institute of Food and Agriculture","LARTA INC",606845.5
"National Institute of Food and Agriculture","DKW COMMUNICATIONS INC",554115.36
"National Institute of Food and Agriculture","BEYOND THE BOTTOM LINE INC",512915.79
"National Institute of Food and Agriculture","DSFEDERAL INC",478303.2
"National Institute of Food and Agriculture","CHALKLABS LLC",461912
"National Institute of Food and Agriculture","FORUM ONE COMMUNICATIONS CORPORATION",428618.08
"National Institute of Food and Agriculture","USMAX CORPORATION",418212.66
"National Institute of Food and Agriculture","CELERITY GOVERNMENT SOLUTIONS LLC",406870.93
"National Institute of Food and Agriculture","STRATEGIC COMMUNICATIONS LLC",186902
"National Institute of Food and Agriculture","EVERGREEN INFORMATION TECHNOLOGY SERVICES INC",164985.3
"National Institute of Standards and Technology","HAMILTON COMPANY",997527.36
"National Institute of Standards and Technology","THUNDERCAT TECHNOLOGY LLC",979996.59
"National Institute of Standards and Technology","STONE & ASSOCIATES INC",974245.84
"National Institute of Standards and Technology","JEOL USA INC",968768.31
"National Institute of Standards and Technology","KEYSIGHT TECHNOLOGIES INC",959916.36
"National Institute of Standards and Technology","CARL ZEISS MICROSCOPY LLC",950410.48
"National Institute of Standards and Technology","SIMPLEXGRINNELL LP",927450
"National Institute of Standards and Technology","PANALYTICAL INC",867053.92
"National Institute of Standards and Technology","BLUEFORS CRYOGENICS OY",859550
"National Institute of Standards and Technology","DISYS SOLUTIONS INC",850285.83
"National Institutes of Health","INNOVATION RESEARCH AND TRAINING INC",999969
"National Institutes of Health","MEDICAL DECISION LOGIC INC",999904
"National Institutes of Health","MOLECULAR DEVICES LLC",989980.4
"National Institutes of Health","DIMAGI INC",988342
"National Institutes of Health","GRACE CONSULTING SERVICES LLC",982545
"National Institutes of Health","ACCELERA SOLUTIONS INC",981380.13
"National Institutes of Health","IMPRES TECHNOLOGY SOLUTIONS INC",975946.74
"National Institutes of Health","PORTER NOVELLI PUBLIC SERVICES INC",974732.52
"National Institutes of Health","AFFIGENT LLC",969385.96
"National Institutes of Health","GLOBAL CONSULTING SERVICES OF MARYLAND LLC",965809.48
"National Labor Relations Board","GOVCONNECTION INCORPORATED",720171.32
"National Labor Relations Board","CATAPULT HEALTH TECHNOLOGY GROUP LLC",683866.07
"National Labor Relations Board","AT&T MOBILITY LLC",670388
"National Labor Relations Board","BURKE COURT REPORTING LLC",409666.15
"National Labor Relations Board","RICOH USA INC",401688.86
"National Labor Relations Board","VERITEXT CORP",376558.98
"National Labor Relations Board","QWEST GOVERNMENT SERVICES INC",332002.08
"National Labor Relations Board","AV TRONICS INC",311295.06
"National Labor Relations Board","YOUR RECRUITING COMPANY INCORPORATED",266581.61
"National Labor Relations Board","AT&T CORP",236101.58
"National Mediation Board","ADINO INC",290813.21
"National Mediation Board","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",107216.96
"National Mediation Board","REDHAWK IT SOLUTIONS LLC",104856.5
"National Mediation Board","ALLMOND MARVIN C",70645.8
"National Mediation Board","LRP PUBLICATIONS INC",52682.5
"National Mediation Board","CARAHSOFT TECHNOLOGY CORPORATION",44075.21
"National Mediation Board","DESIGN ARMY LLC",42750
"National Mediation Board","ALLIANCE TECHNOLOGY GROUP LLC",40224.81
"National Mediation Board","BLUE SKIES FURNITURE LLC",37852.62
"National Mediation Board","BUREAU OF NATIONAL AFFAIRS INC THE",27875
"National Oceanic and Atmospheric Administration","ENTERPRISE RESOURCE PLANNED SYSTEMS INTERNATIONAL LLC",980966.08
"National Oceanic and Atmospheric Administration","TECOLOTE RESEARCH INC",961033.63
"National Oceanic and Atmospheric Administration","SYNTHESIS PROFESSIONAL SERVICES INC",959521.57
"National Oceanic and Atmospheric Administration","CORNELL UNIVERSITY INC",950251.29
"National Oceanic and Atmospheric Administration","NORTEKUSA INC",949883.15
"National Oceanic and Atmospheric Administration","FORCE 3 INC",937048.61
"National Oceanic and Atmospheric Administration","TRIDEC TECHNOLOGIES LLC",931695.18
"National Oceanic and Atmospheric Administration","PETRO STAR INC",915479.97
"National Oceanic and Atmospheric Administration","PROVANTAGE SOFTWARE INC",893215.2
"National Oceanic and Atmospheric Administration","ASHE AIRCRAFT ENTERPRISES LTD",892939.63
"National Park Service","JOHN DEERE SHARED SERVICES INC",999814.51
"National Park Service","PARAMOUNT CONSTRUCTION GROUP LLC",997878
"National Park Service","JOSEPH K OPPERMANN ARCHITECT PA",996311.98
"National Park Service","BRASADA FORD LTD",993508
"National Park Service","HEALYKOHLER DESIGN INC",991101
"National Park Service","LOUIS BERGER GROUP INC THE",989587.68
"National Park Service","EDDIE LOPEZ CONSTRUCTION LLC",979797.99
"National Park Service","VALDEZ CONSTRUCTION INC",967206.07
"National Park Service","EDQUISTDAVISEXHIBITSINC",967118
"National Park Service","JS SDVO LLC",939668
"National Protection and Programs Directorate","BAYFIRST SOLUTIONS LLC",992755.2
"National Protection and Programs Directorate","LEAPFROG SOLUTIONS INC",961904
"National Protection and Programs Directorate","GLOBAL NETWORK SYSTEMS OF MARYLAND INC",956267.12
"National Protection and Programs Directorate","PRICE MODERN LLC",954190.58
"National Protection and Programs Directorate","CACI-CMS INFORMATION SYSTEMS INC",945459.43
"National Protection and Programs Directorate","MOI INC",945421.03
"National Protection and Programs Directorate","OBXTEK INC",941581.45
"National Protection and Programs Directorate","TECOLOTE RESEARCH INC",898496.31
"National Protection and Programs Directorate","AES SYSTEMS INC",895700.21
"National Protection and Programs Directorate","CONCURRENT TECHNOLOGIES CORPORATION",894500.31
"National Science Foundation","FEDERAL MANAGEMENT PARTNERS INCORPORATED",997565.04
"National Science Foundation","ABT ASSOCIATES INC",927711.36
"National Science Foundation","GOVCONNECTION INC",861771.14
"National Science Foundation","AGI MISSION SUPPORT SERVICES INC",856630.87
"National Science Foundation","EDUCATION DEVELOPMENT CENTER INCORPORATED",833756.5
"National Science Foundation","INSIGNIA FEDERAL GROUP LLC",832216.62
"National Science Foundation","MANHATTAN STRATEGY GROUP LLC THE",825792.03
"National Science Foundation","EXECUTIVE PROTECTION SYSTEMS LLC",816815.27
"National Science Foundation","MUTATIO INC",806919.5
"National Science Foundation","CHITRA PRODUCTIONS LLC",760611.2
"National Security Agency/Central Security Service","FORD MOTOR COMPANY",295092
"National Security Agency/Central Security Service","UNIVERSITY OF SOUTHERN CALIFORNIA",200000
"National Security Agency/Central Security Service","GENERAL MOTORS LLC",186777
"National Security Agency/Central Security Service","STRATEGIC VALUE SOLUTIONS INC",91484
"National Security Agency/Central Security Service","CALIFORNIA INSTITUTE OF TECHNOLOGY",71296
"National Security Agency/Central Security Service","BROADWAY FORD TRUCK SALES INC",59416
"National Security Agency/Central Security Service","WMK LLC",56707
"National Security Agency/Central Security Service","AL QABANDI UNITED COMPANY",52222
"National Security Agency/Central Security Service","AL-BAZ 2000 TRAD & CONT CO WLL",21813
"National Security Agency/Central Security Service","DAKOTA CONSULTING INCORPORATED",-7382.25
"National Technical Information Service","SIENNA SYSTEMS CORPORATION",780637.16
"National Technical Information Service","DANE LLC",556059
"National Technical Information Service","SOFTCONCEPT INC",467288
"National Technical Information Service","FWG SOLUTIONS INC",406614.16
"National Technical Information Service","INSIGHT PUBLIC SECTOR INC",368510.24
"National Technical Information Service","ASYNCROB CORPORATION",356542.66
"National Technical Information Service","SALMON GROUP INC",343526.4
"National Technical Information Service","INQUISIT LLC",335983.48
"National Technical Information Service","THUNDERCAT TECHNOLOGY LLC",201968.98
"National Technical Information Service","IDEOGENICS LLC",181520
"National Telecommunications and Information Administration","TECHNICAL COMMUNITIES INC",974496.16
"National Telecommunications and Information Administration","LAFAYETTE GROUP INC",802948
"National Telecommunications and Information Administration","CYBER MEDIA TECHNOLOGIES",661440
"National Telecommunications and Information Administration","INSIGHT PUBLIC SECTOR INC",547443.82
"National Telecommunications and Information Administration","GLOBAL PCCI GPC",514572.73
"National Telecommunications and Information Administration","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",420352.75
"National Telecommunications and Information Administration","50 STATE LLC",400877.95
"National Telecommunications and Information Administration","GCMICRO CORPORATION",329233.74
"National Telecommunications and Information Administration","GLOBAL IMAGING",321900
"National Telecommunications and Information Administration","DYNAMIC SYSTEMS INC",301462.53
"National Transportation Safety Board","SYSTEMS ENGINEERING INC",519502.44
"National Transportation Safety Board","AMERICAN SECURITY PROGRAMS IN",496704
"National Transportation Safety Board","INSIGHT PUBLIC SECTOR INC",409658.73
"National Transportation Safety Board","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",393129.26
"National Transportation Safety Board","WORLD WIDE TECHNOLOGY INC",378401.92
"National Transportation Safety Board","R G S ASSOCIATES INC",342665.09
"National Transportation Safety Board","POTOMAC CREEK ASSOCIATES LLC",318165.5
"National Transportation Safety Board","CLEARAVENUE LLC",313351.8
"National Transportation Safety Board","NEW TECH SOLUTIONS INC",166320.47
"National Transportation Safety Board","OPEN TEXT PUBLIC SECTOR SOLUTIONS INC",157913.15
"Natural Resources Conservation Service","CARON EAST INC",984879.68
"Natural Resources Conservation Service","JUNIPER SYSTEMS INC",953010
"Natural Resources Conservation Service","HDR-KLEINFELDER",941321.43
"Natural Resources Conservation Service","CFO LEASING INC",912366
"Natural Resources Conservation Service","URS GROUP INC",865186.06
"Natural Resources Conservation Service","INTERNATIONAL WATER INSTITUTE",829136
"Natural Resources Conservation Service","SMITH BROTHERS EXCAVATING",816426.5
"Natural Resources Conservation Service","IMMIXTECHNOLOGY INC",808268.49
"Natural Resources Conservation Service","OAK HILL CONTRACTORS LTD",781544.05
"Natural Resources Conservation Service","NEW TECH SOLUTIONS INCORPORATED",775455.89
"Northern Border Regional Commission","SMART ASSISTIVE TECHNOLOGIES LLC",127885
"Northern Border Regional Commission","NORTHERN FOREST CENTER INC THE",100000
"Northern Border Regional Commission","CANTON GROUP LIMITED LIABILITY COMPANY THE",2619.5
"Nuclear Regulatory Commission","THUNDERCAT TECHNOLOGY LLC",999056.97
"Nuclear Regulatory Commission","AQIWO INC",969199.88
"Nuclear Regulatory Commission","MYSTEK SYSTEMS INC",957277.94
"Nuclear Regulatory Commission","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",916000
"Nuclear Regulatory Commission","NEAL R GROSS AND COMPANY INC",890000
"Nuclear Regulatory Commission","ADI STRATEGIES INC",861032.25
"Nuclear Regulatory Commission","HEALTHCARE RESOURCE NETWORK LLC",857000
"Nuclear Regulatory Commission","SABRE88 LLC",845050.87
"Nuclear Regulatory Commission","PROJECT PERFORMANCE COMPANY LLC",775767
"Nuclear Regulatory Commission","AEEC LLC",748669
"Occupational Safety and Health Administration","EASTERN RESEARCH GROUP INC",824997
"Occupational Safety and Health Administration","NORTHSTAR TECHNOLOGY CORP",499937.8
"Occupational Safety and Health Administration","GRA INC",461960
"Occupational Safety and Health Administration","HIGHLIGHT TECHNOLOGIES LLC",378731.2
"Occupational Safety and Health Administration","DODGE DATA & ANALYTICS LLC",371890.56
"Occupational Safety and Health Administration","NUAXIS LLC",327291.72
"Occupational Safety and Health Administration","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",296429.15
"Occupational Safety and Health Administration","ACTIONET INC",278953.6
"Occupational Safety and Health Administration","STAMPSCOM INC",256029.72
"Occupational Safety and Health Administration","NAVALES ENTERPRISES INC",171487.55
"Occupational Safety and Health Review Commission","QWEST GOVERNMENT SERVICES INC",242000
"Occupational Safety and Health Review Commission","J KENT & ASSOCIATES INC",194717.28
"Occupational Safety and Health Review Commission","DATAPRISE INC",143400
"Occupational Safety and Health Review Commission","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",127880
"Occupational Safety and Health Review Commission","MICROPACT INC",114601.66
"Occupational Safety and Health Review Commission","SVANACO INC",92018.4
"Occupational Safety and Health Review Commission","LIBRARY ASSOCIATES OF MARYLAND LLC",88830
"Occupational Safety and Health Review Commission","BERRY ANN THORNTON",65000
"Occupational Safety and Health Review Commission","WEST PUBLISHING CORPORATION",54174.84
"Occupational Safety and Health Review Commission","HERITAGE REPORTING CORP",50000
"Office for Civil Rights","FEDERAL PRISON INDUSTRIES INC",68589.72
"Office for Civil Rights","AT&T MOBILITY LLC",710.7
"Office of Administrative Law Judges","MOI INC",772697.9
"Office of Administrative Law Judges","TRUE INFORMATION ASSURANCE LLC",625805.94
"Office of Administrative Law Judges","BUREAU OF NATIONAL AFFAIRS INC THE",243550
"Office of Administrative Law Judges","BAYLEY REPORTING INC",123549.05
"Office of Administrative Law Judges","JACKSON RYHERD JUDY",63629.66
"Office of Administrative Law Judges","RELX INC",51912
"Office of Administrative Law Judges","INTERIOR RESOURCE GROUP INC",47946.37
"Office of Administrative Law Judges","FREE STATE REPORTING INC",46375.7
"Office of Administrative Law Judges","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",28890.32
"Office of Administrative Law Judges","ACE PARKING MANAGEMENT INC",8720
"Office of Administrative Services","KAISER ASSOCIATES INC",928414.4
"Office of Administrative Services","TDB COMMUNICATIONS INCORPORATED",765290.16
"Office of Administrative Services","DIDLAKE INC",592422.73
"Office of Administrative Services","MIDTOWN PERSONNEL INC",558038.4
"Office of Administrative Services","AA TEMPS INC",367850.88
"Office of Administrative Services","XEROX CORPORATION",321466.11
"Office of Administrative Services","QUALITY LITIGATION SERVICES INC",316218.45
"Office of Administrative Services","PROVEN MANAGEMENT LLC",255840
"Office of Administrative Services","DIGITAL FOUNDATION COMPUTER CONSULTING SERVICES CORP INC",229676.8
"Office of Administrative Services","COMMUNICATION TRAINING & ANALY",192943.22
"Office of Advocacy and Outreach","GRADY HOTEL INVESTMENTS LLC",4885.6
"Office of Advocacy and Outreach","DEAF ACCESS SOLUTIONS INC",3118.43
"Office of Assistant Secretary for Planning and Evaluation","PATRIOT CONSTRUCTION INC",93948
"Office of Assistant Secretary for Planning and Evaluation","KCORP TECHNOLOGY SERVICES INC",77297.83
"Office of Assistant Secretary for Planning and Evaluation","SKY BLUE BUILDERS LLC",66400.05
"Office of Assistant Secretary for Planning and Evaluation","QWEST COMMUNICATIONS INTERNATIONAL INC",15426.99
"Office of Assistant Secretary for Planning and Evaluation","KENWOOD USA CORPORATION",4145.75
"Office of Assistant Secretary for Planning and Evaluation","SBC GLOBAL SERVICES INC",923.27
"Office of Assistant Secretary for Preparedness and Response","INTEGRITY MANAGEMENT CONSULTING INC",985179.2
"Office of Assistant Secretary for Preparedness and Response","MALIK CONSULTING INC",948426.94
"Office of Assistant Secretary for Preparedness and Response","GRYPHON SCIENTIFIC LLC",794107.67
"Office of Assistant Secretary for Preparedness and Response","NAVIGANT CONSULTING INC",721386.76
"Office of Assistant Secretary for Preparedness and Response","ZOLL MEDICAL CORPORATION",719452.3
"Office of Assistant Secretary for Preparedness and Response","AIR PARTNER INC",620000
"Office of Assistant Secretary for Preparedness and Response","MRIGLOBAL",601817
"Office of Assistant Secretary for Preparedness and Response","LOVELACE BIOMEDICAL & ENVIRONMENTAL RESEARCH INSTITUTE INC",593456.43
"Office of Assistant Secretary for Preparedness and Response","BLANCHARDS CONTRACTING LLC",555910.03
"Office of Assistant Secretary for Preparedness and Response","GLAXOSMITHKLINE HOLDINGS AMERICAS INC",553931
"Office of Assistant Secretary for Public Affairs","BIALEK CORPORATION OF MARYLAND THE",140657.4
"Office of Assistant Secretary of Civil Rights","OBVERSE INC",463943
"Office of Assistant Secretary of Civil Rights","MICROPACT INC",453451.11
"Office of Assistant Secretary of Civil Rights","BUSINESS DECISIONS INFORMATION",281577.43
"Office of Assistant Secretary of Civil Rights","COMPUCON INC",265826.64
"Office of Assistant Secretary of Civil Rights","INQUEST SOLUTIONS INC",254023.19
"Office of Assistant Secretary of Civil Rights","INTERNATIONAL CIVIL RIGHTS INV",244344.79
"Office of Assistant Secretary of Civil Rights","MARTIN-MISER ASSOCIATES INC",243899
"Office of Assistant Secretary of Civil Rights","ATTAINX INC",200000
"Office of Assistant Secretary of Civil Rights","FEDERAL FACILITATORS LLC",158000
"Office of Assistant Secretary of Civil Rights","HUMAN RESOURCES SELECT SERVICE",105113.27
"Office of Budget and Program Analysis","HALTER FAITH",6000
"Office of Chief Financial Officer","INTELLIGENT FISCAL OPTIMAL SOLUTIONS LLC",967680
"Office of Chief Financial Officer","CREATIVE BUSINESS SOLUTIONS INC",610990.31
"Office of Chief Financial Officer","INSIGNIA FEDERAL GROUP LLC",448088.89
"Office of Chief Financial Officer","SOFT TECH CONSULTING INC",260867.64
"Office of Chief Financial Officer","E LEARNING INNOVATIONS",181442.41
"Office of Chief Financial Officer","PARKER TIDE CORP",157607.92
"Office of Chief Financial Officer","YOUR RECRUITING COMPANY INCORPORATED",104222.72
"Office of Chief Financial Officer","CW GOVERNMENT TRAVEL INC",47895.76
"Office of Chief Financial Officer","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",27415.68
"Office of Chief Financial Officer","MELTECH CORPORATION INC",20051.24
"Office of Citizen Services and Innovative Technologies","BOOZ ALLEN HAMILTON INC",309384.54
"Office of Citizen Services and Innovative Technologies","COMMUNICATION TRAINING & ANALY",175156.34
"Office of Citizen Services and Innovative Technologies","CASCADES TECHNOLOGIES INC",162221.68
"Office of Citizen Services and Innovative Technologies","LEVER INC",49920
"Office of Citizen Services and Innovative Technologies","TRUETANDEM LLC",-0.01
"Office of Citizen Services and Innovative Technologies","CORESPHERE LIMITED LIABILITY COMPANY",-261854.93
"Office of Citizen Services and Innovative Technologies","INQBATION",-313910.4
"Office of Communication","KETCHUM INC",400000
"Office of Communication","WEBFIRST INC",299787.67
"Office of Communication","INSIGHT PUBLIC SECTOR INC",230224
"Office of Communication","DOUGHERTY & ASSOCIATES INC",225000
"Office of Communication","ADORAMA INC",72605.45
"Office of Communication","FLEISHMAN-HILLARD INC",68183.97
"Office of Communication","P B I INC",67297.97
"Office of Communication","RELX INC",46680
"Office of Communication","AUROTECH INC",37560.66
"Office of Communication","CISION US INC",36570
"Office of Communications and Marketing","BLUEWATER FEDERAL SOLUTIONS INC",655136.36
"Office of Communications and Marketing","FORUM ONE COMMUNICATIONS CORPORATION",301286.72
"Office of Communications and Marketing","CATVIDEO INC",202442.16
"Office of Communications and Marketing","CARAHSOFT TECHNOLOGY CORPORATION",156086.16
"Office of Communications and Marketing","CEB INC",39335
"Office of Communications and Marketing","SITEIMPROVE INC",17569.27
"Office of Congressional Relations","NATIONAL JOURNAL GROUP INC",5890
"Office of Congressional and Intergovernmental Affairs","BUREAU OF NATIONAL AFFAIRS INC THE",72900
"Office of Ethics","HRWORX LLC",395211.5
"Office of Ethics","SUPRIYA AGGARWAL",31291.68
"Office of Ethics","GLOBAL NETWORKS INC",8226.47
"Office of Ethics","GOVERNMENT ACQUISITIONS INC",5051.75
"Office of Executive Secretariat","NETCENTRIC TECHNOLOGIES INC",10000
"Office of Executive Secretariat","LEXMARK INTERNATIONAL INC",6885.27
"Office of Federal Contract Compliance Program","ASSOCIATED VETERANS LLC-QUALITY SOLUTIONS",956896.96
"Office of Federal Contract Compliance Program","CARAHSOFT TECHNOLOGY CORP",922000.82
"Office of Federal Contract Compliance Program","BLDS LLC",474383.52
"Office of Federal Contract Compliance Program","XEROX CORPORATION",383341.6
"Office of Federal Contract Compliance Program","FAX PLUS INCORPORATED",361495.2
"Office of Federal Contract Compliance Program","ECONSULT CORPORATION",242221
"Office of Federal Contract Compliance Program","22ND CENTURY TECHNOLOGIES INC",209981.2
"Office of Federal Contract Compliance Program","COUNCIL ROCK CONSULTING INCORPORATED",176156
"Office of Federal Contract Compliance Program","NEW TECH SOLUTIONS INC",165863.48
"Office of Federal Contract Compliance Program","GLOBAL EVALUATION & APPLIED RESEARCH SOLUTIONS GEARS INC",149921.55
