"source","target","value"
"Energy, Science, Space, and Technology","Interest and Dividends",103580331.11
"Income Security","Refunds",87268356.01
"Regional Development, Commerce, and Housing","Interest and Dividends",86194993.18
"National Defense","Grants, Subsidies, and Contributions",74667206.02
"Income Security","Rent, Communications, and Utilities",67668886.43
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",65841016.96
"National Defense","Travel and Transportation",61018183.01
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",60224712
"Income Security","Interest and Dividends",55510552.61
"General Government","Travel and Transportation",55174751.91
"Health","Acquisition of Assets",54417867.43
"Agriculture","Rent, Communications, and Utilities",44066959.93
"Income Security","Acquisition of Assets",38560412.18
"Energy, Science, Space, and Technology","Printing and Supplies",37874892.86
"National Defense","Printing and Supplies",26985359.5
"Social Security","Acquisition of Assets",24489230.64
"Medicare","Personnel Compensation and Benefits",22877399.46
"Health","Refunds",19767430.81
"Administration of Justice","Other",17360513.56
"Social Security","Printing and Supplies",17241340.22
"Natural Resources and Environment","Insurance Claims and Indemnities",15327780.82
"Energy, Science, Space, and Technology","Refunds",12931278.13
"Education, Training, Employment, and Social Services","Other",12797123.93
"Agriculture","Travel and Transportation",11966416.46
"Education, Training, Employment, and Social Services","Travel and Transportation",9597762
"General Government","Other",8164559.02
"International Affairs","Insurance Claims and Indemnities",6473338.72
"Social Security","Grants, Subsidies, and Contributions",6344748.67
"Income Security","Travel and Transportation",6297107.73
"Social Security","Travel and Transportation",6145020.27
"Agriculture","Printing and Supplies",5906892.82
"Medicare","Rent, Communications, and Utilities",3394389.2
"Education, Training, Employment, and Social Services","Printing and Supplies",2514946.45
"Regional Development, Commerce, and Housing","Other",2427622.13
"International Affairs","Refunds",1682971.76
"Agriculture","Refunds",1355943.71
"Transportation","Interest and Dividends",1234151.32
"Regional Development, Commerce, and Housing","Refunds",1092721.95
"Natural Resources and Environment","Interest and Dividends",1072194
"General Government","Unknown",845608.67
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",687469.87
"Administration of Justice","Unknown",671629.25
"Education, Training, Employment, and Social Services","Unknown",659906.88
"Agriculture","Interest and Dividends",314818.29
"Energy, Science, Space, and Technology","Unknown",239560.79
"Agriculture","Other",221124.53
"Transportation","Refunds",183109.71
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",126008.18
"Health","Interest and Dividends",123020.5
"International Affairs","Other",103217.19
"Medicare","Travel and Transportation",85182.2
"Medicare","Printing and Supplies",33266.03
"Medicare","Refunds",30902.1
"Administration of Justice","Interest and Dividends",28823.42
"International Affairs","Interest and Dividends",19102.83
"Social Security","Interest and Dividends",674.02
"Medicare","Acquisition of Assets",633.08
"Education, Training, Employment, and Social Services","Interest and Dividends",613.94
"Veterans Benefits and Services","Other",14.93
"Veterans Benefits and Services","Interest and Dividends",1.9
