"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Agency for International Development","Agency for International Development (no sub-agencies)","Education and Human Resources Development, Development Assistance, Economic Assistance, Funds Appropriated to the President",5344,"2","2017","2017-03-31",0,2649022.09
"Agency for International Development","Agency for International Development (no sub-agencies)","Food and Nutrition, Development Assistance, Economic Assistance, Funds Appropriated to the President",5342,"2","2017","2017-03-31",0,2767500.48
"Agency for International Development","Agency for International Development (no sub-agencies)","Foreign National Employees Separation Liability Fund, Agency for International Development",5370,"2","2017","2017-03-31",16358577.39,2351171.5
"Agency for International Development","Agency for International Development (no sub-agencies)","Gifts and Donations, Agency for International Development",5372,"2","2017","2017-03-31",37826339.76,65024400.69
"Agency for International Development","Agency for International Development (no sub-agencies)","HIV/AIDS Working Capital Fund, Agency for International Development",5347,"2","2017","2017-03-31",314981121,749036554.53
"Agency for International Development","Agency for International Development (no sub-agencies)","Housing and Other Credit Guaranty Programs, Liquidating Account, Agency for International Development",5359,"2","2017","2017-03-31",5016081.57,12724100.45
"Agency for International Development","Agency for International Development (no sub-agencies)","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development",5348,"2","2017","2017-03-31",902224141.49,2465376618.34
"Agency for International Development","Agency for International Development (no sub-agencies)","Loan Guarantees to Israel Program, Reimbursements of Administrative Expenses, Agency for International Development",5363,"2","2017","2017-03-31",0,27000
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President",5334,"2","2017","2017-03-31",535845381.21,490215332.77
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President",5336,"2","2017","2017-03-31",30758788.19,39294026.29
"Agency for International Development","Agency for International Development (no sub-agencies)","Population Planning and Health, Development Assistance, Economic Assistance, Funds Appropriated to the President",5343,"2","2017","2017-03-31",0,272441.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Private Sector Loans Program Account, Agency for International Development",5330,"2","2017","2017-03-31",0,2658998.21
"Agency for International Development","Agency for International Development (no sub-agencies)","Private Sector Revolving Fund, Liquidating Account, Agency for  International Development",5360,"2","2017","2017-03-31",0,37575.11
"Agency for International Development","Agency for International Development (no sub-agencies)","Property Management Fund, Agency for International Development",5358,"2","2017","2017-03-31",0,26941433.42
"Agency for International Development","Agency for International Development (no sub-agencies)","Sahel Development Program, Funds Appropriated to the President",5338,"2","2017","2017-03-31",0,451458.43
"Agency for International Development","Agency for International Development (no sub-agencies)","Sub-Saharan Africa Disaster Assistance, Funds Appropriated to the President",5351,"2","2017","2017-03-31",0,81817.6
"Agency for International Development","Agency for International Development (no sub-agencies)","Sub-Saharan Africa, Development Assistance, Funds Appropriated to the President",5339,"2","2017","2017-03-31",0,12580771.21
"Agency for International Development","Agency for International Development (no sub-agencies)","Technical Assistance, United States Dollars Advanced from Foreign Governments, Agency for International Development",5371,"2","2017","2017-03-31",0,1390293.71
"Agency for International Development","Agency for International Development (no sub-agencies)","Transition Initiatives, Funds Appropriated to the President, US Agency for International Development",5345,"2","2017","2017-03-31",11645786.92,88405791.54
"Agency for International Development","Agency for International Development (no sub-agencies)","Urban and Environmental Credit Program Account, Agency for International Development",5331,"2","2017","2017-03-31",0,2154255.07
"Agency for International Development","Agency for International Development (no sub-agencies)","Working Capital Fund, International Assistance Program",5361,"2","2017","2017-03-31",5398418.68,20195724.96
"Department of Agriculture","Agricultural Marketing Service","Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",3637,"2","2017","2017-03-31",84226774.27,136156108.78
"Department of Agriculture","Agricultural Marketing Service","Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",3589,"2","2017","2017-03-31",340864340.48,10632318711.37
"Department of Agriculture","Agricultural Marketing Service","Marketing Services, Agricultural Marketing Service, Agriculture",3527,"2","2017","2017-03-31",99440507.8,131398542.05
"Department of Agriculture","Agricultural Marketing Service","Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",3443,"2","2017","2017-03-31",2250000,0
"Department of Agriculture","Agricultural Marketing Service","Payments to States and Possessions, Agricultural Marketing Service, Agriculture",3528,"2","2017","2017-03-31",3037583.04,77394804.36
"Department of Agriculture","Agricultural Marketing Service","Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",3579,"2","2017","2017-03-31",5032529.32,20240121.4
"Department of Agriculture","Agricultural Marketing Service","Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",3642,"2","2017","2017-03-31",0,2094750
"Department of Agriculture","Agricultural Research Service","Buildings and Facilities, Agricultural Research Service, Agriculture",3487,"2","2017","2017-03-31",2357289.29,246307346.99
"Department of Agriculture","Agricultural Research Service","Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",3601,"2","2017","2017-03-31",11927.22,560994.04
"Department of Agriculture","Agricultural Research Service","Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",3647,"2","2017","2017-03-31",9649851.95,48842165.51
"Department of Agriculture","Agricultural Research Service","Salaries and Expenses, Agricultural Research Service, Agricullture",3486,"2","2017","2017-03-31",23923293.66,83241959.15
"Department of Agriculture","Animal and Plant Health Inspection Service","Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",3580,"2","2017","2017-03-31",100363791.67,511781012.18
"Department of Agriculture","Animal and Plant Health Inspection Service","Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",3496,"2","2017","2017-03-31",150941.93,2430993.3
"Department of Agriculture","Animal and Plant Health Inspection Service","Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",3654,"2","2017","2017-03-31",870206.84,0
"Department of Agriculture","Animal and Plant Health Inspection Service","Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",3649,"2","2017","2017-03-31",3613808.31,14204592.47
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses, Animal and Plant Health Inspection Service",3495,"2","2017","2017-03-31",523483228.13,777509262.35
"Department of Agriculture","Buildings and Facilities","Agriculture Buildings and Facilities, Agriculture",3420,"2","2017","2017-03-31",0,114779805.72
"Department of Agriculture","Economic Research Service","Economic Research Service, Agriculture",3497,"2","2017","2017-03-31",37742155.87,16916285.58
"Department of Agriculture","Economic Research Service","Miscellaneous Contributed Funds, Economic Research Service, Agriculture",3650,"2","2017","2017-03-31",0,1080.46
"Department of Agriculture","Executive Operations","Expenses, Common Computing Environment, Agriculture",3418,"2","2017","2017-03-31",0,257457.05
"Department of Agriculture","Executive Operations","Office of Budget and Program Analysis, Executive Operations, Agriculture",3450,"2","2017","2017-03-31",4336076.76,5501750.99
"Department of Agriculture","Executive Operations","Office of Hearings and Appeals Division, Executive Operations, Agriculture",3454,"2","2017","2017-03-31",6001072.86,2229697.47
"Department of Agriculture","Executive Operations","Office of the Chief Economist, Executive Operations, Agriculture",3424,"2","2017","2017-03-31",5303465.61,7497975.19
"Department of Agriculture","Executive Operations","Working Capital Fund, Agriculture",3577,"2","2017","2017-03-31",414175182.24,556708250.44
"Department of Agriculture","Farm Production and Conservation Programs","Farm Production and Conservation Business Center, Farm Production and Conservation Programs,  Agriculture",3442,"2","2017","2017-03-31",NA,NA
"Department of Agriculture","Farm Service Agency","Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",3477,"2","2017","2017-03-31",0,675010745.75
"Department of Agriculture","Farm Service Agency","Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",3565,"2","2017","2017-03-31",0,4311307.21
"Department of Agriculture","Farm Service Agency","Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",3611,"2","2017","2017-03-31",0,16970035.65
"Department of Agriculture","Farm Service Agency","Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",3616,"2","2017","2017-03-31",0,42419448.58
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",3574,"2","2017","2017-03-31",0,607835.96
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",3485,"2","2017","2017-03-31",0,29021318.14
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Fund, Agriculture",3573,"2","2017","2017-03-31",0,3352504.42
"Department of Agriculture","Farm Service Agency","Conservation Reserve Program, Farm Service Agency, Agriculture",3546,"2","2017","2017-03-31",0,0
"Department of Agriculture","Farm Service Agency","Dairy Indemnity Program, Farm Service Agency, Agriculture",3541,"2","2017","2017-03-31",0,224334.08
"Department of Agriculture","Farm Service Agency","Discrimination Claims Settlement, Farm Service Agency, Agriculture",3480,"2","2017","2017-03-31",0,27789687.92
"Department of Agriculture","Farm Service Agency","Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture",3538,"2","2017","2017-03-31",0,96078
"Department of Agriculture","Farm Service Agency","Emergency Conservation Program, Farm Service Agency, Agriculture",3543,"2","2017","2017-03-31",0,344134286.58
"Department of Agriculture","Farm Service Agency","Emergency Forest Restoration Program, Farm Service Agency, Agriculture",3439,"2","2017","2017-03-31",0,61325311.61
"Department of Agriculture","Farm Service Agency","Farm Storage Facility Loans Program Accounts, Farm Service Agency, Agriculture",3536,"2","2017","2017-03-31",0,11661923
"Department of Agriculture","Farm Service Agency","Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",3539,"2","2017","2017-03-31",1240516,0
"Department of Agriculture","Farm Service Agency","Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",3615,"2","2017","2017-03-31",0,14896000
"Department of Agriculture","Farm Service Agency","Reforestation Pilot Program, Farm Service Agency, Agriculture",3540,"2","2017","2017-03-31",0,0
"Department of Agriculture","Farm Service Agency","Reimbursement for Net Realized Losses, Commodity Credit Corporation",3559,"2","2017","2017-03-31",0,0
"Department of Agriculture","Farm Service Agency","Salaries and Expenses, Farm Service Agency, Agriculture",3452,"2","2017","2017-03-31",733673370.83,273824892.27
"Department of Agriculture","Farm Service Agency","State Mediation Grants, Farm Service Agency, Agriculture",3438,"2","2017","2017-03-31",0,4608650.45
"Department of Agriculture","Farm Service Agency","Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",3644,"2","2017","2017-03-31",0,20126858.63
"Department of Agriculture","Farm Service Agency","USDA Disaster Assistance, Farm Service Agency, Agriculture",3529,"2","2017","2017-03-31",0,6643375.34
"Department of Agriculture","Food and Nutrition Service","Child Nutrition Programs, Food Nutrition Service, Agriculture",3556,"2","2017","2017-03-31",12365181387.26,8828455230.42
"Department of Agriculture","Food and Nutrition Service","Commodity Assistance Program, Food and Nutrition Service, Agriculture",3552,"2","2017","2017-03-31",137764973.16,66099657.15
"Department of Agriculture","Food and Nutrition Service","Food Stamp Program, Food and Nutrition Service, Agriculture",3551,"2","2017","2017-03-31",35618832889.83,33055616701.7
"Department of Agriculture","Food and Nutrition Service","Nutrition Programs Administration, Food and Nutrition Service, Agriculture",3553,"2","2017","2017-03-31",66030642.73,28340736.87
"Department of Agriculture","Food and Nutrition Service","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",3555,"2","2017","2017-03-31",3828024073.19,1438937154.82
"Department of Agriculture","Food and Nutrition Service","Supplemental Nutrition Assistance Program - Recovery Act, Food and Nutrition Service, Agriculture",3558,"2","2017","2017-03-31",0,758673425.45
"Department of Agriculture","Food Safety and Inspection Service","Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",3643,"2","2017","2017-03-31",5756450.8,20654988
"Department of Agriculture","Food Safety and Inspection Service","Food Safety and Inspection Service, Agriculture",3560,"2","2017","2017-03-31",642094741.71,266862358.46
"Department of Agriculture","Foreign Agricultural Service","Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",3653,"2","2017","2017-03-31",15010669.55,0
"Department of Agriculture","Foreign Agricultural Service","McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",3532,"2","2017","2017-03-31",5235573.33,177321193.05
"Department of Agriculture","Foreign Agricultural Service","Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",3651,"2","2017","2017-03-31",0,1325322.74
"Department of Agriculture","Foreign Agricultural Service","Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture",3522,"2","2017","2017-03-31",0,926916.02
"Department of Agriculture","Foreign Agricultural Service","Public Law 480 Title II Grants, Foreign Agricultural Service, Agriculture",3523,"2","2017","2017-03-31",252000740.79,206169738.94
"Department of Agriculture","Foreign Agricultural Service","Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",3521,"2","2017","2017-03-31",0,23376630.85
"Department of Agriculture","Foreign Agricultural Service","Salaries and Expenses, Foreign Agricultural Service, Agriculture",3531,"2","2017","2017-03-31",117037009.8,369949872.1
"Department of Agriculture","Forest Service","Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture",3588,"2","2017","2017-03-31",0,670757.09
"Department of Agriculture","Forest Service","Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",3593,"2","2017","2017-03-31",222798.82,39545965.35
"Department of Agriculture","Forest Service","Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",3605,"2","2017","2017-03-31",2463546.52,21277011.42
"Department of Agriculture","Forest Service","Capital Improvement and Maintenance, Forest Service, Agriculture",3468,"2","2017","2017-03-31",144787657.15,148463820.79
"Department of Agriculture","Forest Service","Cooperative Work, Forest Service,  Agriculture",3638,"2","2017","2017-03-31",36168276.39,387733805.11
"Department of Agriculture","Forest Service","Donations for Forest and Rangeland Research, Forest Service, Agriculture",3639,"2","2017","2017-03-31",0,114926.96
"Department of Agriculture","Forest Service","Expenses, Brush Disposal, Forest Service,  Agriculture",3586,"2","2017","2017-03-31",8999252.25,46703434.75
"Department of Agriculture","Forest Service","Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",3476,"2","2017","2017-03-31",0,489834777
"Department of Agriculture","Forest Service","Forest and Rangeland Research, Forest Service, Agriculture",3469,"2","2017","2017-03-31",147357233.56,78277192.06
"Department of Agriculture","Forest Service","Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",3610,"2","2017","2017-03-31",0,335539.27
"Department of Agriculture","Forest Service","Land Acquisition, Forest Service, Agriculture",3578,"2","2017","2017-03-31",6717830.81,61592441.7
"Department of Agriculture","Forest Service","Land Between the Lakes Management Fund, Forest Service,  Agriculture",3604,"2","2017","2017-03-31",2801905.23,5634527.33
"Department of Agriculture","Forest Service","Land Between the Lakes Trust Fund, Forest Service,  Agriculture",3640,"2","2017","2017-03-31",85000,5884274.91
"Department of Agriculture","Forest Service","Licensee Programs, Forest Service, Agriculture",3591,"2","2017","2017-03-31",35195.06,1460648.97
"Department of Agriculture","Forest Service","Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",3475,"2","2017","2017-03-31",1244948.67,406519.45
"Department of Agriculture","Forest Service","Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",3600,"2","2017","2017-03-31",0,0.6
"Department of Agriculture","Forest Service","MNP Rental Fee Account, Forest Service, Agriculture",3599,"2","2017","2017-03-31",416291.3,4797327.31
"Department of Agriculture","Forest Service","National Forest System, Forest Service, Agriculture",3471,"2","2017","2017-03-31",774625630.47,298278119.9
"Department of Agriculture","Forest Service","Operation and Maintenance of Quarters, Forest Service, Agriculture",3594,"2","2017","2017-03-31",2221671.67,23320830.92
"Department of Agriculture","Forest Service","Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",3590,"2","2017","2017-03-31",5725650,0
"Department of Agriculture","Forest Service","Payments to Counties, National Grasslands, Forest Service,  Agriculture",3617,"2","2017","2017-03-31",0,0
"Department of Agriculture","Forest Service","Payments to States, National Forests Fund,  Forest Service, Agriculture",3581,"2","2017","2017-03-31",57526913.46,93351223.63
"Department of Agriculture","Forest Service","Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",3473,"2","2017","2017-03-31",0,4395861.98
"Department of Agriculture","Forest Service","Quinault Special Management Area, Forest Service, Agriculture",3596,"2","2017","2017-03-31",0,18348.59
"Department of Agriculture","Forest Service","Range Betterment Fund, Forest Service, Agriculture",3587,"2","2017","2017-03-31",246307.16,2806596.68
"Department of Agriculture","Forest Service","Recreation Fee Demonstration Program, Forest Service,  Agriculture",3598,"2","2017","2017-03-31",24645886.69,133140599.86
"Department of Agriculture","Forest Service","Reforestation Trust Fund, Forest Service, Agriculture",3641,"2","2017","2017-03-31",7931160.95,28991618.32
"Department of Agriculture","Forest Service","Resource Management Timber Receipts, Forest Service, Agriculture",3595,"2","2017","2017-03-31",0,10161.06
"Department of Agriculture","Forest Service","Restoration of Forest Lands and Improvements, Forest Service, Agriculture",3592,"2","2017","2017-03-31",10460223.62,308379926.67
"Department of Agriculture","Forest Service","Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",3583,"2","2017","2017-03-31",0,51401.27
"Department of Agriculture","Forest Service","State and Private Forestry, Forest Service,  Agriculture",3607,"2","2017","2017-03-31",2012585.59,63560558.98
"Department of Agriculture","Forest Service","State and Private Forestry, Forest Service, Agriculture",3470,"2","2017","2017-03-31",86159686.92,203507541.97
"Department of Agriculture","Forest Service","Stewardship Contracting Product Sales, Forest Service, Agriculture",3612,"2","2017","2017-03-31",1931098.02,35972177.66
"Department of Agriculture","Forest Service","Timber Roads, Purchaser Elections, Forest Service, Agriculture",3582,"2","2017","2017-03-31",0,32059426.29
"Department of Agriculture","Forest Service","Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",3597,"2","2017","2017-03-31",2032589.89,28639154.76
"Department of Agriculture","Forest Service","Timber Salvage Sales, Forest Service,  Agriculture",3584,"2","2017","2017-03-31",12969701.55,92355657.93
"Department of Agriculture","Forest Service","Wildland Fire Management, Forest Service, Agriculture",3472,"2","2017","2017-03-31",1133212983.37,662939089.81
"Department of Agriculture","Forest Service","Working Capital Fund, Forest Service,  Agriculture",3576,"2","2017","2017-03-31",121136857.64,274326885.04
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",3563,"2","2017","2017-03-31",0,89287807.97
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture",3526,"2","2017","2017-03-31",20705075.17,9993664.25
"Department of Agriculture","Hazardous Materials Management","Hazardous Materials Management, Agriculture",3448,"2","2017","2017-03-31",0,4738672.92
"Department of Agriculture","National Agricultural Statistics Service","Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",3648,"2","2017","2017-03-31",0,116771.31
"Department of Agriculture","National Agricultural Statistics Service","National Agricultural Statistics Service, Agriculture",3498,"2","2017","2017-03-31",24597301.52,3200565.32
"Department of Agriculture","National Institute of Food and Agriculture","Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",3459,"2","2017","2017-03-31",3816.88,9204828.17
"Department of Agriculture","National Institute of Food and Agriculture","Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",3493,"2","2017","2017-03-31",1207258.04,463003.79
"Department of Agriculture","National Institute of Food and Agriculture","Extension Activities, National Institute of Food and Agriculture, Agriculture",3449,"2","2017","2017-03-31",23820894.88,334204436.36
"Department of Agriculture","National Institute of Food and Agriculture","Integrated Activities, National Institute of Food and Agriculture, Agriculture",3494,"2","2017","2017-03-31",18846105,128207144.13
"Department of Agriculture","National Institute of Food and Agriculture","Native American Institutions Endowment Fund, Agriculture",3585,"2","2017","2017-03-31",0,7335987.84
"Department of Agriculture","National Institute of Food and Agriculture","Research and Education Activities, National Institute of Food and Agriculture, Agriculture",3492,"2","2017","2017-03-31",193185545.45,753290342.76
"Department of Agriculture","Natural Resources Conservation Service","Conservation Operations, Natural Resources Conservation Service, Agriculture",3457,"2","2017","2017-03-31",339542042.37,368189994.62
"Department of Agriculture","Natural Resources Conservation Service","Damage Assessment and Restoration Revolving Fund, Agriculture",3575,"2","2017","2017-03-31",21.84,2127860.26
"Department of Agriculture","Natural Resources Conservation Service","Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",3460,"2","2017","2017-03-31",1361457448.11,6720354098.75
"Department of Agriculture","Natural Resources Conservation Service","Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",3466,"2","2017","2017-03-31",0,93
"Department of Agriculture","Natural Resources Conservation Service","Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",3646,"2","2017","2017-03-31",0,535792.58
"Department of Agriculture","Natural Resources Conservation Service","Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",3461,"2","2017","2017-03-31",0,72428.93
"Department of Agriculture","Natural Resources Conservation Service","Water Bank Program, Natural Resources Conservation Service, Agriculture",3547,"2","2017","2017-03-31",10132.15,969409.79
"Department of Agriculture","Natural Resources Conservation Service","Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",3463,"2","2017","2017-03-31",64587098.24,418395066.49
"Department of Agriculture","Natural Resources Conservation Service","Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",3458,"2","2017","2017-03-31",2043221.9,109271092.76
"Department of Agriculture","Natural Resources Conservation Service","Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture",3548,"2","2017","2017-03-31",0,196827.12
"Department of Agriculture","Office of Chief Financial Officer","Expenses, Office of the Chief Financial Officer, Agriculture",3414,"2","2017","2017-03-31",2907378.38,1698346.83
"Department of Agriculture","Office of Chief Information Officer","Expenses, Office of the Chief Information Officer, Agriculture",3413,"2","2017","2017-03-31",18461475.85,20368706.29
"Department of Agriculture","Office of Civil Rights","Office of Civil Rights, Agriculture",3562,"2","2017","2017-03-31",15124321.85,5853074.63
"Department of Agriculture","Office of Inspector General","Inspector General Assets Forfeiture, Justice",3608,"2","2017","2017-03-31",907977.02,4428035.54
"Department of Agriculture","Office of Inspector General","Inspector General Assets Forfeiture, Treasury",3609,"2","2017","2017-03-31",374820.61,4007341.52
"Department of Agriculture","Office of Inspector General","Office of Inspector General - Recovery Act, Agriculture",3455,"2","2017","2017-03-31",0,36.65
"Department of Agriculture","Office of Inspector General","Office of the Inspector General, Agriculture",3456,"2","2017","2017-03-31",46517863.9,27388554.76
"Department of Agriculture","Office of the General Counsel","Office of Ethics, Agriculture",3435,"2","2017","2017-03-31",1652602.8,2149930.34
"Department of Agriculture","Office of the General Counsel","Office of the General Counsel, Agriculture",3525,"2","2017","2017-03-31",22525841.09,7312832.63
"Department of Agriculture","Office of the Secretary","Departmental Administration, Agriculture",3421,"2","2017","2017-03-31",4125.77,144623.79
"Department of Agriculture","Office of the Secretary","Gifts and Bequests, Agriculture",3645,"2","2017","2017-03-31",138481.38,6352580.78
"Department of Agriculture","Office of the Secretary","Homeland Security Staff, Agriculture",3416,"2","2017","2017-03-31",16354.65,6308.79
"Department of Agriculture","Office of the Secretary","Office of Advocacy and Outreach, Executive Operations, Agriculture",3433,"2","2017","2017-03-31",0,171904.68
"Department of Agriculture","Office of the Secretary","Office of Codex Alimentarius, Office of the Secretary, Agriculture",3441,"2","2017","2017-03-31",NA,NA
"Department of Agriculture","Office of the Secretary","Office of Communications, Agriculture",3437,"2","2017","2017-03-31",0,247236.21
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Administration, Agriculture",3422,"2","2017","2017-03-31",0,90726.5
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Civil Rights, Agriculture",3431,"2","2017","2017-03-31",448419.83,270102.8
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture",3423,"2","2017","2017-03-31",0,165369.49
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",3429,"2","2017","2017-03-31",728208.78,187394.65
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",3427,"2","2017","2017-03-31",497452.29,242013.78
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food Safety, Agriculture",3561,"2","2017","2017-03-31",334066.69,361470.98
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",3430,"2","2017","2017-03-31",491197.29,252928.45
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",3426,"2","2017","2017-03-31",546900,348598.19
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Research, Education and Economics, Agriculture",3425,"2","2017","2017-03-31",1857827.41,865412.99
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Rural Development, Agriculture",3428,"2","2017","2017-03-31",1107094.64,-190219.77
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture",3440,"2","2017","2017-03-31",NA,NA
"Department of Agriculture","Office of the Secretary","Office of Tribal Relations, Agriculture",3432,"2","2017","2017-03-31",0,25144.91
"Department of Agriculture","Office of the Secretary","Outreach for Socially Disadvantaged Farmers, National Institute of Food and Agriculture, Agriculture",3453,"2","2017","2017-03-31",0,1279812.71
"Department of Agriculture","Office of the Secretary","Production, Processing and Marketing, Office of the Secretary, Agriculture",3419,"2","2017","2017-03-31",920983.59,17526897.02
"Department of Agriculture","Risk Management Agency","Administrative and Operating Expenses, Office of Risk Management, Agriculture",3530,"2","2017","2017-03-31",41096844.87,14306093.15
