"source","target","value","type"
"CHEMICAL ANALYSIS INSTRUMENTS","U.S. Geological Survey",7000,"contract"
"CHEMICAL WEAPONS AND EQUIPMENT","Department of Veterans Affairs",316620,"contract"
"CHEMICALS","National Oceanic and Atmospheric Administration",798495.5,"contract"
"CHEMICALS","National Institute of Standards and Technology",14000,"contract"
"COAL (BASIC)","National Aeronautics and Space Administration",70000,"contract"
"COLLECTORS' AND/OR HISTORICAL ITEMS","Department of State",10000,"contract"
"COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","National Oceanic and Atmospheric Administration",12836.38,"contract"
"COMPOSITE FOOD PACKAGES","Department of the Army",40004,"contract"
"DATA COLLECTION SERVICES","Bureau of Labor Statistics",11942226.82,"contract"
"DATA COLLECTION SERVICES","National Institutes of Health",1238440,"contract"
"DATA COLLECTION SERVICES","National Science Foundation",1153471.51,"contract"
"DATA COLLECTION SERVICES","Drug Enforcement Administration",426008.86,"contract"
"DATA COLLECTION SERVICES","Consumer Product Safety Commission",415056.02,"contract"
"DEFENSE SHIPS (ADVANCED)","Department of the Navy",126351.57,"contract"
"DEFENSE SHIPS (BASIC)","Department of the Navy",12819517,"contract"
"DIGITAL MAPS, CHARTS, GEODETIC PROD","U.S. Geological Survey",9850,"contract"
"DIGITIZING SVCS","Defense Media Activity",3978783,"contract"
"DIGITIZING SVCS","U.S. Army Corps of Engineers - Civil Program Financing Only",163522,"contract"
"DRAFTING, SURVEYING, AND MAPPING INSTRUMENTS","Department of Defense",436899.36,"contract"
"DRUGS AND BIOLOGICALS","Department of Veterans Affairs",653725.54,"contract"
"DRUGS AND BIOLOGICALS","National Institutes of Health",553110.73,"contract"
"DRUGS AND BIOLOGICALS","Department of the Navy",107016,"contract"
"DRUGS AND BIOLOGICALS","Centers for Disease Control and Prevention",243.68,"contract"
"ECONOMIC STUDIES","Consumer Financial Protection Bureau",315297.2,"contract"
"ECONOMIC STUDIES","U.S. Army Corps of Engineers - Civil Program Financing Only",86379,"contract"
"ECONOMIC STUDIES","Department of the Navy",50000,"contract"
"ECONOMIC STUDIES","Environmental Protection Agency",20435,"contract"
"ECONOMIC STUDIES","Department of the Army",0.01,"contract"
"EDUCATION (MANAGEMENT/SUPPORT)","National Aeronautics and Space Administration",40000,"contract"
"EDUCATION (OPERATIONAL)","Federal Prison System / Bureau of Prisons",2146702.6,"contract"
"EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS","Department of the Army",3888630.37,"contract"
"EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS","Department of the Air Force",323618.98,"contract"
"EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS","Federal Prison System / Bureau of Prisons",270906.46,"contract"
"EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS","Securities and Exchange Commission",181275,"contract"
"EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS","Department of the Navy",103700,"contract"
"EDUCATION/TRAINING- COMBAT","Department of the Air Force",340426,"contract"
"EDUCATION/TRAINING- COMBAT","U.S. Special Operations Command",125226,"contract"
"EDUCATION/TRAINING- GENERAL","Department of the Navy",8357662.45,"contract"
"EDUCATION/TRAINING- GENERAL","Department of the Army",2680077.23,"contract"
"EDUCATION/TRAINING- GENERAL","Department of Veterans Affairs",2002584.21,"contract"
"EDUCATION/TRAINING- GENERAL","Federal Prison System / Bureau of Prisons",1410815.04,"contract"
"EDUCATION/TRAINING- GENERAL","Peace Corps",1114904.27,"contract"
"EDUCATION/TRAINING- SECURITY","Department of Veterans Affairs",20278.89,"contract"
"EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES","Department of the Navy",165732094.12,"contract"
"EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES","Transportation Security Administration",2641310,"contract"
"EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES","Uniformed Services University of the Health Sciences",1996946,"contract"
"EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES","Department of Veterans Affairs",1462734.87,"contract"
"EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES","Department of Defense",765290.43,"contract"
"EDUCATION/TRAINING- VOCATIONAL/TECHNICAL","Office of the Assistant Secretary for Administration",2999911.24,"contract"
"EDUCATION/TRAINING- VOCATIONAL/TECHNICAL","Department of Defense Education Activity",2886932.31,"contract"
"EDUCATION/TRAINING- VOCATIONAL/TECHNICAL","Federal Prison System / Bureau of Prisons",1375637.21,"contract"
"EDUCATION/TRAINING- VOCATIONAL/TECHNICAL","Employment and Training Administration",1223892,"contract"
"EDUCATION/TRAINING- VOCATIONAL/TECHNICAL","Department of the Navy",1181438.69,"contract"
"ELECT ELECTRONIC MEASURING INSTRUMT","Department of the Army",120001,"contract"
"ENGINEERING (ADVANCED)","Department of the Navy",9480028,"contract"
"ENGINEERING (ADVANCED)","Department of the Air Force",627819,"contract"
"ENGINEERING (ADVANCED)","National Aeronautics and Space Administration",209700,"contract"
"ENGINEERING (ADVANCED)","Federal Railroad Administration",103966,"contract"
"ENGINEERING (BASIC)","Department of Defense",72212004.59,"contract"
"ENGINEERING (BASIC)","Department of the Army",56395784.38,"contract"
"ENGINEERING (BASIC)","National Highway Traffic Safety Administration",5085195,"contract"
"ENGINEERING (BASIC)","Department of the Air Force",3668768.05,"contract"
"ENGINEERING (BASIC)","Department of the Navy",2346533.27,"contract"
"ENGINEERING (ENGINEERING)","National Aeronautics and Space Administration",30000,"contract"
"ENGINEERING AND TECHNICAL SERVICES","Department of the Air Force",77212566.75,"contract"
"ENGINEERING AND TECHNICAL SERVICES","Department of the Army",11285388.14,"contract"
"ENGINEERING AND TECHNICAL SERVICES","National Aeronautics and Space Administration",11140045.96,"contract"
"ENGINEERING AND TECHNICAL SERVICES","Department of Defense",9008043.23,"contract"
"ENGINEERING AND TECHNICAL SERVICES","Substance Abuse and Mental Health Services Administration",7675625,"contract"
"ENVIRONMENTAL SCIENCES (ADVANCED)","Department of the Navy",99205,"contract"
"ENVIRONMENTAL SCIENCES (ADVANCED)","Indian Health Service",3828,"contract"
"ENVIRONMENTAL SCIENCES (BASIC)","National Oceanic and Atmospheric Administration",802322.59,"contract"
"ENVIRONMENTAL SCIENCES (BASIC)","Bureau of Land Management",115000,"contract"
"ENVIRONMENTAL SCIENCES (BASIC)","Department of the Navy",80295,"contract"
"ENVIRONMENTAL SCIENCES (BASIC)","U.S. Army Corps of Engineers - Civil Program Financing Only",13857.75,"contract"
"ENVIRONMENTAL SCIENCES (BASIC)","Environmental Protection Agency",13420.2,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL CONSULTING AND LEGAL SUPPORT","U.S. Fish and Wildlife Service",95000,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL CONSULTING AND LEGAL SUPPORT","National Oceanic and Atmospheric Administration",24198,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT","Farm Service Agency",163390,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT","U.S. Army Corps of Engineers - Civil Program Financing Only",143234.89,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT","U.S. Geological Survey",40055,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT","National Park Service",13560,"contract"
"EQ TEST SVCS/CHEMICAL PRODUCTS","Forest Service",15806,"contract"
"EQ TEST SVCS/FIRE-RESCUE-SAFETY EQ","Department of the Army",11240,"contract"
"EQ TEST SVCS/SPACE VEHICLES","Department of the Air Force",248920,"contract"
"EQ TEST SVCS/SPACE VEHICLES","National Aeronautics and Space Administration",179066,"contract"
"EQUIPMENT AND MATERIALS TESTING- CLOTHING, INDIVIDUAL EQUIPMENT, AND INSIGNIA","Department of the Army",177262.5,"contract"
"EQUIPMENT AND MATERIALS TESTING- INSTRUMENTS AND LABORATORY EQUIPMENT","Centers for Disease Control and Prevention",77237.88,"contract"
"EQUIPMENT AND MATERIALS TESTING- INSTRUMENTS AND LABORATORY EQUIPMENT","Agricultural Research Service",2685.25,"contract"
"EQUIPMENT AND MATERIALS TESTING- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES","Department of Veterans Affairs",198068.36,"contract"
"EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS","National Aeronautics and Space Administration",124619,"contract"
"EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS","Department of the Navy",24478.5,"contract"
"EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS","Agricultural Research Service",8750,"contract"
"EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS","Forest Service",4200,"contract"
"EQUIPMENT AND MATERIALS TESTING- ORES, MINERALS, AND THEIR PRIMARY PRODUCTS","U.S. Immigration and Customs Enforcement",50748,"contract"
"EQUIPMENT AND MATERIALS TESTING- ORES, MINERALS, AND THEIR PRIMARY PRODUCTS","U.S. Geological Survey",13860,"contract"
"EVALUATION AND SCREENING","U.S. Secret Service",72739,"contract"
"EVALUATION AND SCREENING","Department of Veterans Affairs",29867,"contract"
"FACULTY SALARIES DEPENDENT SCHOOLS","National Aeronautics and Space Administration",18738.75,"contract"
"FACULTY SALARIES DEPENDENT SCHOOLS","Department of Veterans Affairs",4600,"contract"
"FACULTY SALARIES DEPENDENT SCHOOLS","U.S. Coast Guard",1485,"contract"
"FINANCIAL SERVICES","Department of Housing and Urban Development",71523,"contract"
"FOREST TREE PLANTING SERVICES","Forest Service",5000,"contract"
"GASES: COMPRESSED AND LIQUEFIED","Smithsonian Institution",4500,"contract"
"GENERAL HEALTH CARE SERVICES","Federal Prison System / Bureau of Prisons",72802072.6,"contract"
"GENERAL HEALTH CARE SERVICES","Centers for Disease Control and Prevention",54255865.3,"contract"
"GENERAL HEALTH CARE SERVICES","Department of Veterans Affairs",17908962.29,"contract"
"GENERAL HEALTH CARE SERVICES","Indian Health Service",2258234.52,"contract"
"GENERAL HEALTH CARE SERVICES","Health Resources and Services Administration",250309.7,"contract"
"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS","Defense Logistics Agency",350,"contract"
"HEALTH SERVICES (BASIC)","Office of the Assistant Secretary for Administration",9579631.44,"contract"
"HEALTH SERVICES (BASIC)","Department of Veterans Affairs",6080326.44,"contract"
"HEALTH SERVICES (BASIC)","Food and Drug Administration",5766643,"contract"
"HEALTH SERVICES (BASIC)","Indian Health Service",190464,"contract"
"HEALTH SERVICES (OPERATIONAL)","National Institutes of Health",344000,"contract"
"HOUSEKEEPING- CUSTODIAL JANITORIAL","National Archives and Records Administration",296431.97,"contract"
"HOUSEKEEPING- CUSTODIAL JANITORIAL","Smithsonian Institution",4050,"contract"
"HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT","National Archives and Records Administration",1597749.36,"contract"
"HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT","National Oceanic and Atmospheric Administration",410087.5,"contract"
"HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT","Department of the Army",138645,"contract"
"HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT","Forest Service",103725.96,"contract"
"HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT","U.S. Army Corps of Engineers - Civil Program Financing Only",45208.31,"contract"
"HOUSEKEEPING- FOOD","Forest Service",141177.04,"contract"
"HOUSEKEEPING- FOOD","Department of the Army",63302.45,"contract"
"HOUSEKEEPING- GUARD","National Archives and Records Administration",3512302.38,"contract"
"HOUSEKEEPING- GUARD","Department of State",76157,"contract"
"HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING","Forest Service",23790.1,"contract"
"HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING","Agricultural Research Service",16569.25,"contract"
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS","Department of Veterans Affairs",737663.16,"contract"
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS","National Institutes of Health",156309.67,"contract"
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS","Department of the Navy",108412,"contract"
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS","Agricultural Research Service",16500,"contract"
"INFORMATION TRAINING","Centers for Disease Control and Prevention",36900,"contract"
"INFORMATION TRAINING","Natural Resources Conservation Service",34080,"contract"
"INFORMATION TRAINING","Smithsonian Institution",8100,"contract"
"INSPECT SVCS/AMMO & EXPLOSIVES","Department of the Navy",700,"contract"
"INSPECTION- MISCELLANEOUS","National Aeronautics and Space Administration",60350,"contract"
"INSTALL OF INSTRUMENTS & LAB EQ","National Oceanic and Atmospheric Administration",29861.51,"contract"
"INSTALL OF MISC EQ","National Oceanic and Atmospheric Administration",60000,"contract"
"INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","National Institutes of Health",35824,"contract"
"INTERNAL MEDICINE SERVICES","Department of Veterans Affairs",3884236.73,"contract"
"INTERNAL MEDICINE SERVICES","Indian Health Service",470016.8,"contract"
"INTERNAL MEDICINE SERVICES","Offices, Boards and Divisions",13625,"contract"
"IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","National Institute of Standards and Technology",115000,"contract"
"IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","Department of Veterans Affairs",60325,"contract"
"IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","National Oceanic and Atmospheric Administration",54700,"contract"
"IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","Office of the Comptroller of the Currency",49535,"contract"
"IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS","National Science Foundation",40000,"contract"
"IT AND TELECOM- BUSINESS CONTINUITY","Department of the Navy",8460,"contract"
"IT AND TELECOM- BUSINESS CONTINUITY","Department of Veterans Affairs",3880,"contract"
"IT AND TELECOM- COMPUTER AIDED DESIGN/COMPUTER AIDED MANUFACTURING (CAD/CAM)","National Highway Traffic Safety Administration",346996.16,"contract"
"IT AND TELECOM- DATA CENTERS AND STORAGE","Transportation Security Administration",124169,"contract"
"IT AND TELECOM- DATA CENTERS AND STORAGE","Department of Veterans Affairs",68559.96,"contract"
"IT AND TELECOM- DATA CENTERS AND STORAGE","Forest Service",1033.01,"contract"
"IT AND TELECOM- DATA CONVERSION","National Aeronautics and Space Administration",159036,"contract"
"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","National Oceanic and Atmospheric Administration",2056125.42,"contract"
"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","National Institutes of Health",104525,"contract"
"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","Department of the Navy",33860.3,"contract"
"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","National Institute of Standards and Technology",20248,"contract"
"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","Federal Emergency Management Agency",2500,"contract"
"IT AND TELECOM- INTERNET","Smithsonian Institution",36597.3,"contract"
"IT AND TELECOM- INTERNET","Forest Service",21060,"contract"
"IT AND TELECOM- SYSTEMS DEVELOPMENT","Office of the Assistant Secretary for Administration",500000,"contract"
"IT AND TELECOM- SYSTEMS DEVELOPMENT","Department of Veterans Affairs",62608,"contract"
"IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION","National Oceanic and Atmospheric Administration",1875354.54,"contract"
"IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION","Federal Highway Administration",68720,"contract"
"IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION","Centers for Disease Control and Prevention",7181,"contract"
"IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION","Department of the Navy",4500,"contract"
"IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION","Department of Veterans Affairs",155.84,"contract"
"LABORATORY EQUIPMENT AND SUPPLIES","Centers for Disease Control and Prevention",517798.24,"contract"
"LABORATORY EQUIPMENT AND SUPPLIES","Department of the Army",333094.62,"contract"
"LABORATORY EQUIPMENT AND SUPPLIES","National Institutes of Health",226326.39,"contract"
"LABORATORY EQUIPMENT AND SUPPLIES","Agricultural Research Service",158039.36,"contract"
"LABORATORY EQUIPMENT AND SUPPLIES","National Oceanic and Atmospheric Administration",70648.19,"contract"
"LAND TREATMENT PRACTICES","Bureau of Land Management",20000,"contract"
"LAUNDRY AND DRYCLEANING SERVICES","Department of Veterans Affairs",713646.85,"contract"
"LEASE OR RENTAL OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","U.S. Secret Service",9379.08,"contract"
"LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT","Centers for Disease Control and Prevention",75000,"contract"
"LEASE OR RENTAL OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES","Department of Veterans Affairs",60257.5,"contract"
"LEASE OR RENTAL OF EQUIPMENT- RECREATIONAL AND ATHLETIC EQUIPMENT","U.S. Coast Guard",15000,"contract"
"LEASE OR RENTAL OF EQUIPMENT- WEAPONS","U.S. Customs and Border Protection",7500,"contract"
"LEASE-RENT OF AGRICULTURAL SUPPLIES","Federal Emergency Management Agency",2200,"contract"
"LEASE-RENT OF INSTRUMENTS & LAB EQ","Federal Aviation Administration",782105.5,"contract"
"LEASE-RENT OF INSTRUMENTS & LAB EQ","Department of the Air Force",160096,"contract"
"LEASE-RENT OF INSTRUMENTS & LAB EQ","Department of Energy",140526.29,"contract"
"LEASE-RENT OF MISC EQ","Forest Service",94916,"contract"
"LEASE-RENT OF MISC EQ","National Aeronautics and Space Administration",64200,"contract"
"LEASE-RENT OF MISC EQ","Department of the Army",10193.95,"contract"
"LEASE-RENT OF MISC EQ","Department of the Navy",500,"contract"
"LEASE-RENT OF SHIP & MARINE EQ","Department of the Navy",271132,"contract"
"LEASE-RENT OF SHIPS-SML CRAFT-DOCKS","U.S. Geological Survey",42473.04,"contract"
"LEASE/RENTAL OF AMMUNITION FACILITIES","Department of Veterans Affairs",16919.1,"contract"
"LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES","Department of the Navy",63316,"contract"
"LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES","Department of the Army",50810,"contract"
"LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES","Department of the Air Force",32852.5,"contract"
"LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES","Forest Service",28715.26,"contract"
"LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES","National Institutes of Health",25370,"contract"
"LEASE/RENTAL OF ELECTRONIC AND COMMUNICATIONS FACILITIES","Internal Revenue Service",13425.12,"contract"
"LEASE/RENTAL OF HOSPITALS AND INFIRMARIES","Department of Veterans Affairs",3290,"contract"
"LEASE/RENTAL OF LABORATORIES AND CLINICS","Animal and Plant Health Inspection Service",3480,"contract"
"LEASE/RENTAL OF MISCELLANEOUS BUILDINGS","Department of the Air Force",37764.2,"contract"
"LEASE/RENTAL OF MISCELLANEOUS BUILDINGS","Forest Service",36544.76,"contract"
"LEASE/RENTAL OF MISCELLANEOUS BUILDINGS","Department of the Navy",30198.9,"contract"
"LEASE/RENTAL OF MISCELLANEOUS BUILDINGS","Internal Revenue Service",5100,"contract"
"LEASE/RENTAL OF MISCELLANEOUS BUILDINGS","Natural Resources Conservation Service",5000.04,"contract"
"LEASE/RENTAL OF MUSEUMS AND EXHIBITION BUILDINGS","U.S. Citizenship and Immigration Services",1976.5,"contract"
"LEASE/RENTAL OF OPEN STORAGE FACILITIES","Department of the Air Force",4800,"contract"
"LEASE/RENTAL OF OPEN STORAGE FACILITIES","Forest Service",4000,"contract"
"LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","Department of the Air Force",275464,"contract"
"LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","U.S. Secret Service",100000,"contract"
"LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","Department of the Navy",30523.99,"contract"
"LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","Agricultural Research Service",20000,"contract"
"LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","Department of Veterans Affairs",20000,"contract"
"LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES","Drug Enforcement Administration",19224,"contract"
"LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS","Forest Service",343380.75,"contract"
"LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS","Department of the Navy",310018.76,"contract"
"LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS","Department of the Army",156399.69,"contract"
"LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS","Federal Emergency Management Agency",138300,"contract"
"LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS","Office of Assistant Secretary for Preparedness and Response",8082.75,"contract"
"LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES","Drug Enforcement Administration",47408.76,"contract"
"LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES","Federal Prison System / Bureau of Prisons",9600,"contract"
"LEASE/RENTAL OF OTHER RESIDENTIAL BUILDINGS","National Park Service",7585,"contract"
"LEASE/RENTAL OF OTHER WAREHOUSE BUILDINGS","Forest Service",3000,"contract"
"LEASE/RENTAL OF OTHER WAREHOUSE BUILDINGS","National Oceanic and Atmospheric Administration",2525.46,"contract"
