"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Energy","National Nuclear Security Administration",2424,"Naval Reactors, National Nuclear Security Administration, Energy",614274555.5,925825553.6,5801
"Department of Energy","National Nuclear Security Administration",2423,"Federal Salaries and Expenses, National Nuclear Security Administration, Energy",180166973.7,262304562.4,5800
"Department of Energy","National Nuclear Security Administration",2421,"Defense Nuclear Nonproliferation, National Nuclear Security Administration, Energy",685406070.5,1445337913,5798
"Department of Energy","Power Marketing Administration",2420,"Operation and Maintenance, Alaska Power Administration, Power Marketing Administration, Energy",0,300006,5797
"Department of Energy","Power Marketing Administration",2419,"Operation and Maintenance, Southwestern Power Administration, Power Marketing Administration, Energy",15251522.32,191241477.7,5796
"Department of Energy","Power Marketing Administration",2418,"Operation and Maintenance, Southeastern Power Administration, Power Marketing Administration, Energy",40090754.64,56228706.19,5795
"Department of Energy","Environmental and Other Defense Activities",2417,"Defense Environmental Cleanup, Environmental and Other Defense Activities, Energy",2434486362,3599272015,5793
"Department of Energy","Environmental and Other Defense Activities",2415,"Defense Environmental Services, Energy",0,11435.7,5791
"Department of Energy","Environmental and Other Defense Activities",2414,"Defense Nuclear Waste Disposal, Environmental and Other Defense Activities, Energy",150000,2142602.36,5790
"Department of Energy","Environmental and Other Defense Activities",2413,"Other Defense Activities, Environmental and Other Defense Activities, Energy",821931709.1,3021517267,5789
"Department of Energy","Environmental and Other Defense Activities",2412,"Defense Environmental Restoration and Waste Management, Energy",0,0,5788
"Department of Energy","National Nuclear Security Administration",2411,"Weapons Activities, National Nuclear Security Administration, Energy",5101405000,8097521072,5787
"Department of Energy","Departmental Administration",2409,"Expenses, Office of the Inspector General, Energy Programs, Energy",22770889.69,29307750.53,5785
"Department of Energy","Energy Programs",2408,"Clean Coal Technology, Energy Programs, Energy",0,2114877.39,5784
"Department of Energy","Energy Programs",2406,"SPR Petroleum Account, Energy Programs, Energy",1362642.14,21705134.42,5782
"Department of Energy","Departmental Administration",2405,"Departmental Administration, Energy Programs, Energy",93703988.65,350699916.8,5781
"Department of Energy","Energy Programs",2404,"Energy Supply, Energy",0,5847087.66,5779
"Department of Energy","Energy Programs",2403,"Science, Energy Programs, Energy",2181486369,4899905607,5778
"Department of Energy","Energy Programs",2402,"Naval Petroleum and Oil Shale Reserves, Energy Programs, Energy",12104776.5,16011700.35,5777
"Department of Energy","Energy Programs",2401,"Strategic Petroleum Reserve, Energy Programs, Energy",104312000.4,165268432.8,5776
"Department of Energy","Energy Programs",2398,"Energy Conservation, Energy",0,12.11,5773
"Department of Energy","Energy Programs",2396,"Fossil Energy Research and Development, Energy Programs, Energy",152324835.8,920316394,5771
"Department of Energy","Energy Programs",2395,"Salaries and Expenses, Federal Energy Regulatory Commission, Energy",157512817,247628875.8,5770
"Department of Energy","Energy Programs",2394,"Title 17-Innovative Technology Loan Guarantee Program-Recovery Act, Energy Programs, Energy",0,523216221.1,5768
"Department of Energy","Energy Programs",2393,"Title 17 Innovative Technology Loan Guarantee Program, Energy Programs, Energy",11568322.99,209171508.8,5767
"Small Business Administration","Small Business Administration (no sub-agencies)",2069,"Business Assistance Trust Fund, Small Business Administration",105532.77,366927,5388
"Small Business Administration","Small Business Administration (no sub-agencies)",2067,"Surety Bond Guarantees Revolving Fund - Recovery Act, Small Business Administration",6474.69,17550005.68,5386
"Small Business Administration","Small Business Administration (no sub-agencies)",2066,"Surety Bond Guarantees Revolving Fund, Small Business Administration",7005196.74,96885533.82,5385
"Small Business Administration","Small Business Administration (no sub-agencies)",2065,"Business Loan and Investment Fund, Liquidating Account, Small Business Administration",256004.36,5243995.64,5384
"Small Business Administration","Small Business Administration (no sub-agencies)",2064,"Disaster Loan Fund, Liquidating Account, Small Business Administration",61202.48,3138797.52,5383
"Small Business Administration","Small Business Administration (no sub-agencies)",2062,"Business Loans Program Account - Recovery Act, Small Business Administration",5455574,0,5381
"Small Business Administration","Small Business Administration (no sub-agencies)",2061,"Business Loans Program Account, Small Business Administration",195727386.9,73902841.89,5380
"Small Business Administration","Small Business Administration (no sub-agencies)",2060,"Disaster Loans Program Account, Small Business Administration",1196288250,1292721344,5379
"Small Business Administration","Small Business Administration (no sub-agencies)",2059,"Entrepreneurial Development Programs, Small Business Administration",43256211.9,140536020.7,5378
"Small Business Administration","Small Business Administration (no sub-agencies)",2058,"Office of Advocacy, Small Business Administration",4319273.37,2818925.11,5377
"Small Business Administration","Small Business Administration (no sub-agencies)",2057,"Office of Inspector General - Recovery Act, Small Business Administration",0,900862.74,5376
"Small Business Administration","Small Business Administration (no sub-agencies)",2056,"Office of Inspector General, Small Business Administration",9972949.89,20437744.79,5375
"Small Business Administration","Small Business Administration (no sub-agencies)",2055,"Salaries and Expenses, Small Business Administration",523238974.3,870655759.9,5373
"Agency for International Development","Agency for International Development (no sub-agencies)",2054,"Gifts and Donations, Agency for International Development",45920119.91,25714082.1,5372
"Agency for International Development","Agency for International Development (no sub-agencies)",2053,"Technical Assistance, United States Dollars Advanced from Foreign Governments, Agency for International Development",0,1868325,5371
"Agency for International Development","Agency for International Development (no sub-agencies)",2052,"Foreign National Employees Separation Liability Fund, Agency for International Development",188531.47,19263603.28,5370
"Agency for International Development","Agency for International Development (no sub-agencies)",2045,"Loan Guarantees to Israel Program, Reimbursements of Administrative Expenses, Agency for International Development",0,27000,5363
"Agency for International Development","Agency for International Development (no sub-agencies)",2044,"Acquisition of Property Revolving Fund, Agency for International Development",0,46299.08,5362
"Agency for International Development","Agency for International Development (no sub-agencies)",2043,"Working Capital Fund, International Assistance Program",8553429.8,28484101.84,5361
"Agency for International Development","Agency for International Development (no sub-agencies)",2042,"Private Sector Revolving Fund, Liquidating Account, Agency for  International Development",0,37575.11,5360
"Agency for International Development","Agency for International Development (no sub-agencies)",2041,"Housing and Other Credit Guaranty Programs, Liquidating Account, Agency for International Development",2545633.49,14978754.6,5359
"Agency for International Development","Agency for International Development (no sub-agencies)",2040,"Property Management Fund, Agency for International Development",30555.6,28115631.12,5358
"Agency for International Development","Agency for International Development (no sub-agencies)",2039,"Development Loan Fund, Executive",3770109.52,142248165.6,5357
"Agency for International Development","Agency for International Development (no sub-agencies)",2037,"Development Credit Authority, United States Agency for International Development",5853808.52,33108040.5,5355
"Agency for International Development","Agency for International Development (no sub-agencies)",2035,"Child Survival and Health Program Fund, Agency for International Development",79120.11,34142204.13,5353
"Agency for International Development","Agency for International Development (no sub-agencies)",2034,"Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President",250936.71,9974489.77,5352
"Agency for International Development","Agency for International Development (no sub-agencies)",2033,"Sub-Saharan Africa Disaster Assistance, Funds Appropriated to the President",0,81817.6,5351
"Agency for International Development","Agency for International Development (no sub-agencies)",2030,"International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development",599058273.3,5179001323,5348
"Agency for International Development","Agency for International Development (no sub-agencies)",2029,"HIV/AIDS Working Capital Fund, Agency for International Development",277221973.1,325330134.8,5347
"Agency for International Development","Agency for International Development (no sub-agencies)",2027,"Transition Initiatives, Funds Appropriated to the President, US Agency for International Development",15360302.37,96313479.53,5345
"Agency for International Development","Agency for International Development (no sub-agencies)",2026,"Education and Human Resources Development, Development Assistance, Economic Assistance, Funds Appropriated to the President",0,2649022.09,5344
"Agency for International Development","Agency for International Development (no sub-agencies)",2025,"Population Planning and Health, Development Assistance, Economic Assistance, Funds Appropriated to the President",0,272441.82,5343
"Agency for International Development","Agency for International Development (no sub-agencies)",2024,"Food and Nutrition, Development Assistance, Economic Assistance, Funds Appropriated to the President",0,2767500.48,5342
"Agency for International Development","Agency for International Development (no sub-agencies)",2023,"Development Assistance, Agency for International Development, Funds Appropriated to the President",880208224.4,5477907209,5341
"Department of State","Other",2022,"Complex Crises Fund, Funds Appropriated to the President, US Agency for International Development",9101271.46,74584119.45,5340
"Agency for International Development","Agency for International Development (no sub-agencies)",2021,"Sub-Saharan Africa, Development Assistance, Funds Appropriated to the President",0,12607896.67,5339
"Agency for International Development","Agency for International Development (no sub-agencies)",2020,"Sahel Development Program, Funds Appropriated to the President",0,451458.43,5338
"Agency for International Development","Agency for International Development (no sub-agencies)",2019,"Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President",135448.92,4578187.02,5337
"Agency for International Development","Agency for International Development (no sub-agencies)",2018,"Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President",31326891.57,74151725.3,5336
"Agency for International Development","Agency for International Development (no sub-agencies)",2016,"Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President",508659845.1,1165651155,5334
"Agency for International Development","Agency for International Development (no sub-agencies)",2014,"Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account",0,19778.82,5332
"Agency for International Development","Agency for International Development (no sub-agencies)",2013,"Urban and Environmental Credit Program Account, Agency for International Development",0,2154255.07,5331
"Agency for International Development","Agency for International Development (no sub-agencies)",2012,"Private Sector Loans Program Account, Agency for International Development",0,2658998.21,5330
"Agency for International Development","Agency for International Development (no sub-agencies)",2011,"Assistance for Europe, Eurasia, and Central Asia, Funds Appropriated to the President, US Agency for International Development",218365876.2,1480136027,5329
"Agency for International Development","Agency for International Development (no sub-agencies)",2010,"Civilian Stabilization Initiative, Funds Appropriated to the President, Agency for International Development",282657.46,1647851.41,5328
"Agency for International Development","Agency for International Development (no sub-agencies)",2007,"Capital Investment Fund of the United States Agency for International Development, Funds Appropriated to the President",4912571.72,211087511.1,5324
"Department of Homeland Security","U.S. Customs and Border Protection",2001,"Refunds, Transfers and Expenses, Abandoned and Seized Goods, USCS, Homeland Security",529778.95,2685379.06,5318
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",2000,"Violent Crime Reduction Program, Immigration Services, Homeland Security",0,0.16,5317
"Department of Homeland Security","United States Coast Guard",1998,"General Gift Fund, USCG, Homeland Security",756418.43,2437775.5,5315
"Department of Homeland Security","U.S. Customs and Border Protection",1997,"Customs and Border Protection, Violent Crime Reduction Trust Fund, USCS, Homeland Security",0,0.56,5314
"Department of Homeland Security","United States Coast Guard",1994,"Oil Spill Recovery, USCG, Homeland Security",17132500.74,234953902.9,5311
"Department of Homeland Security","United States Coast Guard",1992,"Payment of Claims (Oil Spill Liability Trust Fund), Homeland Security",9859148.92,0,5309
"Department of Homeland Security","Office of the Secretary and Executive Management",1991,"Gifts and Donations, Department Management, Homeland Security",0,3256866.94,5308
"Department of Homeland Security","United States Coast Guard",1990,"Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security",48679.52,0,5307
"Department of Homeland Security","United States Coast Guard",1989,"Boat Safety, USCG, Homeland Security",106627585.3,15710515.62,5306
"Department of Homeland Security","United States Coast Guard",1988,"Sport Fish Restoration and Boating Trust Fund, Homeland Security",0,0,5305
"Department of Homeland Security","U.S. Customs and Border Protection",1973,"9-11 Response and Biometric Exit Account, U.S. Customs and Border Protection, Homeland Security",20080870.41,116742890.5,5290
"Department of Homeland Security","Federal Emergency Management Agency",1972,"National Flood Insurance Reserve Fund, Homeland Security",730607850,989223397.3,5289
"Department of Homeland Security","U.S. Customs and Border Protection",1971,"Customs and Border Protection, Customs User Fees Account, USCS, Homeland Security",311591112.7,809106397.1,5288
"Department of Homeland Security","U.S. Customs and Border Protection",1970,"Customs and Border Protection Services at User Fee Facilities, U.S. Customs and Border Protection, Homeland Security",13008613.14,18945773.23,5287
"Department of Homeland Security","U.S. Customs and Border Protection",1969,"Customs and Border Protection, Transfer and Expenses of Operation, Puerto Rico, USCS, Homeland Security",19918484.91,87400558.02,5286
"Department of Homeland Security","U.S. Customs and Border Protection",1967,"Electronic System for Travel Authorization, U.S. Customs and Border Protection, Homeland Security",26169267.79,261716470.6,5284
"Department of Homeland Security","U.S. Customs and Border Protection",1966,"APEC Business Travel Card Account, Customs and Border Protection, Homeland Security",0,4297144,5283
"Department of Homeland Security","Transportation Security Administration",1965,"Airport Checkpoint Screening Fund, Transportation Security Administration, Homeland Security",93948,530752.25,5282
"Department of Homeland Security","U.S. Customs and Border Protection",1964,"International Registered Traveler Program Fund, U.S. Customs and Border Protection, Homeland Security",38264728.63,275170756.2,5281
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1963,"Detention and Removal Operations, U.S. Immigration and Customs Enforcement, Homeland Security",832.12,1934444.14,5280
"Department of Homeland Security","U.S. Customs and Border Protection",1961,"Immigration Enforcement Account, Border and Transportation Security, Homeland Security",0,1655987.31,5278
"Department of Homeland Security","Transportation Security Administration",1959,"Unclaimed Checkpoint Money, Transportation Security Administration, Homeland Security",0,2174399.47,5276
"Department of Homeland Security","Citizenship and Immigration Services",1958,"H-1B and L Fraud Prevention and Detection Account, Citizenship and Immigration Services, Homeland Security",13794741.51,74014317.24,5275
"Department of Homeland Security","Transportation Security Administration",1957,"Aviation Security Capital Fund, Transportation Security Administration, Homeland Security",17677978.97,578437512.1,5274
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1956,"Immigration User Fee Account, BICE, Homeland Security",80462210.61,151813248.6,5273
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1955,"Student and Exchange Visitor Program, Border and Transportation Security, Homeland Security",74468623.12,207806904,5272
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1954,"Breach Bond/Detention Fund, Border and Transportation Security, Homeland Security",20568601.01,48945388.72,5271
"Department of Homeland Security","Citizenship and Immigration Services",1953,"Immigration Services, H-1 B Funded, Homeland Security",10090000,28387665.61,5270
"Department of Homeland Security","U.S. Customs and Border Protection",1952,"Customs and Border Protection, Land Border Inspection Fees, Border and Transportation Security, Homeland Security",24681025,37120889.81,5269
"Department of Homeland Security","Citizenship and Immigration Services",1951,"Immigration Examination Fees, Immigration Services, Homeland Security",2011517039,3274527183,5268
"Department of Homeland Security","U.S. Customs and Border Protection",1950,"Customs and Border Protection, Immigration User Fees, Border and Transportation Security, Homeland Security",361946009.4,548931012.1,5267
"Department of Homeland Security","United States Coast Guard",1949,"Yard Fund, USCG, Homeland Security",65353225.55,164561709.2,5266
"Department of Homeland Security","Office of the Under Secretary for Management",1947,"Working Capital Fund Departmental Management, Homeland Security",200237900.5,415255649.6,5264
"Department of Homeland Security","United States Coast Guard",1946,"Supply Fund, USCG, Homeland Security",31103049.7,133106417.3,5263
"Department of Homeland Security","U.S. Customs and Border Protection",1945,"Enhanced Inspectional Services, U.S. Customs and Border Protection, Homeland Security",8684258.68,10115741.32,5262
"Department of Homeland Security","National Protection and Programs Directorate",1943,"Operating Expenses, Information Analysis and Infrastructure Protection, Homeland Security",0,508800.84,5259
"Department of Homeland Security","Domestic Nuclear Detection Office",1942,"Procurement, Construction, and Improvements, Domestic Nuclear Detection Office,  Homeland Security",42010051.95,60331235.25,5258
"Department of Homeland Security","Domestic Nuclear Detection Office",1941,"Operations and Support, Domestic Nuclear Detection Office, Homeland Security",89810026.12,11515499.26,5257
"Department of Homeland Security","Domestic Nuclear Detection Office",1940,"Research and Development, Domestic Nuclear Detection Office, Homeland Security",32429226.69,83407867.12,5256
"Department of Homeland Security","Science and Technology",1939,"Management and Administration, Science and Technology, Homeland Security",73.44,3436464.19,5255
"Department of Homeland Security","National Protection and Programs Directorate",1938,"Research and Development, National Protection and Programs Directorate, Homeland Security",860859.32,2218144.99,5254
"Department of Homeland Security","Science and Technology",1936,"Research and Development, Science and Technology, Homeland Security",114991220.6,329681493.7,5252
"Department of Homeland Security","Office of the Under Secretary for Management",1934,"Research and Development, Departmental Management and Operations, Homeland Security",380629.36,1301581.68,5250
"Department of Homeland Security","Science and Technology",1933,"Operations and Support, Science and Technology, Homeland Security",136300167.5,274624107.3,5249
"Department of Homeland Security","Federal Emergency Management Agency",1931,"Emergency Management Performance Grants, Federal Emergency Management Agency, Homeland Security",111640,17927973.83,5247
"Department of Homeland Security","Federal Emergency Management Agency",1929,"National Predisaster Mitigation Fund, Federal Emergency Management Agency, Homeland Security",8430704.05,93870914.8,5245
"Department of Homeland Security","Federal Emergency Management Agency",1928,"Radiological Emergency Preparedness Program, Federal Emergency Management Agency, Homeland Security",14691341.04,69014850.37,5244
"Department of Homeland Security","National Protection and Programs Directorate",1927,"Biodefense Countermeasures, National Protection and Programs Directorate, Homeland Security",0,13167.4,5243
"Department of Homeland Security","Federal Emergency Management Agency",1926,"Administrative and Regional Operations, Emergency Preparedness and Response, Homeland Security",0,1672.31,5242
"Department of Homeland Security","Federal Emergency Management Agency",1925,"Preparedness, Mitigation, Response, and Recovery, Federal Emergency Management Agency, Homeland Security",0,81048.14,5241
"Department of Homeland Security","Federal Emergency Management Agency",1924,"Emergency Food and Shelter, Federal Emergency Management Agency, Homeland Security",0,1000000.07,5239
"Department of Homeland Security","Federal Emergency Management Agency",1923,"Disaster Assistance Direct Loan Program Account, Federal Emergency Management Agency, Homeland Security",170519016,5040120924,5238
"Department of Homeland Security","Federal Emergency Management Agency",1922,"Disaster Relief, Federal Emergency Management Agency, Homeland Security",18035152688,30670461087,5237
"Department of Homeland Security","Federal Emergency Management Agency",1921,"Grant Programs, Emergency Preparedness and Response, Homeland Security",0,0.05,5236
"Department of Homeland Security","Federal Emergency Management Agency",1920,"Operations and Support, Federal Emergency Management Agency, Homeland Security",387158187.1,326908989.8,5235
"Department of Homeland Security","United States Coast Guard",1919,"Medicare-Eligible Retiree Health Fund Contribution, United States Coast Guard, Homeland Security",204135830,0,5232
"Department of Homeland Security","United States Coast Guard",1918,"Research, Development, Test, and Evaluation, Coast Guard, Homeland Security",8836558.85,46123497.26,5231
"Department of Homeland Security","United States Coast Guard",1917,"Alteration of Bridges, Coast Guard, Homeland Security",0,14617838.96,5230
"Department of Homeland Security","United States Coast Guard",1916,"Acquisition, Construction, and Improvements, Coast Guard, Homeland Security",305572945.8,2575770734,5229
"Department of Homeland Security","United States Coast Guard",1915,"Reserve Training, Coast Guard, Homeland Security",46103342.42,20234314.13,5228
"Department of Homeland Security","United States Coast Guard",1914,"Environmental Complaince and Restoration, Coast Guard, Homeland Security",4982964.17,33228519.24,5227
"Department of Homeland Security","United States Coast Guard",1913,"Operating Expenses, Coast Guard, Homeland Security",3508768787,1288594042,5226
"Department of Homeland Security","United States Coast Guard",1912,"Retired Pay, Coast Guard, Homeland Security",852592132.6,202818155.5,5225
"Department of Homeland Security","National Protection and Programs Directorate",1911,"Operations and Support, National Protection and Programs Directorate, Homeland Security",519227359.8,241604458.3,5223
"Department of Homeland Security","National Protection and Programs Directorate",1910,"Infrastructure Protection and Information Security, National Protection and Programs Directorate, Homeland Security",56077.99,40547187.55,5222
"Department of Homeland Security","Federal Emergency Management Agency",1909,"United States Fire Administration, Federal Emergency Management Agency, Homeland Security",41268.11,5297480.04,5221
"Department of Homeland Security","Federal Emergency Management Agency",1908,"Firefighter Assistance Grants, Federal Emergency Management Agency, Homeland Security",0,82832265.84,5219
"Department of Homeland Security","Federal Emergency Management Agency",1907,"State and Local Programs, Federal Emergency Management Agency, Homeland Security",613034.37,88653323.07,5218
"Department of Homeland Security","Transportation Security Administration",1906,"Intelligence and Vetting , Transportation Security Administration, Homeland Security",302676.94,32331860.07,5217
"Department of Homeland Security","Transportation Security Administration",1905,"Transportation Security Support, Transportation Security Administration, Homeland Security",28846.93,49009624.73,5215
"Department of Homeland Security","Transportation Security Administration",1904,"Research and Development, Transportation Security Administration, Border and Transportation Security, Homeland Security",0,243849.41,5214
"Department of Homeland Security","Transportation Security Administration",1903,"Surface Transportation Security, Transportation Security Administration, Homeland Security",4024.49,8649254.2,5213
"Department of Homeland Security","Transportation Security Administration",1902,"Operations and Support, Transportation Security Administration, Homeland Security",3172927882,5020459378,5212
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1901,"Procurement, Construction, and Improvements, U.S. Immigration and Customs Enforcement, Homeland Security",3656398.95,31206691.93,5210
"Department of Homeland Security","U.S. Customs and Border Protection",1900,"Air and Marine Operations, U.S. Customs and Border Protection, Homeland Security",794512.5,74905171.07,5209
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",1899,"Automation Modernization, U.S. Immigration and Customs Enforcement, Homeland Security",570714.64,6082911.5,5208
"Department of Homeland Security","National Protection and Programs Directorate",1898,"Federal Protective Service, National Protection and Programs Directorate, Homeland Security",965950454.8,679378809.9,5207
