"source","target","value"
"Regional Development, Commerce, and Housing","Refunds",3890065.3
"Veterans Benefits and Services","Other",3597866.91999999
"Agriculture","Interest and Dividends",2959135.16
"Medicare","Refunds",2482566.58
"Natural Resources and Environment","Interest and Dividends",2394060.53
"Education, Training, Employment, and Social Services","Interest and Dividends",1843452.31
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",1003999.62
"Medicare","Travel and Transportation",830903.41
"Health","Interest and Dividends",743877.46
"Net Interest","Advisory, R&D, Medical, and Other Contracts",481513
"Medicare","Acquisition of Assets",384879.31
"Medicare","Printing and Supplies",341757.79
"Administration of Justice","Interest and Dividends",188814.08
"Veterans Benefits and Services","Interest and Dividends",101675.5
"International Affairs","Interest and Dividends",57274.75
"Agriculture","Refunds",51560.82
"National Defense","Refunds",5704.35
"Social Security","Interest and Dividends",675.77
"Medicare","Interest and Dividends",87
"Education, Training, Employment, and Social Services","Refunds",0
"National Defense","Interest and Dividends",0
"Natural Resources and Environment","Refunds",-44815360.45
"Regional Development, Commerce, and Housing","Interest and Dividends",-156899829.63
"Energy, Science, Space, and Technology","Other",-273876062.35
"International Affairs","Other",-341556563.31
"General Government","Other",-491446410.03
"General Government","Travel and Transportation",-823090598.54
"Regional Development, Commerce, and Housing","Other",-2643315150.05
"Health","Other",-2933761303.15
"Natural Resources and Environment","Other",-29782675211.08
"Agriculture","Other",-99118077931.4
"Income Security","Other",-224263329003.62
