"Agency","Subagency","Title","federal_account_code","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Agriculture","Foreign Agricultural Service","Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture","012-8505","1","2019","2018-12-31",0,90940.38
"Department of Agriculture","Foreign Agricultural Service","McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture","012-2903","1","2019","2018-12-31",818664.39,127547364.49
"Department of Agriculture","Foreign Agricultural Service","Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture","012-8232","1","2019","2018-12-31",0,2407876.21
"Department of Agriculture","Foreign Agricultural Service","Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture","012-2277","1","2019","2018-12-31",33480,1749003.02
"Department of Agriculture","Foreign Agricultural Service","Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture","012-2274","1","2019","2018-12-31",0,216000000
"Department of Agriculture","Foreign Agricultural Service","Salaries and Expenses, Foreign Agricultural Service, Agriculture","012-2900","1","2019","2018-12-31",51054507.17,408387011.63
"Department of Agriculture","Forest Service","Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture","012-5208","1","2019","2018-12-31",4035.66,931001.57
"Department of Agriculture","Forest Service","Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture","012-5216","1","2019","2018-12-31",453851.64,23087941.46
"Department of Agriculture","Forest Service","Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture","012-5361","1","2019","2018-12-31",916948.6,31044943.52
"Department of Agriculture","Forest Service","Capital Improvement and Maintenance, Forest Service, Agriculture","012-1103","1","2019","2018-12-31",68924484.79,202003776.34
"Department of Agriculture","Forest Service","Cooperative Work, Forest Service,  Agriculture","012-8028","1","2019","2018-12-31",8231298.88,134901389.54
"Department of Agriculture","Forest Service","Donations for Forest and Rangeland Research, Forest Service, Agriculture","012-8034","1","2019","2018-12-31",0,118640.64
"Department of Agriculture","Forest Service","Expenses, Brush Disposal, Forest Service,  Agriculture","012-5206","1","2019","2018-12-31",1189521.07,15956318.87
"Department of Agriculture","Forest Service","Forest and Rangeland Research, Forest Service, Agriculture","012-1104","1","2019","2018-12-31",57985539.45,71054459.63
"Department of Agriculture","Forest Service","Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture","012-5462","1","2019","2018-12-31",0,335550.52
"Department of Agriculture","Forest Service","Land Acquisition, Forest Service, Agriculture","012-5004","1","2019","2018-12-31",2763881.34,30191318.37
"Department of Agriculture","Forest Service","Land Between the Lakes Management Fund, Forest Service,  Agriculture","012-5360","1","2019","2018-12-31",1040104.03,4932525.08
"Department of Agriculture","Forest Service","Land Between the Lakes Trust Fund, Forest Service,  Agriculture","012-8039","1","2019","2018-12-31",57500,5909556.03
"Department of Agriculture","Forest Service","Licensee Programs, Forest Service, Agriculture","012-5214","1","2019","2018-12-31",49336.25,2445458.81
"Department of Agriculture","Forest Service","Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture","012-1119","1","2019","2018-12-31",343254.76,338503.95
"Department of Agriculture","Forest Service","Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture","012-5278","1","2019","2018-12-31",0,0.6
"Department of Agriculture","Forest Service","MNP Rental Fee Account, Forest Service, Agriculture","012-5277","1","2019","2018-12-31",87202.93,2833467.7
"Department of Agriculture","Forest Service","National Forest System, Forest Service, Agriculture","012-1106","1","2019","2018-12-31",356460260.1,427176356.43
"Department of Agriculture","Forest Service","Operation and Maintenance of Quarters, Forest Service, Agriculture","012-5219","1","2019","2018-12-31",369354.02,10748868.46
"Department of Agriculture","Forest Service","Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture","012-5213","1","2019","2018-12-31",0,6150000
"Department of Agriculture","Forest Service","Payments to Counties, National Grasslands, Forest Service,  Agriculture","012-5896","1","2019","2018-12-31",0,35065307
"Department of Agriculture","Forest Service","Payments to States, National Forests Fund,  Forest Service, Agriculture","012-5201","1","2019","2018-12-31",210892.07,32093321.02
"Department of Agriculture","Forest Service","Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture","012-1117","1","2019","2018-12-31",0,4395861.98
"Department of Agriculture","Forest Service","Quinault Special Management Area, Forest Service, Agriculture","012-5223","1","2019","2018-12-31",0,18998.89
"Department of Agriculture","Forest Service","Range Betterment Fund, Forest Service, Agriculture","012-5207","1","2019","2018-12-31",147718.7,2202591.81
"Department of Agriculture","Forest Service","Recreation Fee Demonstration Program, Forest Service,  Agriculture","012-5268","1","2019","2018-12-31",13099936.53,133532590.99
"Department of Agriculture","Forest Service","Reforestation Trust Fund, Forest Service, Agriculture","012-8046","1","2019","2018-12-31",1540955.13,36943244.99
"Department of Agriculture","Forest Service","Resource Management Timber Receipts, Forest Service, Agriculture","012-5220","1","2019","2018-12-31",0,10161.06
"Department of Agriculture","Forest Service","Restoration of Forest Lands and Improvements, Forest Service, Agriculture","012-5215","1","2019","2018-12-31",16126402.72,29645729.15
"Department of Agriculture","Forest Service","Roads and Trails for States, National Forests Fund, Forest Service, Agriculture","012-5203","1","2019","2018-12-31",0,51848.94
"Department of Agriculture","Forest Service","State and Private Forestry, Forest Service,  Agriculture","012-5367","1","2019","2018-12-31",726794.01,2921220.95
"Department of Agriculture","Forest Service","State and Private Forestry, Forest Service, Agriculture","012-1105","1","2019","2018-12-31",29771917.63,219732246.32
"Department of Agriculture","Forest Service","Stewardship Contracting Product Sales, Forest Service, Agriculture","012-5540","1","2019","2018-12-31",1204512.16,36553443.71
"Department of Agriculture","Forest Service","Timber Roads, Purchaser Elections, Forest Service, Agriculture","012-5202","1","2019","2018-12-31",143479.76,2249940.56
"Department of Agriculture","Forest Service","Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture","012-5264","1","2019","2018-12-31",299827.98,14513800.28
"Department of Agriculture","Forest Service","Timber Salvage Sales, Forest Service,  Agriculture","012-5204","1","2019","2018-12-31",3584518.62,57879317.17
"Department of Agriculture","Forest Service","Wildland Fire Management, Forest Service, Agriculture","012-1115","1","2019","2018-12-31",600251435.04,625100038.92
"Department of Agriculture","Forest Service","Working Capital Fund, Forest Service,  Agriculture","012-4605","1","2019","2018-12-31",91899957.14,412381451.65
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture","012-4050","1","2019","2018-12-31",11743217.45,74137209.94
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture","012-2400","1","2019","2018-12-31",21813.76,4176105.5
"Department of Agriculture","Hazardous Materials Management","Hazardous Materials Management, Agriculture","012-0500","1","2019","2018-12-31",483996.97,1502104.75
"Department of Agriculture","National Agricultural Statistics Service","Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture","012-8218","1","2019","2018-12-31",454.6,55400
"Department of Agriculture","National Agricultural Statistics Service","National Agricultural Statistics Service, Agriculture","012-1801","1","2019","2018-12-31",33576931.04,35875415.96
"Department of Agriculture","National Institute of Food and Agriculture","Biomass Research and Development, National Institute of Food and Agriculture, Agriculture","012-1003","1","2019","2018-12-31",1717612.68,1967092.9
"Department of Agriculture","National Institute of Food and Agriculture","Buildings and Facilities, National Institute of Food and Agriculture, Agriculture","012-1501","1","2019","2018-12-31",0,538386.36
"Department of Agriculture","National Institute of Food and Agriculture","Extension Activities, National Institute of Food and Agriculture, Agriculture","012-0502","1","2019","2018-12-31",5824787.45,241674987.87
"Department of Agriculture","National Institute of Food and Agriculture","Integrated Activities, National Institute of Food and Agriculture, Agriculture","012-1502","1","2019","2018-12-31",5650442.66,35594870.95
"Department of Agriculture","National Institute of Food and Agriculture","Native American Institutions Endowment Fund, Agriculture","012-5205","1","2019","2018-12-31",2537816,6034430.21
"Department of Agriculture","National Institute of Food and Agriculture","Research and Education Activities, National Institute of Food and Agriculture, Agriculture","012-1500","1","2019","2018-12-31",67162962.25,808354515.19
"Department of Agriculture","Natural Resources Conservation Service","Conservation Operations, Natural Resources Conservation Service, Agriculture","012-1000","1","2019","2018-12-31",156966404.89,482700197.02
"Department of Agriculture","Natural Resources Conservation Service","Damage Assessment and Restoration Revolving Fund, Agriculture","012-4368","1","2019","2018-12-31",51313.81,3047859.72
"Department of Agriculture","Natural Resources Conservation Service","Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture","012-1004","1","2019","2018-12-31",243576667.21,6611856553.03
"Department of Agriculture","Natural Resources Conservation Service","Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture","012-1090","1","2019","2018-12-31",0,93
"Department of Agriculture","Natural Resources Conservation Service","Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture","012-8210","1","2019","2018-12-31",0,312244.36
"Department of Agriculture","Natural Resources Conservation Service","Resource Conservation and Development, Natural Resources Conservation Services, Agriculture","012-1010","1","2019","2018-12-31",0,72428.93
"Department of Agriculture","Natural Resources Conservation Service","Water Bank Program, Natural Resources Conservation Service, Agriculture","012-3320","1","2019","2018-12-31",27806.27,403841.78
"Department of Agriculture","Natural Resources Conservation Service","Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture","012-1072","1","2019","2018-12-31",15059177.07,981725797.48
"Department of Agriculture","Natural Resources Conservation Service","Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture","012-1002","1","2019","2018-12-31",1766657.88,91436047.51
"Department of Agriculture","Natural Resources Conservation Service","Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture","012-3322","1","2019","2018-12-31",0,48493.67
"Department of Agriculture","Office of Chief Financial Officer","Expenses, Office of the Chief Financial Officer, Agriculture","012-0014","1","2019","2018-12-31",1204322.15,1933176.76
"Department of Agriculture","Office of Chief Information Officer","Expenses, Office of the Chief Information Officer, Agriculture","012-0013","1","2019","2018-12-31",6460352.25,21900359.25
"Department of Agriculture","Office of Civil Rights","Office of Civil Rights, Agriculture","012-3800","1","2019","2018-12-31",6713680.28,11566406.75
"Department of Agriculture","Office of Inspector General","Inspector General Assets Forfeiture, Justice","012-5410","1","2019","2018-12-31",480987.01,7768600.31
"Department of Agriculture","Office of Inspector General","Inspector General Assets Forfeiture, Treasury","012-5411","1","2019","2018-12-31",76851.57,4582284.62
"Department of Agriculture","Office of Inspector General","Office of the Inspector General, Agriculture","012-0900","1","2019","2018-12-31",20331787.09,38535317.04
"Department of Agriculture","Office of the General Counsel","Office of Ethics, Agriculture","012-0136","1","2019","2018-12-31",746098.41,2678214.45
"Department of Agriculture","Office of the General Counsel","Office of the General Counsel, Agriculture","012-2300","1","2019","2018-12-31",9636844.53,9011905.05
"Department of Agriculture","Office of the Secretary","Gifts and Bequests, Agriculture","012-8203","1","2019","2018-12-31",81546.53,5985394.32
"Department of Agriculture","Office of the Secretary","Office of Codex Alimentarius, Office of the Secretary, Agriculture","012-0177","1","2019","2018-12-31",443881.17,1135055.12
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Civil Rights, Agriculture","012-0130","1","2019","2018-12-31",168785.44,578138.95
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Natural Resources and Environment, Agriculture","012-0128","1","2019","2018-12-31",114216.18,484998.65
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture","012-0126","1","2019","2018-12-31",278735.37,367510.54
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food Safety, Agriculture","012-3701","1","2019","2018-12-31",40383.34,687483.54
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture","012-0129","1","2019","2018-12-31",78671.06,700619.26
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture","012-0125","1","2019","2018-12-31",171279.04,423934.91
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Research, Education and Economics, Agriculture","012-0124","1","2019","2018-12-31",452981.04,1074686.66
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Rural Development, Agriculture","012-0127","1","2019","2018-12-31",0,140820.02
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Trade and Foreign Agricultural Affairs, Office of the Secretary, Agriculture","012-0176","1","2019","2018-12-31",173904.44,263133.05
"Department of Agriculture","Office of the Secretary","Outreach for Socially Disadvantaged Farmers, National Institute of Food and Agriculture, Agriculture","012-0601","1","2019","2018-12-31",0,1014271.79
"Department of Agriculture","Office of the Secretary","Production, Processing and Marketing, Office of the Secretary, Agriculture","012-0115","1","2019","2018-12-31",104963853.03,1926737570.3
"Department of Agriculture","Risk Management Agency","Administrative and Operating Expenses, Office of Risk Management, Agriculture","012-2707","1","2019","2018-12-31",13117228.69,26630680.68
"Department of Agriculture","Risk Management Agency","Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture","012-4085","1","2019","2018-12-31",2504938199.37,12883107445.13
"Department of Agriculture","Rural Business - Cooperative Service","Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture","012-4144","1","2019","2018-12-31",0,1065703.96
"Department of Agriculture","Rural Business - Cooperative Service","Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture","012-3106","1","2019","2018-12-31",0,279756525.13
"Department of Agriculture","Rural Business - Cooperative Service","Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture","012-2073","1","2019","2018-12-31",0,12375680.09
"Department of Agriculture","Rural Business - Cooperative Service","Intermediary Relending Program Fund Account, Rural Business-Cooperative Service, Agriculture","012-2069","1","2019","2018-12-31",1003959.6,9672065.15
"Department of Agriculture","Rural Business - Cooperative Service","Renewable Energy Program, Rural Business-Cooperative Service, Agriculture","012-1908","1","2019","2018-12-31",1210221,66548000.59
"Department of Agriculture","Rural Business - Cooperative Service","Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service","012-1902","1","2019","2018-12-31",7569405.82,35206610.97
