"Agency","Subagency","Title","federal_account_code","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Agriculture","Economic Research Service","Miscellaneous Contributed Funds, Economic Research Service, Agriculture","012-8227","1","2018","2017-12-31",0,1080.46
"Department of Agriculture","Executive Operations","Expenses, Common Computing Environment, Agriculture","012-0113","1","2018","2017-12-31",0,35128.15
"Department of Agriculture","Executive Operations","National Appeals Division, Executive Operations, Agriculture","012-0706","1","2018","2017-12-31",2939538.07,2395213.11
"Department of Agriculture","Executive Operations","Office of Budget and Program Analysis, Executive Operations, Agriculture","012-0503","1","2018","2017-12-31",2036213.87,5194826.01
"Department of Agriculture","Executive Operations","Office of the Chief Economist, Executive Operations, Agriculture","012-0123","1","2018","2017-12-31",2502893.55,6756599.41
"Department of Agriculture","Executive Operations","Working Capital Fund, Agriculture","012-4609","1","2018","2017-12-31",9105714.22,15246420.31
"Department of Agriculture","Farm Production and Conservation Programs","Farm Production and Conservation Business Center, Farm Production and Conservation Programs,  Agriculture","012-0180","1","2018","2017-12-31",0,1028000
"Department of Agriculture","Farm Service Agency","Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture","012-1140","1","2018","2017-12-31",105532006.35,37445394.04
"Department of Agriculture","Farm Service Agency","Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture","012-4140","1","2018","2017-12-31",465455.24,8080907.81
"Department of Agriculture","Farm Service Agency","Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture","012-5531","1","2018","2017-12-31",0,15318274.64
"Department of Agriculture","Farm Service Agency","Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture","012-5636","1","2018","2017-12-31",67066.81,43799675.05
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture","012-4338","1","2018","2017-12-31",183315.46,2406430.65
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture","012-1336","1","2018","2017-12-31",4895812.14,8702958.41
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Fund, Agriculture","012-4336","1","2018","2017-12-31",6552518817.07,24192672254.87
"Department of Agriculture","Farm Service Agency","Conservation Reserve Program, Farm Service Agency, Agriculture","012-3319","1","2018","2017-12-31",9584283812.99,29185775091.84
"Department of Agriculture","Farm Service Agency","Dairy Indemnity Program, Farm Service Agency, Agriculture","012-3314","1","2018","2017-12-31",67861.4,401784.84
"Department of Agriculture","Farm Service Agency","Discrimination Claims Settlement, Farm Service Agency, Agriculture","012-1144","1","2018","2017-12-31",0,27789687.92
"Department of Agriculture","Farm Service Agency","Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture","012-3303","1","2018","2017-12-31",0,27789687.92
"Department of Agriculture","Farm Service Agency","Emergency Conservation Program, Farm Service Agency, Agriculture","012-3316","1","2018","2017-12-31",48712874.98,204560056.06
"Department of Agriculture","Farm Service Agency","Emergency Forest Restoration Program, Farm Service Agency, Agriculture","012-0171","1","2018","2017-12-31",630788.19,60283940.09
"Department of Agriculture","Farm Service Agency","Farm Storage Facility Loans Program Accounts, Farm Service Agency, Agriculture","012-3301","1","2018","2017-12-31",0,10539886
"Department of Agriculture","Farm Service Agency","Grassroots Source Water Protection Program, Farm Service Agency, Agriculture","012-3304","1","2018","2017-12-31",0,1220157
"Department of Agriculture","Farm Service Agency","Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture","012-5635","1","2018","2017-12-31",1410.76,14942591.46
"Department of Agriculture","Farm Service Agency","Reforestation Pilot Program, Farm Service Agency, Agriculture","012-3305","1","2018","2017-12-31",0,112630
"Department of Agriculture","Farm Service Agency","Reimbursement for Net Realized Losses, Commodity Credit Corporation","012-3674","1","2018","2017-12-31",600000,0
"Department of Agriculture","Farm Service Agency","Repayable Advances to Agricultural Disaster Relief Fund, Farm Service Agency, Agriculture","012-1143","1","2018","2017-12-31",0,0
"Department of Agriculture","Farm Service Agency","Salaries and Expenses, Farm Service Agency, Agriculture","012-0600","1","2018","2017-12-31",166442841.6,141962084.19
"Department of Agriculture","Farm Service Agency","State Mediation Grants, Farm Service Agency, Agriculture","012-0170","1","2018","2017-12-31",684908.27,752589.26
"Department of Agriculture","Farm Service Agency","Tobacco Trust Fund, Commodity Credit Corporation, Agriculture","012-8161","1","2018","2017-12-31",48296.29,169099786.91
"Department of Agriculture","Farm Service Agency","USDA Disaster Assistance, Farm Service Agency, Agriculture","012-2701","1","2018","2017-12-31",39.48,4495808.99
"Department of Agriculture","Food and Nutrition Service","Child Nutrition Programs, Food Nutrition Service, Agriculture","012-3539","1","2018","2017-12-31",6295781171.72,10419721690.17
"Department of Agriculture","Food and Nutrition Service","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","1","2018","2017-12-31",68242294.87,101408101.77
"Department of Agriculture","Food and Nutrition Service","Nutrition Programs Administration, Food and Nutrition Service, Agriculture","012-3508","1","2018","2017-12-31",29980258.77,39570611.16
"Department of Agriculture","Food and Nutrition Service","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service","012-3510","1","2018","2017-12-31",2019092393.11,2039429817.83
"Department of Agriculture","Food and Nutrition Service","Supplemental Nutrition Assistance Program - Recovery Act, Food and Nutrition Service, Agriculture","012-3542","1","2018","2017-12-31",4327.55,758673425.45
"Department of Agriculture","Food and Nutrition Service","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","1","2018","2017-12-31",20169247749.75,28707689537.57
"Department of Agriculture","Food Safety and Inspection Service","Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture","012-8137","1","2018","2017-12-31",2747538.18,6161824.28
"Department of Agriculture","Food Safety and Inspection Service","Food Safety and Inspection Service, Agriculture","012-3700","1","2018","2017-12-31",284610636.74,123493541.68
"Department of Agriculture","Foreign Agricultural Service","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","012-2278","1","2018","2017-12-31",193234027.97,626099247.04
"Department of Agriculture","Foreign Agricultural Service","Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture","012-8505","1","2018","2017-12-31",47227.53,34954.76
"Department of Agriculture","Foreign Agricultural Service","McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture","012-2903","1","2018","2017-12-31",1039950.12,77216075.25
"Department of Agriculture","Foreign Agricultural Service","Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture","012-8232","1","2018","2017-12-31",0,1267975.79
"Department of Agriculture","Foreign Agricultural Service","Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture","012-2277","1","2018","2017-12-31",45003,1749003.02
"Department of Agriculture","Foreign Agricultural Service","Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture","012-2274","1","2018","2017-12-31",0,227000000
"Department of Agriculture","Foreign Agricultural Service","Salaries and Expenses, Foreign Agricultural Service, Agriculture","012-2900","1","2018","2017-12-31",59294976.65,251475150.56
"Department of Agriculture","Forest Service","Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture","012-5208","1","2018","2017-12-31",0,1093788.25
"Department of Agriculture","Forest Service","Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture","012-5216","1","2018","2017-12-31",65411.31,29030922.34
"Department of Agriculture","Forest Service","Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture","012-5361","1","2018","2017-12-31",1287712.86,27387999.04
"Department of Agriculture","Forest Service","Capital Improvement and Maintenance, Forest Service, Agriculture","012-1103","1","2018","2017-12-31",70839917.5,84751367.77
"Department of Agriculture","Forest Service","Cooperative Work, Forest Service,  Agriculture","012-8028","1","2018","2017-12-31",9166852.62,233872550.37
"Department of Agriculture","Forest Service","Donations for Forest and Rangeland Research, Forest Service, Agriculture","012-8034","1","2018","2017-12-31",0,124924.85
"Department of Agriculture","Forest Service","Expenses, Brush Disposal, Forest Service,  Agriculture","012-5206","1","2018","2017-12-31",996803.47,14678938.87
"Department of Agriculture","Forest Service","Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture","012-1120","1","2018","2017-12-31",0,342000000
"Department of Agriculture","Forest Service","Forest and Rangeland Research, Forest Service, Agriculture","012-1104","1","2018","2017-12-31",63715707.63,52821588.83
"Department of Agriculture","Forest Service","Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture","012-5462","1","2018","2017-12-31",0,335550.52
"Department of Agriculture","Forest Service","Land Acquisition, Forest Service, Agriculture","012-5004","1","2018","2017-12-31",1228036.99,19895568.1
"Department of Agriculture","Forest Service","Land Between the Lakes Management Fund, Forest Service,  Agriculture","012-5360","1","2018","2017-12-31",2354439.09,7174479.13
"Department of Agriculture","Forest Service","Land Between the Lakes Trust Fund, Forest Service,  Agriculture","012-8039","1","2018","2017-12-31",50000,5888266.01
"Department of Agriculture","Forest Service","Licensee Programs, Forest Service, Agriculture","012-5214","1","2018","2017-12-31",5312.82,1794119.41
"Department of Agriculture","Forest Service","Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture","012-1119","1","2018","2017-12-31",395170.36,486467.28
"Department of Agriculture","Forest Service","Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture","012-5278","1","2018","2017-12-31",0,0.6
"Department of Agriculture","Forest Service","MNP Rental Fee Account, Forest Service, Agriculture","012-5277","1","2018","2017-12-31",101338.57,5016305.05
"Department of Agriculture","Forest Service","National Forest System, Forest Service, Agriculture","012-1106","1","2018","2017-12-31",341592269.36,200969592.04
"Department of Agriculture","Forest Service","Operation and Maintenance of Quarters, Forest Service, Agriculture","012-5219","1","2018","2017-12-31",1524626.54,25406718.5
"Department of Agriculture","Forest Service","Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture","012-5213","1","2018","2017-12-31",0,6150000
"Department of Agriculture","Forest Service","Payments to Counties, National Grasslands, Forest Service,  Agriculture","012-5896","1","2018","2017-12-31",5744100,0
"Department of Agriculture","Forest Service","Payments to States, National Forests Fund,  Forest Service, Agriculture","012-5201","1","2018","2017-12-31",646376.2,86013048.02
"Department of Agriculture","Forest Service","Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture","012-1117","1","2018","2017-12-31",0,4395861.98
"Department of Agriculture","Forest Service","Quinault Special Management Area, Forest Service, Agriculture","012-5223","1","2018","2017-12-31",0,18968.32
"Department of Agriculture","Forest Service","Range Betterment Fund, Forest Service, Agriculture","012-5207","1","2018","2017-12-31",325530.37,1700105.88
"Department of Agriculture","Forest Service","Recreation Fee Demonstration Program, Forest Service,  Agriculture","012-5268","1","2018","2017-12-31",8300143.39,125698718.05
"Department of Agriculture","Forest Service","Reforestation Trust Fund, Forest Service, Agriculture","012-8046","1","2018","2017-12-31",2233605.44,31507539.51
"Department of Agriculture","Forest Service","Resource Management Timber Receipts, Forest Service, Agriculture","012-5220","1","2018","2017-12-31",0,10161.06
"Department of Agriculture","Forest Service","Restoration of Forest Lands and Improvements, Forest Service, Agriculture","012-5215","1","2018","2017-12-31",1583158.98,117186695.27
"Department of Agriculture","Forest Service","Roads and Trails for States, National Forests Fund, Forest Service, Agriculture","012-5203","1","2018","2017-12-31",0,51652.68
"Department of Agriculture","Forest Service","State and Private Forestry, Forest Service,  Agriculture","012-5367","1","2018","2017-12-31",7576501.52,9269545.7
"Department of Agriculture","Forest Service","State and Private Forestry, Forest Service, Agriculture","012-1105","1","2018","2017-12-31",27391007.72,172703686.3
"Department of Agriculture","Forest Service","Stewardship Contracting Product Sales, Forest Service, Agriculture","012-5540","1","2018","2017-12-31",1090694.32,37592900.88
"Department of Agriculture","Forest Service","Timber Roads, Purchaser Elections, Forest Service, Agriculture","012-5202","1","2018","2017-12-31",0,4127407.18
"Department of Agriculture","Forest Service","Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture","012-5264","1","2018","2017-12-31",673954.02,19902294.83
"Department of Agriculture","Forest Service","Timber Salvage Sales, Forest Service,  Agriculture","012-5204","1","2018","2017-12-31",2711044.51,53158511.84
"Department of Agriculture","Forest Service","Wildland Fire Management, Forest Service, Agriculture","012-1115","1","2018","2017-12-31",488559556.22,720751757.78
"Department of Agriculture","Forest Service","Working Capital Fund, Forest Service,  Agriculture","012-4605","1","2018","2017-12-31",63578038.1,369110812.97
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture","012-4050","1","2018","2017-12-31",13106020.51,78569843.59
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture","012-2400","1","2018","2017-12-31",8162154.09,10169296.72
"Department of Agriculture","Hazardous Materials Management","Hazardous Materials Management, Agriculture","012-0500","1","2018","2017-12-31",9353.52,1244907.91
"Department of Agriculture","National Agricultural Statistics Service","Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture","012-8218","1","2018","2017-12-31",0,75945.05
"Department of Agriculture","National Agricultural Statistics Service","National Agricultural Statistics Service, Agriculture","012-1801","1","2018","2017-12-31",38184226.12,15872758.46
"Department of Agriculture","National Institute of Food and Agriculture","Biomass Research and Development, National Institute of Food and Agriculture, Agriculture","012-1003","1","2018","2017-12-31",0,8707682.17
"Department of Agriculture","National Institute of Food and Agriculture","Buildings and Facilities, National Institute of Food and Agriculture, Agriculture","012-1501","1","2018","2017-12-31",0,1707805.36
"Department of Agriculture","National Institute of Food and Agriculture","Extension Activities, National Institute of Food and Agriculture, Agriculture","012-0502","1","2018","2017-12-31",23039473.72,131091149
"Department of Agriculture","National Institute of Food and Agriculture","Integrated Activities, National Institute of Food and Agriculture, Agriculture","012-1502","1","2018","2017-12-31",0,8923684.03
"Department of Agriculture","National Institute of Food and Agriculture","Native American Institutions Endowment Fund, Agriculture","012-5205","1","2018","2017-12-31",0,5864569.21
"Department of Agriculture","National Institute of Food and Agriculture","Research and Education Activities, National Institute of Food and Agriculture, Agriculture","012-1500","1","2018","2017-12-31",3739577,98243020.42
"Department of Agriculture","Natural Resources Conservation Service","Conservation Operations, Natural Resources Conservation Service, Agriculture","012-1000","1","2018","2017-12-31",151210742.14,350457906.32
"Department of Agriculture","Natural Resources Conservation Service","Damage Assessment and Restoration Revolving Fund, Agriculture","012-4368","1","2018","2017-12-31",129937.46,3222922.8
"Department of Agriculture","Natural Resources Conservation Service","Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture","012-1004","1","2018","2017-12-31",968831978.24,6933725870.91
"Department of Agriculture","Natural Resources Conservation Service","Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture","012-1090","1","2018","2017-12-31",0,93
"Department of Agriculture","Natural Resources Conservation Service","Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture","012-8210","1","2018","2017-12-31",0,535792.58
"Department of Agriculture","Natural Resources Conservation Service","Resource Conservation and Development, Natural Resources Conservation Services, Agriculture","012-1010","1","2018","2017-12-31",0,72428.93
"Department of Agriculture","Natural Resources Conservation Service","Water Bank Program, Natural Resources Conservation Service, Agriculture","012-3320","1","2018","2017-12-31",321.63,521045.19
"Department of Agriculture","Natural Resources Conservation Service","Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture","012-1072","1","2018","2017-12-31",26658.23,4586203.44
"Department of Agriculture","Natural Resources Conservation Service","Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture","012-1002","1","2018","2017-12-31",420.71,766163.64
"Department of Agriculture","Natural Resources Conservation Service","Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture","012-3322","1","2018","2017-12-31",0,48493.67
"Department of Agriculture","Office of Chief Financial Officer","Expenses, Office of the Chief Financial Officer, Agriculture","012-0014","1","2018","2017-12-31",1314066.72,1980305.4
"Department of Agriculture","Office of Chief Information Officer","Expenses, Office of the Chief Information Officer, Agriculture","012-0013","1","2018","2017-12-31",7736959.78,11878500.81
"Department of Agriculture","Office of Civil Rights","Office of Civil Rights, Agriculture","012-3800","1","2018","2017-12-31",6813525.2,8542801.24
"Department of Agriculture","Office of Inspector General","Inspector General Assets Forfeiture, Justice","012-5410","1","2018","2017-12-31",631267.55,6259460.26
"Department of Agriculture","Office of Inspector General","Inspector General Assets Forfeiture, Treasury","012-5411","1","2018","2017-12-31",134700.26,4823187.07
"Department of Agriculture","Office of Inspector General","Office of Inspector General - Recovery Act, Agriculture","012-0803","1","2018","2017-12-31",0,0
"Department of Agriculture","Office of Inspector General","Office of the Inspector General, Agriculture","012-0900","1","2018","2017-12-31",20579578.61,25261026.12
"Department of Agriculture","Office of the General Counsel","Office of Ethics, Agriculture","012-0136","1","2018","2017-12-31",875730.2,2064986.76
"Department of Agriculture","Office of the General Counsel","Office of the General Counsel, Agriculture","012-2300","1","2018","2017-12-31",10542867.02,4162458.19
"Department of Agriculture","Office of the Secretary","Departmental Administration, Agriculture","012-0120","1","2018","2017-12-31",0,68086.27
"Department of Agriculture","Office of the Secretary","Gifts and Bequests, Agriculture","012-8203","1","2018","2017-12-31",30385.22,5194764.64
"Department of Agriculture","Office of the Secretary","Homeland Security Staff, Agriculture","012-0019","1","2018","2017-12-31",0,5962.28
"Department of Agriculture","Office of the Secretary","Office of Advocacy and Outreach, Executive Operations, Agriculture","012-0132","1","2018","2017-12-31",0,144218.03
"Department of Agriculture","Office of the Secretary","Office of Codex Alimentarius, Office of the Secretary, Agriculture","012-0177","1","2018","2017-12-31",0,3796000
"Department of Agriculture","Office of the Secretary","Office of Communications, Agriculture","012-0150","1","2018","2017-12-31",0,92943.3
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Administration, Agriculture","012-0121","1","2018","2017-12-31",0,4846.37
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Civil Rights, Agriculture","012-0130","1","2018","2017-12-31",8294.76,558785.54
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture","012-0122","1","2018","2017-12-31",0,138694.05
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Natural Resources and Environment, Agriculture","012-0128","1","2018","2017-12-31",12048.36,654532.87
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture","012-0126","1","2018","2017-12-31",120767.77,432716.55
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food Safety, Agriculture","012-3701","1","2018","2017-12-31",50653.56,660380.17
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture","012-0129","1","2018","2017-12-31",101992.92,545667.54
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture","012-0125","1","2018","2017-12-31",181361.65,498303.81
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Research, Education and Economics, Agriculture","012-0124","1","2018","2017-12-31",577062.39,951288.96
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Rural Development, Agriculture","012-0127","1","2018","2017-12-31",309326.83,354134.95
