"Recipient","agency","subagency","product_or_service_code","product_or_service_description","obligation","parent","parent_name","icon"
"American University","Department of Transportation","Federal Railroad Administration","U008","TRAINING/CURRICULUM DEVELOPMENT",169074.29,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Transportation","Immediate Office of the Secretary of Transportation","U008","TRAINING/CURRICULUM DEVELOPMENT",35886.94,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Transportation","Immediate Office of the Secretary of Transportation","U009","EDUCATION/TRAINING- GENERAL",26000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Transportation","Maritime Administration","U008","TRAINING/CURRICULUM DEVELOPMENT",7245,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Transportation","Maritime Administration","U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",28980,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Transportation","National Highway Traffic Safety Administration","U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",53830.41,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Veterans Affairs","Department of Veterans Affairs","U099","OTHER ED & TRNG SVCS",15000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",19000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Smithsonian Institution","Smithsonian Institution","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS",4500,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"American University","The Council of the Inspectors General on Integrity and Efficiency","The Council of the Inspectors General on Integrity and Efficiency","U099","OTHER ED & TRNG SVCS",592750,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Arizona State University-Tempe","Department of Agriculture","Agricultural Research Service","AZ14","R&D-OTHER R & D-ENG DEV",4000,"AZ","OTHER R&D","176-microscope.svg"
"Arizona State University-Tempe","Department of Defense","Department of the Army","1670","PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT",9075,"16","AEROSPACE CRAFT COMPONENTS & ACCESSORIES","094-rocket-1.svg"
"Arizona State University-Tempe","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",371918.7,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"Arizona State University-Tempe","Department of Defense","Department of the Army","AZ14","R&D-OTHER R & D-ENG DEV",22000,"AZ","OTHER R&D","176-microscope.svg"
"Arizona State University-Tempe","Department of Defense","Department of the Army","B506","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)",625000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Arizona State University-Tempe","Department of Defense","Department of the Navy","AJ12","R&D-PHYSICAL SCIENCE-A RES/EXPL DEV",130000,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Arizona State University-Tempe","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",33460.5,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Arizona State University-Tempe","Department of Health and Human Services","National Institutes of Health","Q301","MEDICAL- LABORATORY TESTING",55244.6,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"Arizona State University-Tempe","Department of Health and Human Services","National Institutes of Health","R499","OTHER PROFESSIONAL SERVICES",7500,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Arizona State University-Tempe","Department of Homeland Security","Office of the Under Secretary for Science and Technology","AZ11","R&D-OTHER R & D-B RES",599922,"AZ","OTHER R&D","176-microscope.svg"
"Arizona State University-Tempe","Department of Justice","Drug Enforcement Administration","T006","PHOTO/MAP/PRINT/PUBLICATION- FILM/VIDEO TAPE PRODUCTION",25000,"T0","PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","204-technology.svg"
"Arizona State University-Tempe","Department of Veterans Affairs","Department of Veterans Affairs","AN73","R&D-SPEC MED SVCS-ADV DEV",22750,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Arizona State University-Tempe","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AA91","OTHER AGRICULTURE (BASIC)",5000,"AA","AGRICULTURE R&D","160-corn.svg"
"Arizona State University-Tempe","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AR14","R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT)",2846154,"AR","SPACE R&D","187-satellite.svg"
"Arizona State University-Tempe","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AR21","R&D-SPACE SCIENCE & APPL-B RES",4151251,"AR","SPACE R&D","187-satellite.svg"
"Arizona State University-Tempe","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AR23","R&D- SPACE: SCIENCE/APPLICATIONS (ADVANCED DEVELOPMENT)",890360,"AR","SPACE R&D","187-satellite.svg"
"Arizona State University-Tempe","Peace Corps","Peace Corps","R499","OTHER PROFESSIONAL SERVICES",21757,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Arkansas State University-Main Campus","Department of Agriculture","Agricultural Research Service","H146","QUALITY CONT SV/WATER PURIFYING EQ",15930,"H1","QUALITY CONTROL SERVICES","064-id-card.svg"
"Arkansas Tech University","Department of Homeland Security","Federal Emergency Management Agency","U009","EDUCATION/TRAINING- GENERAL",3500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Armstrong State University","Department of Veterans Affairs","Department of Veterans Affairs","Q999","OTHER MEDICAL SERVICES",37722,"Q9","OTHER MEDICAL SERVICES","003-icu-monitor.svg"
"Auburn University","Department of Agriculture","Forest Service","B525","SPECIAL STUDIES/ANALYSIS- NATURAL RESOURCE",20000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Auburn University","Department of Agriculture","Forest Service","R420","SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A)",5000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Auburn University","Department of Agriculture","Forest Service","U004","SCIENTIFIC AND MANAGEMENT EDUCATION",20300,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Auburn University","Department of Agriculture","Forest Service","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",5000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Auburn University","Department of Agriculture","Forest Service","U099","OTHER ED & TRNG SVCS",45500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Auburn University","Department of Defense","Department of the Air Force","6760","PHOTOGRAPHIC EQUIPMENT AND ACCESSORIES",49750,"67","PHOTOGRAPHIC EQUIPMENT","204-technology.svg"
"Auburn University","Department of Defense","Department of the Air Force","G002","SOCIAL- CHAPLAIN",11100,"G0","SOCIAL SERVICES","074-meeting-2.svg"
"Auburn University","Department of Defense","Department of the Air Force","V231","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",10656,"V2","TRAVEL, LODGING, & RECRUITMENT SERVICES","087-bed.svg"
"Auburn University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",1880437.6,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Auburn University","Department of Defense","Department of the Navy","U099","OTHER ED & TRNG SVCS",300,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Auburn University","Department of Defense","Missile Defense Agency","AC21","R&D-MISSILE & SPACE SYS-B RES",197880,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Auburn University","Department of Defense","Missile Defense Agency","AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)",150000,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Auburn University","Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response","R416","SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE",1933.89,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Auburn University","Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","8820","LIVE ANIMALS, NOT RAISED FOR FOOD",31000,"88","LIVE ANIMALS","141-plain-dog.svg"
"Auburn University","Department of the Interior","U.S. Fish and Wildlife Service","B510","SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS",4990,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Auburn University","Department of the Treasury","Bureau of the Fiscal Service","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",38640,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Auburn University","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AB92","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",10000,"AB","COMMUNITY SERVICE R&D","083-teacher.svg"
"Auburn University","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",17270.97,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Augusta University","Department of Defense","Department of the Army","R499","OTHER PROFESSIONAL SERVICES",31440,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Augusta University","Department of Defense","Department of the Army","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",46500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Augusta University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",235326.26,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Augusta University","Department of Health and Human Services","Centers for Disease Control and Prevention","Q301","MEDICAL- LABORATORY TESTING",11436,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"Augusta University","Department of Health and Human Services","National Institutes of Health","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",185159,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Augusta University","Department of Veterans Affairs","Department of Veterans Affairs","Q201","GENERAL HEALTH CARE SERVICES",3406560,"Q2","GENERAL HEALTH CARE SERVICES","011-doctor.svg"
"Augusta University","Department of Veterans Affairs","Department of Veterans Affairs","Q503","MEDICAL- DENTISTRY",400000,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Augusta University","Department of Veterans Affairs","Department of Veterans Affairs","R416","SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE",273054.86,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Augusta University","Department of Veterans Affairs","Department of Veterans Affairs","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",2226.01,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Austin College","Department of Justice","Federal Prison System / Bureau of Prisons","U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",46914,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Barry University","Department of Homeland Security","U.S. Coast Guard","U009","EDUCATION/TRAINING- GENERAL",5796,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Barton County Community College","Department of Defense","Department of the Army","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",73004.28,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Baylor College of Medicine","Department of Health and Human Services","Agency for Healthcare Research and Quality","R799","OTHER MANAGEMENT SUPPORT SERVICES",2080029,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Baylor College of Medicine","Department of Health and Human Services","Centers for Disease Control and Prevention","AJ51","LIFE SCIENCES (BASIC)",199152,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Baylor College of Medicine","Department of Health and Human Services","Centers for Disease Control and Prevention","AZ11","R&D-OTHER R & D-B RES",293890.9,"AZ","OTHER R&D","176-microscope.svg"
"Baylor College of Medicine","Department of Health and Human Services","National Institutes of Health","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",621348.04,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Baylor College of Medicine","Department of Health and Human Services","National Institutes of Health","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",9302554.11,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Baylor College of Medicine","Department of Health and Human Services","National Institutes of Health","Q301","MEDICAL- LABORATORY TESTING",16472.16,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","6515","MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",76595,"65","MEDICAL, DENTAL, VETERINARY EQUIPMENT","127-stethoscope.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","Q301","MEDICAL- LABORATORY TESTING",17889,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","Q502","CARDIO-VASCULAR SERVICES",269485,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","Q523","MEDICAL- SURGERY",367210.95,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","R416","SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE",126192,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","R497","PERSONAL SERVICES CONTRACTS",2500,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Baylor College of Medicine","Department of Veterans Affairs","Department of Veterans Affairs","R499","OTHER PROFESSIONAL SERVICES",49000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Baylor University","Department of Defense","Department of the Army","R401","PERSONAL CARE SERVICES",146768.64,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Baylor University","Department of Defense","Department of the Army","U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",686494.62,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Baylor University","Department of Defense","Department of the Navy","B542","SPECIAL STUDIES/ANALYSIS- EDUCATIONAL",18440,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Belmont University","Department of Defense","Department of the Air Force","R499","OTHER PROFESSIONAL SERVICES",16394.87,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Bentley University","Department of Transportation","Immediate Office of the Secretary of Transportation","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",3644,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Berea College","Department of Defense","Department of the Army","X1CZ","LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS",7135,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Bishop State Community College","Department of Homeland Security","U.S. Coast Guard","U099","OTHER ED & TRNG SVCS",3000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Black Hills State University","Department of Veterans Affairs","Department of Veterans Affairs","U008","TRAINING/CURRICULUM DEVELOPMENT",73993,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Blinn College","Department of Justice","Federal Prison System / Bureau of Prisons","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",122132.55,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boise State University","Department of Agriculture","Forest Service","3610","PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",4114,"36","SPECIAL INDUSTRY MACHINERY","176-microscope.svg"
"Boise State University","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",384406,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"Boise State University","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AQ91","R&D- SOCIAL SERVICES: OTHER (BASIC RESEARCH)",17018,"AQ","SOCIAL SERVICES R&D","074-meeting-2.svg"
"Boston College","Department of Defense","Department of the Air Force","AC21","R&D-MISSILE & SPACE SYS-B RES",321541,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Boston College","Department of Defense","Department of the Air Force","AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",1037150,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Boston College","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",956933,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston College","Department of Transportation","Federal Aviation Administration","R425","ENGINEERING AND TECHNICAL SERVICES",210000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Boston University","Department of Defense","Defense Advanced Research Projects Agency","AJ41","ENGINEERING (BASIC)",686794,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Boston University","Department of Defense","Department of the Army","AN13","BIOMEDICAL (ADVANCED)",206483.04,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Defense","Department of the Army","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",7500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston University","Department of Defense","Department of the Navy","AD94","OTHER DEFENSE (ENGINEERING)",187398,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"Boston University","Department of Defense","Department of the Navy","AJ12","R&D-PHYSICAL SCIENCE-A RES/EXPL DEV",104972,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Boston University","Department of Defense","Department of the Navy","R431","SUPPORT- PROFESSIONAL: HUMAN RESOURCES",46220,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Boston University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",616930.27,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston University","Department of Health and Human Services","Centers for Disease Control and Prevention","AN91","OTHER MEDICAL (BASIC)",210215,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Health and Human Services","Centers for Disease Control and Prevention","R499","OTHER PROFESSIONAL SERVICES",29585,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Boston University","Department of Health and Human Services","Centers for Disease Control and Prevention","U012","INFORMATION TRAINING",36900,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston University","Department of Health and Human Services","Indian Health Service","R699","OTHER ADMINISTRATIVE SUPPORT SVCS",110000,"R6","ADMINISTRATIVE SUPPORT SERVICES","074-meeting-2.svg"
"Boston University","Department of Health and Human Services","National Institutes of Health","6550","IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",96596.82,"65","MEDICAL, DENTAL, VETERINARY EQUIPMENT","127-stethoscope.svg"
"Boston University","Department of Health and Human Services","National Institutes of Health","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",24937.5,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Health and Human Services","National Institutes of Health","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",5690277,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Health and Human Services","National Institutes of Health","B537","MEDICAL AND HEALTH STUDIES",206105.4,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Boston University","Department of Health and Human Services","National Institutes of Health","R499","OTHER PROFESSIONAL SERVICES",339457.39,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Boston University","Department of Health and Human Services","National Institutes of Health","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",3542,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston University","Department of the Interior","U.S. Fish and Wildlife Service","B534","WILDLIFE STUDIES",7400,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Boston University","Department of Veterans Affairs","Department of Veterans Affairs","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",1268213,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Veterans Affairs","Department of Veterans Affairs","AN12","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",218819,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Veterans Affairs","Department of Veterans Affairs","AN15","R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)",10000,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Boston University","Department of Veterans Affairs","Department of Veterans Affairs","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",90000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston University","Department of Veterans Affairs","Department of Veterans Affairs","U009","EDUCATION/TRAINING- GENERAL",143244.88,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Boston University","National Aeronautics and Space Administration","National Aeronautics and Space Administration","U099","OTHER ED & TRNG SVCS",13436,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Bowling Green State University-Main Campus","Department of Defense","Department of the Air Force","G099","SOCIAL- OTHER",19456,"G0","SOCIAL SERVICES","074-meeting-2.svg"
"Bowling Green State University-Main Campus","Department of the Interior","U.S. Geological Survey","B533","WATER QUALITY STUDIES",14960,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Brandeis University","Department of Health and Human Services","Office of the Assistant Secretary for Administration","AQ96","R&D-OTHER SOCIAL SVCS-MGMT SUP",122743,"AQ","SOCIAL SERVICES R&D","074-meeting-2.svg"
