"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"Department of Agriculture","Office of Chief Information Officer",263,"Expenses, Office of the Chief Information Officer, Agriculture",7736959.78,11878500.81
"Department of Agriculture","Office of Chief Financial Officer",264,"Expenses, Office of the Chief Financial Officer, Agriculture",1314066.72,1980305.4
"Department of Agriculture","Office of Civil Rights",393,"Office of Civil Rights, Agriculture",6813525.2,8542801.24
"Department of Agriculture","Hazardous Materials Management",294,"Hazardous Materials Management, Agriculture",9353.52,1244907.91
"Department of Agriculture","Buildings and Facilities",269,"Agriculture Buildings and Facilities, Agriculture",14291211.91,63060149.7
"Department of Agriculture","Office of Inspector General",301,"Office of the Inspector General, Agriculture",20579578.61,25261026.12
"Department of Agriculture","Office of Inspector General",440,"Inspector General Assets Forfeiture, Treasury",134700.26,4823187.07
"Department of Agriculture","Office of Inspector General",439,"Inspector General Assets Forfeiture, Justice",631267.55,6259460.26
"Department of Agriculture","Office of Inspector General",300,"Office of Inspector General - Recovery Act, Agriculture",0,0
"Department of Agriculture","Office of the General Counsel",360,"Office of the General Counsel, Agriculture",10542867.02,4162458.19
"Department of Agriculture","Office of the General Counsel",284,"Office of Ethics, Agriculture",875730.2,2064986.76
"Department of Agriculture","Economic Research Service",336,"Economic Research Service, Agriculture",14890692.64,14780217.85
"Department of Agriculture","Economic Research Service",481,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture",0,1080.46
"Department of Agriculture","National Agricultural Statistics Service",337,"National Agricultural Statistics Service, Agriculture",38184226.12,15872758.46
"Department of Agriculture","National Agricultural Statistics Service",479,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",0,75945.05
"Department of Agriculture","Agricultural Research Service",432,"Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",2188.45,660871.59
"Department of Agriculture","Agricultural Research Service",327,"Buildings and Facilities, Agricultural Research Service, Agriculture",3212405,197783288.9
"Department of Agriculture","Agricultural Research Service",478,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",4367850.18,58479280.86
"Department of Agriculture","National Institute of Food and Agriculture",333,"Integrated Activities, National Institute of Food and Agriculture, Agriculture",0,8923684.03
"Department of Agriculture","National Institute of Food and Agriculture",304,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",0,8707682.17
"Department of Agriculture","National Institute of Food and Agriculture",331,"Research and Education Activities, National Institute of Food and Agriculture, Agriculture",3739577,98243020.42
"Department of Agriculture","National Institute of Food and Agriculture",416,"Native American Institutions Endowment Fund, Agriculture",0,5864569.21
"Department of Agriculture","National Institute of Food and Agriculture",332,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",0,1707805.36
"Department of Agriculture","National Institute of Food and Agriculture",295,"Extension Activities, National Institute of Food and Agriculture, Agriculture",23039473.72,131091149
"Department of Agriculture","Animal and Plant Health Inspection Service",334,"Salaries and Expenses, Animal and Plant Health Inspection Service",3994605.72,92599268
"Department of Agriculture","Animal and Plant Health Inspection Service",411,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",49413807.5,742939254.6
"Department of Agriculture","Animal and Plant Health Inspection Service",480,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",2652470.44,12305781.68
"Department of Agriculture","Animal and Plant Health Inspection Service",485,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",0,0
"Department of Agriculture","Food Safety and Inspection Service",391,"Food Safety and Inspection Service, Agriculture",284610636.7,123493541.7
"Department of Agriculture","Food Safety and Inspection Service",474,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",2747538.18,6161824.28
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",361,"Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture",8162154.09,10169296.72
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",394,"Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",13106020.51,78569843.59
"Department of Agriculture","Agricultural Marketing Service",362,"Marketing Services, Agricultural Marketing Service, Agriculture",20573700.09,98116990.62
"Department of Agriculture","Agricultural Marketing Service",363,"Payments to States and Possessions, Agricultural Marketing Service, Agriculture",779331.16,9287967.34
"Department of Agriculture","Agricultural Marketing Service",410,"Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",2281731.1,23078533.35
"Department of Agriculture","Agricultural Marketing Service",420,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",242251882.6,10184423770
"Department of Agriculture","Agricultural Marketing Service",473,"Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",0,153000
"Department of Agriculture","Risk Management Agency",365,"Administrative and Operating Expenses, Office of Risk Management, Agriculture",16502213.72,19347040.08
"Department of Agriculture","Risk Management Agency",395,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",2212182594,11033385651
"Department of Agriculture","Farm Service Agency",375,"Reforestation Pilot Program, Farm Service Agency, Agriculture",0,112630
"Department of Agriculture","Farm Service Agency",297,"Salaries and Expenses, Farm Service Agency, Agriculture",166442841.6,141962084.2
"Department of Agriculture","Farm Service Agency",287,"State Mediation Grants, Farm Service Agency, Agriculture",684908.27,752589.26
"Department of Agriculture","Farm Service Agency",321,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",0,27789687.92
"Department of Agriculture","Farm Service Agency",364,"USDA Disaster Assistance, Farm Service Agency, Agriculture",39.48,4495808.99
"Department of Agriculture","Farm Service Agency",378,"Emergency Conservation Program, Farm Service Agency, Agriculture",48712874.98,204560056.1
"Department of Agriculture","Farm Service Agency",288,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",630788.19,60283940.09
"Department of Agriculture","Farm Service Agency",374,"Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",0,1220157
"Department of Agriculture","Farm Service Agency",319,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",105532006.4,37445394.04
"Department of Agriculture","Farm Service Agency",376,"Dairy Indemnity Program, Farm Service Agency, Agriculture",67861.4,401784.84
"Department of Agriculture","Farm Service Agency",396,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",465455.24,8080907.81
"Department of Agriculture","Farm Service Agency",404,"Commodity Credit Corporation Fund, Agriculture",6552518817,24192672255
"Department of Agriculture","Farm Service Agency",325,"Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",4895812.14,8702958.41
"Department of Agriculture","Farm Service Agency",405,"Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",183315.46,2406430.65
"Department of Agriculture","Farm Service Agency",442,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",0,15318274.64
"Department of Agriculture","Farm Service Agency",446,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",1410.76,14942591.46
"Department of Agriculture","Farm Service Agency",447,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",67066.81,43799675.05
"Department of Agriculture","Farm Service Agency",475,"Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",48296.29,169099786.9
"Department of Agriculture","Natural Resources Conservation Service",302,"Conservation Operations, Natural Resources Conservation Service, Agriculture",151210742.1,350457906.3
"Department of Agriculture","Natural Resources Conservation Service",305,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",968831978.2,6933725871
"Department of Agriculture","Natural Resources Conservation Service",382,"Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture",0,48493.67
"Department of Agriculture","Natural Resources Conservation Service",303,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",420.71,766163.64
"Department of Agriculture","Natural Resources Conservation Service",306,"Resource Conservation and Development, Natural Resources Conservation Services, Agriculture",0,72428.93
"Department of Agriculture","Natural Resources Conservation Service",310,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",0,93
"Department of Agriculture","Natural Resources Conservation Service",381,"Water Bank Program, Natural Resources Conservation Service, Agriculture",321.63,521045.19
"Department of Agriculture","Natural Resources Conservation Service",406,"Damage Assessment and Restoration Revolving Fund, Agriculture",129937.46,3222922.8
"Department of Agriculture","Natural Resources Conservation Service",477,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",0,535792.58
"Department of Agriculture","Rural Development",292,"Salaries and Expenses, Rural Development, Agriculture",149489066.8,87256654.24
"Department of Agriculture","Rural Housing Service",343,"Expenses, Rural Housing Assistance Grants, Rural Housing Service",5380589.98,6868059.6
"Department of Agriculture","Rural Housing Service",285,"Rental Assistance Program, Rural Housing Service, Agriculture",262011132,278780568.1
"Department of Agriculture","Rural Housing Service",347,"Rural Rental Assistance Payments, Rural Housing Service, Agriculture",6665603.39,18323094.71
"Department of Agriculture","Rural Housing Service",348,"Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",0,13762677.64
"Department of Agriculture","Rural Housing Service",342,"Community Facility Loans Program Account, Rural Housing and Community Development Service",406264.75,22676500.66
"Department of Agriculture","Rural Housing Service",353,"Rural Housing Insurance Fund Program Account, Rural Housing Service, Agriculture",132436425.1,114001220.1
"Department of Agriculture","Rural Housing Service",397,"Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",17297549.37,22548794.3
"Department of Agriculture","Rural Business_Cooperative Service",352,"Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",9317.2,28449731.11
"Department of Agriculture","Rural Business_Cooperative Service",338,"Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",0,34599887.69
"Department of Agriculture","Rural Business_Cooperative Service",368,"Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",0,272658052.9
"Department of Agriculture","Rural Business_Cooperative Service",345,"Rural Microenterprise Investment Program Account, Rural Business-Cooperative Service, Agriculture",0,3283343.21
"Department of Agriculture","Rural Business_Cooperative Service",339,"Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service",10243610.55,32112455.39
"Department of Agriculture","Rural Business_Cooperative Service",351,"Intermediary Relending Program Fund Account, Rural Business-Cooperative Service, Agriculture",1349491.72,14178860.79
"Department of Agriculture","Rural Business_Cooperative Service",403,"Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",0,762413.73
"Department of Agriculture","Rural Business_Cooperative Service",370,"Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",0,1742094.57
"Department of Agriculture","Rural Business_Cooperative Service",340,"Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",0,2092473
"Department of Agriculture","Rural Business_Cooperative Service",341,"Renewable Energy Program, Rural Business-Cooperative Service, Agriculture",2043360,59859046.97
"Department of Agriculture","Rural Business_Cooperative Service",369,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",28185480,106449618
"Department of Agriculture","Rural Business_Cooperative Service",399,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",0,1065703.96
"Department of Agriculture","Rural Utilities Service",349,"High Energy Cost Grants, Rural Utilities Service, Agriculture",0,13466206.43
"Department of Agriculture","Rural Utilities Service",346,"Rural Water and Waste Disposal Loans Program Account, Rural Utilities Service",50458299.09,149644309.4
"Department of Agriculture","Rural Utilities Service",322,"Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",10096709.67,34351089.78
"Department of Agriculture","Rural Utilities Service",402,"Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",434259793.6,2255865108
"Department of Agriculture","Rural Utilities Service",323,"Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",0,3449864.85
"Department of Agriculture","Rural Utilities Service",324,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",0,60568857.63
"Department of Agriculture","Rural Utilities Service",400,"Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",0,180000
"Department of Agriculture","Foreign Agricultural Service",366,"Salaries and Expenses, Foreign Agricultural Service, Agriculture",59294976.65,251475150.6
"Department of Agriculture","Foreign Agricultural Service",482,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",0,1267975.79
"Department of Agriculture","Foreign Agricultural Service",367,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",1039950.12,77216075.25
"Department of Agriculture","Foreign Agricultural Service",358,"Public Law 480 Title II Grants, Foreign Agricultural Service, Agriculture",193234028,626099247
"Department of Agriculture","Foreign Agricultural Service",357,"Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture",45003,1749003.02
"Department of Agriculture","Foreign Agricultural Service",356,"Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",0,227000000
"Department of Agriculture","Foreign Agricultural Service",484,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",47227.53,34954.76
"Department of Agriculture","Food and Nutrition Service",386,"Nutrition Programs Administration, Food and Nutrition Service, Agriculture",29980258.77,39570611.16
"Department of Agriculture","Food and Nutrition Service",384,"Food Stamp Program, Food and Nutrition Service, Agriculture",20169247750,28707689538
"Department of Agriculture","Food and Nutrition Service",389,"Supplemental Nutrition Assistance Program - Recovery Act, Food and Nutrition Service, Agriculture",4327.55,758673425.5
"Department of Agriculture","Food and Nutrition Service",388,"Child Nutrition Programs, Food Nutrition Service, Agriculture",6295781172,10419721690
"Department of Agriculture","Food and Nutrition Service",387,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",2019092393,2039429818
"Department of Agriculture","Food and Nutrition Service",385,"Commodity Assistance Program, Food and Nutrition Service, Agriculture",68242294.87,101408101.8
"Department of Agriculture","Forest Service",311,"Capital Improvement and Maintenance, Forest Service, Agriculture",70839917.5,84751367.77
"Department of Agriculture","Forest Service",312,"Forest and Rangeland Research, Forest Service, Agriculture",63715707.63,52821588.83
"Department of Agriculture","Forest Service",470,"Donations for Forest and Rangeland Research, Forest Service, Agriculture",0,124924.85
"Department of Agriculture","Forest Service",314,"National Forest System, Forest Service, Agriculture",341592269.4,200969592
"Department of Agriculture","Forest Service",431,"Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",0,0.6
"Department of Agriculture","Forest Service",313,"State and Private Forestry, Forest Service, Agriculture",27391007.72,172244089.1
"Department of Agriculture","Forest Service",438,"State and Private Forestry, Forest Service,  Agriculture",7576501.52,9269545.7
"Department of Agriculture","Forest Service",317,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",395170.36,486467.28
"Department of Agriculture","Forest Service",315,"Wildland Fire Management, Forest Service, Agriculture",488559556.2,720751757.8
"Department of Agriculture","Forest Service",318,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",0,342000000
"Department of Agriculture","Forest Service",418,"Range Betterment Fund, Forest Service, Agriculture",325530.37,1700105.88
"Department of Agriculture","Forest Service",443,"Stewardship Contracting Product Sales, Forest Service, Agriculture",1090694.32,37592900.88
"Department of Agriculture","Forest Service",424,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",65411.31,29030922.34
"Department of Agriculture","Forest Service",419,"Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture",0,1093788.25
"Department of Agriculture","Forest Service",409,"Land Acquisition, Forest Service, Agriculture",1228036.99,19895568.1
"Department of Agriculture","Forest Service",441,"Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",0,335550.52
"Department of Agriculture","Forest Service",436,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",1287712.86,27387999.04
"Department of Agriculture","Forest Service",316,"Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",0,4395861.98
"Department of Agriculture","Forest Service",425,"Operation and Maintenance of Quarters, Forest Service, Agriculture",1524626.54,25406718.5
"Department of Agriculture","Forest Service",426,"Resource Management Timber Receipts, Forest Service, Agriculture",0,10161.06
"Department of Agriculture","Forest Service",429,"Recreation Fee Demonstration Program, Forest Service,  Agriculture",8300143.39,125698718.1
"Department of Agriculture","Forest Service",412,"Payments to States, National Forests Fund,  Forest Service, Agriculture",646376.2,86013048.02
"Department of Agriculture","Forest Service",421,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",0,6150000
"Department of Agriculture","Forest Service",413,"Timber Roads, Purchaser Elections, Forest Service, Agriculture",0,4127407.18
"Department of Agriculture","Forest Service",414,"Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",0,51652.68
"Department of Agriculture","Forest Service",415,"Timber Salvage Sales, Forest Service,  Agriculture",2711044.51,53158511.84
"Department of Agriculture","Forest Service",417,"Expenses, Brush Disposal, Forest Service,  Agriculture",996803.47,14678938.87
"Department of Agriculture","Forest Service",422,"Licensee Programs, Forest Service, Agriculture",5312.82,1794119.41
"Department of Agriculture","Forest Service",423,"Restoration of Forest Lands and Improvements, Forest Service, Agriculture",1583158.98,117186695.3
"Department of Agriculture","Forest Service",427,"Quinault Special Management Area, Forest Service, Agriculture",0,18968.32
"Department of Agriculture","Forest Service",430,"MNP Rental Fee Account, Forest Service, Agriculture",101338.57,5016305.05
"Department of Agriculture","Forest Service",428,"Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",673954.02,19902294.83
"Department of Agriculture","Forest Service",435,"Land Between the Lakes Management Fund, Forest Service,  Agriculture",2354439.09,7174479.13
"Department of Agriculture","Forest Service",407,"Working Capital Fund, Forest Service,  Agriculture",63578038.1,369110813
"Department of Agriculture","Forest Service",469,"Cooperative Work, Forest Service,  Agriculture",9166852.62,233872550.4
"Department of Agriculture","Forest Service",472,"Reforestation Trust Fund, Forest Service, Agriculture",2233605.44,31507539.51
"Department of Agriculture","Forest Service",471,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture",50000,5888266.01
"Department of Commerce","Departmental Management",487,"Salaries and Expenses, Departmental Management, Commerce",30736015.64,110050619.6
"Department of Commerce","Departmental Management",491,"Office of Inspector General, Departmental Management, Commerce",8606685.31,17713282.84
"Department of Commerce","Departmental Management",486,"Office of Inspector General - Recovery Act, Departmental Management, Commerce",15158.16,1325868.25
"Department of Commerce","Departmental Management",488,"Renovation and Modernization, Departmental Management, Commerce",275114.55,2136751.88
"Department of Commerce","Departmental Management",527,"Working Capital Fund, Departmental Management, Commerce",36378904.31,202133631.9
"Department of Commerce","Departmental Management",558,"Gifts and Bequests, Departmental Management, Commerce",107775.51,1615071.17
"Department of Commerce","Economic Development Administration",490,"Salaries and Expenses, Economic Development Administration, Commerce",9033821.36,17329391
"Department of Commerce","Economic Development Administration",517,"Economic Development Assistance Programs, Economic Development Administration, Commerce",32210747,121300964.3
"Department of Commerce","Economic Development Administration",524,"Economic Development Revolving Fund, Liquidating Account, Commerce",32702.9,267297.1
"Department of Commerce","Bureau of the Census",494,"Current Surveys and Programs, Bureau of the Census, Commerce",71334240.76,43327372.69
"Department of Commerce","Bureau of the Census",495,"Periodic Censuses and Programs, Bureau of the Census, Commerce",335034502.9,297751010.6
"Department of Commerce","Bureau of Economic Analysis",516,"Salaries and Expenses, Economic and Statistical Analysis, Commerce",25090669.54,22760755.33
"Department of Commerce","Bureau of Economic Analysis",522,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",65.1,631374.53
"Department of Commerce","International Trade Administration",508,"Operations and Administration, International Trade Administration, Commerce",95765790.95,146735789.5
"Department of Commerce","International Trade Administration",540,"Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",0,1
"Department of Commerce","Bureau of Industry and Security",493,"Operations and Administration, Bureau of Industry and Security, Commerce",19023744.88,25380508.12
"Department of Commerce","Minority Business Development Agency",492,"Minority Business Development, Minority Business Development Agency, Commerce",2603701.94,14376675.74
"Department of Commerce","National Oceanic and Atmospheric Administration",509,"Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",481349913.2,1387329284
"Department of Commerce","National Oceanic and Atmospheric Administration",532,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,521842
"Department of Commerce","National Oceanic and Atmospheric Administration",534,"Marine Mammal Unusual Mortality Event Fund, National Oceanic and Atmospheric Administration, Commerce",0,25572.08
"Department of Commerce","National Oceanic and Atmospheric Administration",511,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology, National Oceanic and Atmospheric Administration, Commerce",69647.7,8670523.25
"Department of Commerce","National Oceanic and Atmospheric Administration",513,"Procurement, Acquisition and Construction, National Oceanic and Atmospheric Administration, Commerce",494714568.6,651012074.7
"Department of Commerce","National Oceanic and Atmospheric Administration",535,"Limited Access System Administration Fund, National Oceanic and Atmospheric Administration, Commerce",884600.71,27137370.02
"Department of Commerce","National Oceanic and Atmospheric Administration",510,"Expenses, Pacific Coastal Salmon Recovery, National Oceanic and Atmospheric, Commerce",42655.77,19942702.14
"Department of Commerce","National Oceanic and Atmospheric Administration",542,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",0,418004.5
"Department of Commerce","National Oceanic and Atmospheric Administration",514,"Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",0,55290.97
"Department of Commerce","National Oceanic and Atmospheric Administration",515,"NOAA Accrual Contribution to the Uniformed Services Retiree Health, Commerce",1584360,2784925
"Department of Commerce","National Oceanic and Atmospheric Administration",541,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",1048126.15,18421073.65
"Department of Commerce","National Oceanic and Atmospheric Administration",533,"Promote and Develop Fishery Products and Research Pertaining to American Fisheries, National Oceanic and Atmospheric Administration, Commerce",95586.86,9151585.18
"Department of Commerce","National Oceanic and Atmospheric Administration",539,"Western Pacific Sustainable Fisheries Fund, National Oceanic and Atmospheric Administration, Commerce",0,390600
"Department of Commerce","National Oceanic and Atmospheric Administration",531,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration, Commerce",9593.03,1308889.23
"Department of Commerce","National Oceanic and Atmospheric Administration",518,"Fisheries Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0,77731.61
"Department of Commerce","National Oceanic and Atmospheric Administration",543,"North Pacific Fishery Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,3852602.46
"Department of Commerce","National Oceanic and Atmospheric Administration",537,"Environmental Improvement and Restoration Fund, National Oceanic and Atmospheric Administration, Commerce",0,15050284.43
"Department of Commerce","National Oceanic and Atmospheric Administration",520,"Coastal Zone Management Fund, National Oceanic Atmospheric Administration, Commerce",0,0
"Department of Commerce","National Oceanic and Atmospheric Administration",521,"Damage Assessment and Restoration Revolving Fund, National Oceanic and Atmospheric Administration, Commerce",2308407.89,210667225.8
"Department of Commerce","National Oceanic and Atmospheric Administration",512,"Fisheries Finance Program Account, National Oceanic and Atmospheric Administration, Commerce",0,2778568.22
"Department of Commerce","National Oceanic and Atmospheric Administration",525,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account, National Oceanic and Atmospheric Administration, Commerce",0,260000
"Department of Commerce","U.S. Patent and Trademark Office",506,"Salaries and Expenses, Patent and Trademark Office, Commerce",770891467.1,613152216.2
"Department of Commerce","National Technical Information Service",519,"NTIS Revolving Fund, National Technical Information Service, Commerce",26484151.23,143515848.8
"Department of Commerce","National Institute of Standards and Technology",496,"Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce",123738366.7,46689582.04
"Department of Commerce","National Institute of Standards and Technology",501,"Scientific and Technical Research and Services - Recovery Act, National Institute of Standards and Technology, Commerce",0,112732.89
"Department of Commerce","National Institute of Standards and Technology",500,"Industrial Technology Services, National Institute of Standards and Technology, Commerce",16904015.21,39002333.44
"Department of Commerce","National Institute of Standards and Technology",498,"Construction of Research Facilities, National Institute of Standards and Technology, Commerce",4244628.93,76881476.65
"Department of Commerce","National Institute of Standards and Technology",530,"Working Capital Fund, National Institute of Standards and Technology, Commerce",40886828.13,231052395.2
"Department of Commerce","National Institute of Standards and Technology",497,"Wireless Innovation(WIN) Fund, National Institute of Standards and Technology, Commerce",3002524.36,236265512.1
"Department of Commerce","National Telecommunications and Information Administration",502,"Salaries and Expenses, National Telecommunications and Information Administration, Commerce",16925517.28,70466556.21
"Department of Commerce","National Telecommunications and Information Administration",503,"Public Telecommunications Facilities, Planning and Construction, National Telecommunications and Information, Commerce",33411.67,818606.06
"Department of Commerce","National Telecommunications and Information Administration",504,"Information Infrastructure Grants, National Telecommunications and Information Administration, Commerce",0,213438.42
"Department of Commerce","National Telecommunications and Information Administration",505,"Broadband Technology Opportunities Program - Recovery Act, National Telecommunications and Information Administration, Commerce",0,169784387
"Department of Commerce","National Telecommunications and Information Administration",538,"Digital Television Transition and Public Safety Fund, National Telecommunications and Information Administration, Commerce",0,298822.69
